,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,class
44,,,0.0092,0.0387,,0.1197,,0.1026,,0.0888,0.0937,0.1245,0.1599,0.1542,,0.1732,,0.1748,0.1455,0.1579,0.2257,0.1975,0.3368,0.5828,0.8505,,0.8457,0.6624,,0.3925,0.3233,0.2054,,0.2227,0.3147,0.2268,,0.0748,,0.1969,0.2619,,0.1983,0.0948,,,0.0381,0.0435,0.0336,,,,0.0055,,,0.0004,,,0.0024,,0
45,0.0335,0.0258,0.0398,,0.0529,,,,,0.266,,,0.3116,,0.178,,0.287,0.3969,0.5599,0.6936,0.7969,,,0.9261,0.881,0.8814,0.9301,0.9955,,,0.3934,,,0.114,0.0956,0.008,,0.0936,,0.1127,,0.102,,,,0.2012,0.1688,,0.0501,0.0136,,0.012,0.0039,0.0053,,0.0046,,,,,1
46,0.0084,0.0153,0.0291,0.0432,,0.0752,0.0414,0.0259,,0.1753,,0.1167,0.1683,,,0.5121,,0.7776,0.6222,0.3501,,,,0.7361,,,0.7772,0.7862,0.5652,0.3635,,,,0.1693,0.2627,,0.1388,,,,,0.0933,0.0856,0.0951,,,,,,0.0179,0.0056,,,0.0136,0.0117,,0.0058,0.0031,0.0072,,0
47,0.0453,0.0523,0.0843,,,0.2583,,,,,,0.6552,,,0.7464,0.9444,,,,0.7818,,,,,,,0.3271,,,0.2028,0.3788,0.2947,0.1984,,,0.4182,0.3835,0.1057,0.184,0.197,0.1674,,,,,,,0.0742,0.0409,,,,0.0089,,0.0094,0.0191,0.014,0.0049,0.0052,,0
48,,0.0146,0.0026,,,,0.0361,,0.1398,,0.0904,0.0671,0.0997,0.1056,,0.1231,0.1626,0.3652,0.3262,0.2995,,,0.2085,0.2282,0.0747,,0.4086,,,,,0.2214,0.4672,0.4479,,0.3235,0.448,,0.652,0.5354,0.2478,,0.1788,0.0898,0.0536,,,0.0956,,,0.0076,,,0.0145,,,0.0018,0.0048,,,0
49,0.0117,,,,0.0915,,,0.1927,,,,0.0754,,,0.5093,,0.7071,0.7532,,,0.9615,0.9838,,0.6403,0.5067,,0.6934,,0.8213,0.5962,0.295,0.2758,,,0.1446,,0.0888,,,,0.2318,,,0.1721,0.2017,,0.1112,0.0398,0.0305,,0.0039,,0.0029,,0.0013,0.0029,0.002,,,,1
50,,,0.0709,0.0108,,,,0.1323,,0.2696,0.3412,0.4292,0.3682,,0.2965,0.3172,0.2825,0.305,0.2408,0.542,,0.632,,0.6805,0.5984,0.8412,0.9911,,0.8005,0.6713,,,,0.2575,,0.1799,,0.476,0.5756,0.4254,0.5046,,0.6163,0.5663,,0.3593,,0.2299,0.1271,0.0356,,0.0176,,,,,,0.0021,,0.0017,1
51,,,,,,,,0.1353,0.1593,,,0.294,,,0.4985,0.7295,0.735,0.8253,,0.9657,,,0.6471,,,,0.6111,0.4195,0.299,,0.2438,,,,0.7298,,,,0.4738,,,0.3178,0.2377,,,0.1136,0.1034,,0.0422,0.0117,,0.0167,,0.0138,,,0.0029,0.0122,0.0056,,0
52,,,,0.0618,,0.1524,0.1543,0.0391,,,,0.2473,0.3011,0.3747,,,,0.7113,,0.8672,0.8416,0.7974,0.8385,,0.8555,0.6162,0.4139,0.3269,0.3108,0.2554,,0.4465,0.5,0.5111,0.5194,0.4619,,,,0.4433,,,,0.2527,0.2137,,,0.0528,,,0.0009,0.0142,0.0179,,,,,,0.0113,0.0049,1
53,,,,,0.0679,,0.0843,,0.0759,0.092,,0.0522,,0.097,,,,,0.0494,,0.3485,0.6146,0.9146,,,,0.8553,0.8833,,,0.6601,0.5499,0.5716,0.6859,,,0.275,0.1358,0.1551,0.2646,,0.1883,,0.1651,0.0575,0.0695,0.0598,,0.0021,,,,,0.006,0.0054,,,,0.0051,,0
54,,0.0575,0.0842,0.0372,0.0458,,0.0771,,0.2353,,0.2869,0.4129,0.3647,,,,0.5837,0.6792,0.6086,0.4858,,0.2013,,,,,0.2984,0.4655,,,,,,,0.744,,,,0.8753,0.7061,,,,,,0.1216,0.1306,,0.0578,,0.0135,0.0141,0.019,,,0.0026,,0.0162,0.0109,0.0079,0
55,,,0.0055,0.025,0.0344,,,,,,,,,0.3383,0.3227,,0.3943,,,0.8673,,0.9847,,,,,0.309,,,,0.1905,,0.1717,0.2351,0.2489,,,,,,0.1043,0.0839,,,0.0678,0.0663,,,,,0.0174,0.0176,0.0127,0.0088,0.0098,,0.0059,,,0.0032,0
56,0.0158,,,0.0494,0.0988,0.1425,,,0.1697,,0.2361,,0.3049,,,,0.2459,0.31,,,,,0.4585,,,,0.8706,1.0,0.9815,0.7187,0.5848,,0.3756,,,,,,0.1666,,,0.2777,,0.1335,0.1976,0.1234,0.1554,,0.049,0.0097,,0.0121,,0.0057,0.0028,,,0.0046,,,1
57,0.0368,0.0403,,,0.082,0.1342,0.1161,,,0.0506,,,0.1464,0.1272,,,0.1424,,0.1857,0.1136,0.2069,,,0.2547,0.024,0.1923,0.4753,0.7003,,,,,0.6601,,,,,0.6772,,,0.6035,,0.3802,0.2278,,,,,0.0566,0.0175,0.0058,0.0091,0.016,0.016,0.0081,0.007,0.0135,0.0067,,,0
58,,,0.0079,0.0243,0.0432,0.0735,0.0938,,,,,,,,0.401,0.5325,,0.5823,,,0.7084,,,,,,,,,0.602,,0.4867,,,,,,,,0.2945,0.2978,,,,0.1625,0.1216,,0.0744,,,,,,0.0107,0.0112,,0.0052,,,,1
59,,0.0318,,,,0.1635,0.0887,,0.1779,0.2053,,0.3118,0.3686,,,0.7868,,,,,0.8443,0.9061,,,,0.6793,,,0.5578,,0.4729,0.3318,,0.3894,0.2314,0.1036,,,0.2569,,,,0.1713,,,,0.2198,0.1074,,,0.0093,,,0.0078,,,,,0.0043,0.0053,0
60,0.0239,0.0189,,0.044,,,,0.1099,0.1384,,0.0938,,,0.2851,,0.8278,0.8669,,,,1.0,,0.9872,0.9761,,,0.9675,0.7633,0.4434,,0.4727,0.4007,0.3381,,,,,0.1888,0.0712,,,0.03,0.0893,0.1459,,0.0391,,0.0469,0.0201,0.0095,,0.0091,0.0151,,0.0018,0.0078,,0.0026,0.0036,0.0024,0
61,,0.0173,0.0347,,0.0187,,,,,0.0251,0.0801,,0.1266,,0.0198,,0.2826,0.3234,0.3238,,0.6068,0.7652,0.9203,,,,,0.8907,0.7309,,0.5829,0.4935,,,0.0244,0.1108,,,,0.0452,0.062,,0.1597,,0.0372,0.0688,0.0867,,0.0092,0.0198,0.0118,,0.0223,,0.0084,0.0068,,,0.0056,,0
62,,0.0128,,,0.0711,,,0.1206,,0.1345,,0.0367,0.1227,0.2614,,0.6122,0.7435,0.813,,0.9603,,,,0.5134,,,0.2571,,,,0.4613,,,0.3864,,0.2138,,,0.1523,0.0996,,0.1902,0.1313,0.1776,0.2,,,0.0749,,,,0.0117,,,,,0.0024,0.0039,,,1
63,0.0335,,,,0.0348,0.118,,0.1607,,,,0.5771,0.7022,0.7067,,0.7391,0.8622,,0.8782,0.7913,,,,,,0.4862,0.5027,,0.2847,,,0.3522,0.3321,,,,0.1834,0.182,0.1815,,0.0576,,0.1086,0.0812,0.0784,0.0487,0.0439,,,,,,,0.0093,,,0.0032,0.0377,,,1
64,0.1313,0.2339,,,0.401,0.1791,,,0.1929,,,,0.3136,,,,0.4386,,0.5255,0.3735,0.2243,0.1973,,0.6532,0.507,0.2796,0.4163,0.595,0.5242,0.4178,,0.2375,,,0.2896,,0.3725,0.3372,,0.4181,0.3603,,,,,0.2246,0.1921,0.15,0.0665,0.0193,0.0156,0.0362,,0.0154,0.018,0.0013,,,0.0178,,1
65,,0.0318,,0.0399,,0.0766,,,,0.2048,,0.31,,0.1918,0.143,,0.1781,0.2852,0.5036,,,0.8125,,0.8788,,,,0.9739,,,,,0.2869,0.2017,0.1206,,,0.1262,0.1072,,,0.1197,0.2061,,,0.2047,0.1716,0.1069,,,,0.0096,0.0071,0.0084,0.0038,,0.0028,,0.0035,0.006,1
66,,0.0688,,,,,,0.0813,0.1761,,,,,,0.352,0.3892,,,0.2355,,,,0.5534,,,0.467,0.4621,,0.7626,,,0.7446,,0.5227,0.3967,,0.1309,0.2408,,,,0.6443,,,0.576,0.5293,,,,0.0334,,0.0459,0.0277,0.0172,0.0087,,,0.013,0.0115,0.0015,1
67,,0.0106,,0.0842,,0.1506,,0.0997,,,,,,,,0.4499,0.4765,,,0.8702,0.9349,,0.9126,,1.0,,,0.752,0.7068,0.5986,0.3857,,,,,0.1344,0.225,,,,,,0.2983,0.1779,,0.1199,0.0959,,0.0649,0.0313,0.0185,,,0.0077,,0.0095,,0.0045,0.0063,0.0039,1
68,0.0233,0.0394,,,0.0993,,,,,,,0.0236,0.1771,,,0.6707,,0.8485,,1.0,1.0,0.9992,0.9067,0.6803,0.5103,,0.498,,0.7171,0.6316,,0.2897,,0.3791,,0.0944,0.0351,0.0844,,0.113,0.2045,0.1937,0.0834,,0.1675,0.1058,0.1111,0.0849,,,,,,0.0026,,,,0.0101,0.0078,,1
69,,,0.0621,0.0518,,,0.2304,,,,0.3015,0.1207,0.3299,,,0.9751,,0.9293,0.621,0.4586,0.5001,0.5032,,,,,,,,,0.6299,0.6762,0.2903,0.4393,,0.718,0.4801,,0.4993,,,0.1167,,,0.2078,,0.0491,,0.0172,,,0.0208,,0.0199,,,,0.0034,0.0114,,0
70,,,,,0.2565,0.2559,0.2947,,0.4983,,,,,,,,,0.7839,0.8215,0.9363,1.0,0.9224,,,0.4562,0.5922,,,,,,,0.2544,0.2009,,0.1547,,,0.3171,,0.3051,,0.1266,0.1381,0.1136,0.0516,,,,0.0121,,,0.0035,,0.0121,,,,0.0116,,0
71,,,,,,0.0701,,,,0.163,,0.2187,0.1542,0.263,,0.2978,,,,,,0.2403,,0.5675,,,0.6549,,1.0,0.8463,0.5509,0.4444,,0.4268,0.1802,0.0791,0.0535,,,,0.2769,,0.1733,,,0.0933,0.1018,0.0309,0.0208,0.0318,,,0.012,0.0051,,,,0.0008,0.0044,,0
72,,0.0902,,,0.0165,,,,0.3887,,,,0.3,0.1951,0.2767,0.3737,0.2507,0.2507,0.3292,0.4871,,0.8454,0.9739,1.0,0.6665,0.5323,0.4024,0.3444,,0.4182,0.4393,,,,0.6172,,0.4118,0.3641,,0.4367,,,0.4155,,0.1487,0.0138,,,0.1069,,0.0208,,0.0197,,0.0141,0.0049,0.0027,0.0162,0.0059,0.0021,1
73,0.01,0.0171,0.0623,,0.0205,0.0368,,0.1276,,,0.0881,,0.0184,,,0.2131,0.0693,,,,,,0.5556,,,0.5334,0.5256,0.252,,0.3559,,0.734,0.612,,,,,0.8814,,,,,,,0.4295,,,,,,,0.0121,,0.015,0.0085,0.0073,,0.0044,,,0
74,0.0164,,,0.0608,,0.1048,,,,,,0.2681,0.1788,,0.198,,,0.2586,,,0.5606,0.5231,,0.6954,0.6352,,,0.8025,,0.8591,0.6655,0.5369,,,0.2801,0.0875,0.3319,,0.1801,,0.4627,,,,,,,0.0943,,0.0171,,0.0258,0.0143,0.0226,,0.0185,0.011,,0.0078,0.0112,1
75,,0.0267,,,0.0936,,,,0.1673,,,0.2712,0.2934,,0.188,,0.2028,0.2613,,,0.383,,0.5114,0.686,0.749,,,1.0,,,,0.4463,,0.1729,,,,0.1382,0.2404,,0.197,0.2778,,0.0685,0.0664,,,0.1245,0.0516,,,,0.0055,,0.0068,,0.0037,,,0.0007,1
