,Feat 0,Feat 1,Feat 2,Feat 3,Feat 4,Feat 5,Feat 6,class
87,-35.0,-60.0,-54.0,-35.0,-61.0,-81.0,-80.0,1
88,-36.0,-54.0,-56.0,-16.0,-61.0,-64.0,-79.0,1
89,-59.0,-53.0,-57.0,-60.0,-51.0,-87.0,-88.0,3
90,-65.0,-57.0,-63.0,-71.0,-76.0,-87.0,-86.0,0
91,-67.0,-57.0,-60.0,-60.0,-75.0,-83.0,-87.0,0
92,-37.0,-60.0,-53.0,-38.0,-65.0,-67.0,-70.0,1
93,-57.0,-55.0,-50.0,-57.0,-49.0,-84.0,-85.0,3
94,-42.0,-58.0,-63.0,-41.0,-75.0,-69.0,-67.0,1
95,-51.0,-52.0,-49.0,-50.0,-63.0,-79.0,-79.0,2
96,-63.0,-56.0,-60.0,-62.0,-70.0,-84.0,-91.0,0
97,-50.0,-54.0,-60.0,-43.0,-74.0,-76.0,-77.0,1
98,-52.0,-55.0,-51.0,-49.0,-64.0,-87.0,-84.0,2
99,-50.0,-56.0,-53.0,-40.0,-65.0,-86.0,-80.0,2
100,-56.0,-53.0,-51.0,-59.0,-50.0,-84.0,-84.0,3
101,-57.0,-53.0,-50.0,-59.0,-52.0,-83.0,-82.0,3
102,-48.0,-55.0,-54.0,-48.0,-67.0,-85.0,-81.0,2
103,-60.0,-53.0,-52.0,-62.0,-50.0,-91.0,-88.0,3
104,-36.0,-59.0,-57.0,-19.0,-70.0,-69.0,-75.0,1
105,-59.0,-52.0,-57.0,-60.0,-49.0,-86.0,-88.0,3
106,-67.0,-59.0,-62.0,-65.0,-71.0,-91.0,-84.0,0
107,-56.0,-50.0,-47.0,-60.0,-50.0,-88.0,-83.0,3
108,-52.0,-57.0,-61.0,-59.0,-59.0,-85.0,-85.0,2
109,-57.0,-56.0,-54.0,-69.0,-75.0,-83.0,-81.0,0
110,-19.0,-59.0,-67.0,-35.0,-65.0,-66.0,-74.0,1
111,-62.0,-59.0,-50.0,-66.0,-54.0,-95.0,-84.0,3
112,-57.0,-55.0,-50.0,-63.0,-50.0,-89.0,-79.0,3
113,-48.0,-57.0,-52.0,-51.0,-62.0,-86.0,-81.0,2
114,-65.0,-51.0,-49.0,-63.0,-49.0,-92.0,-91.0,3
115,-59.0,-56.0,-58.0,-66.0,-51.0,-92.0,-88.0,3
116,-56.0,-54.0,-43.0,-60.0,-50.0,-86.0,-85.0,3
117,-15.0,-60.0,-59.0,-37.0,-65.0,-74.0,-73.0,1
118,-61.0,-49.0,-42.0,-66.0,-43.0,-80.0,-91.0,3
119,-48.0,-58.0,-52.0,-53.0,-61.0,-88.0,-83.0,2
120,-60.0,-59.0,-50.0,-58.0,-45.0,-87.0,-89.0,3
121,-64.0,-56.0,-69.0,-64.0,-73.0,-89.0,-85.0,0
122,-51.0,-55.0,-46.0,-54.0,-63.0,-84.0,-79.0,2
123,-37.0,-58.0,-57.0,-37.0,-73.0,-75.0,-71.0,1
124,-49.0,-54.0,-55.0,-53.0,-66.0,-73.0,-80.0,1
125,-68.0,-58.0,-65.0,-65.0,-76.0,-87.0,-82.0,0
126,-61.0,-62.0,-54.0,-69.0,-46.0,-93.0,-98.0,3
127,-61.0,-54.0,-48.0,-64.0,-49.0,-89.0,-81.0,3
128,-66.0,-56.0,-59.0,-62.0,-67.0,-80.0,-78.0,0
129,-52.0,-57.0,-52.0,-52.0,-70.0,-87.0,-77.0,2
130,-53.0,-62.0,-57.0,-49.0,-61.0,-88.0,-87.0,2
131,-40.0,-57.0,-47.0,-42.0,-69.0,-73.0,-70.0,1
132,-46.0,-53.0,-53.0,-43.0,-59.0,-83.0,-78.0,2
133,-42.0,-54.0,-54.0,-43.0,-59.0,-74.0,-72.0,1
134,-64.0,-56.0,-64.0,-65.0,-75.0,-85.0,-90.0,0
135,-35.0,-53.0,-55.0,-47.0,-61.0,-66.0,-71.0,1
136,-64.0,-62.0,-57.0,-69.0,-67.0,-77.0,-81.0,0
137,-46.0,-53.0,-54.0,-52.0,-64.0,-79.0,-84.0,2
138,-36.0,-58.0,-56.0,-39.0,-62.0,-67.0,-73.0,1
139,-46.0,-52.0,-46.0,-39.0,-74.0,-71.0,-78.0,1
140,-63.0,-54.0,-47.0,-64.0,-50.0,-83.0,-88.0,3
141,-62.0,-54.0,-58.0,-64.0,-65.0,-77.0,-85.0,0
142,-44.0,-53.0,-52.0,-36.0,-70.0,-72.0,-76.0,1
143,-12.0,-54.0,-54.0,-11.0,-70.0,-75.0,-74.0,1
144,-61.0,-56.0,-57.0,-65.0,-54.0,-85.0,-88.0,3
145,-62.0,-60.0,-66.0,-68.0,-80.0,-86.0,-91.0,0
146,-46.0,-56.0,-53.0,-53.0,-61.0,-87.0,-77.0,2
147,-57.0,-50.0,-58.0,-60.0,-51.0,-87.0,-88.0,3
148,-52.0,-56.0,-50.0,-56.0,-69.0,-79.0,-78.0,2
149,-40.0,-54.0,-49.0,-43.0,-62.0,-70.0,-65.0,1
150,-43.0,-62.0,-66.0,-43.0,-73.0,-77.0,-76.0,1
151,-18.0,-60.0,-59.0,-17.0,-68.0,-75.0,-75.0,1
152,-51.0,-60.0,-57.0,-54.0,-64.0,-84.0,-83.0,2
153,-52.0,-57.0,-58.0,-57.0,-68.0,-86.0,-83.0,2
154,-60.0,-51.0,-51.0,-59.0,-54.0,-86.0,-89.0,3
155,-59.0,-54.0,-63.0,-72.0,-75.0,-81.0,-78.0,0
156,-56.0,-50.0,-51.0,-60.0,-58.0,-81.0,-84.0,3
157,-60.0,-56.0,-48.0,-61.0,-49.0,-92.0,-82.0,3
158,-36.0,-55.0,-53.0,-46.0,-63.0,-68.0,-71.0,1
159,-46.0,-55.0,-54.0,-45.0,-62.0,-76.0,-73.0,1
160,-60.0,-53.0,-50.0,-66.0,-39.0,-86.0,-86.0,3
161,-39.0,-57.0,-55.0,-37.0,-67.0,-70.0,-73.0,1
162,-36.0,-54.0,-52.0,-20.0,-66.0,-70.0,-74.0,1
163,-35.0,-54.0,-54.0,-35.0,-59.0,-73.0,-70.0,1
164,-51.0,-55.0,-52.0,-48.0,-63.0,-87.0,-85.0,2
165,-64.0,-58.0,-45.0,-65.0,-51.0,-92.0,-92.0,3
166,-57.0,-51.0,-49.0,-64.0,-52.0,-88.0,-81.0,3
167,-62.0,-53.0,-61.0,-59.0,-74.0,-84.0,-81.0,0
168,-59.0,-52.0,-55.0,-59.0,-55.0,-88.0,-85.0,3
169,-59.0,-54.0,-49.0,-60.0,-46.0,-86.0,-87.0,3
170,-61.0,-52.0,-54.0,-63.0,-64.0,-84.0,-82.0,0
171,-49.0,-52.0,-54.0,-52.0,-60.0,-83.0,-79.0,2
172,-69.0,-52.0,-48.0,-66.0,-48.0,-88.0,-87.0,3
173,-17.0,-61.0,-60.0,-15.0,-72.0,-69.0,-79.0,1
174,-50.0,-55.0,-54.0,-50.0,-69.0,-79.0,-82.0,2
175,-44.0,-52.0,-56.0,-47.0,-63.0,-71.0,-75.0,1
176,-14.0,-55.0,-57.0,-34.0,-67.0,-71.0,-72.0,1
177,-53.0,-52.0,-51.0,-53.0,-64.0,-80.0,-81.0,2
178,-39.0,-58.0,-54.0,-39.0,-62.0,-71.0,-77.0,1
179,-55.0,-50.0,-46.0,-57.0,-48.0,-76.0,-87.0,3
180,-62.0,-55.0,-53.0,-65.0,-50.0,-88.0,-93.0,3
181,-63.0,-59.0,-53.0,-70.0,-46.0,-86.0,-88.0,3
182,-57.0,-56.0,-53.0,-62.0,-48.0,-87.0,-88.0,3
183,-56.0,-60.0,-55.0,-55.0,-53.0,-88.0,-85.0,3
184,-35.0,-53.0,-57.0,-46.0,-64.0,-65.0,-70.0,1
185,-13.0,-63.0,-65.0,-16.0,-74.0,-73.0,-74.0,1
186,-59.0,-52.0,-56.0,-59.0,-51.0,-89.0,-87.0,3
187,-63.0,-56.0,-53.0,-60.0,-49.0,-88.0,-88.0,3
188,-49.0,-56.0,-60.0,-47.0,-72.0,-80.0,-79.0,1
189,-58.0,-56.0,-56.0,-64.0,-50.0,-82.0,-87.0,3
190,-66.0,-56.0,-56.0,-63.0,-50.0,-89.0,-91.0,3
191,-48.0,-54.0,-49.0,-59.0,-63.0,-78.0,-80.0,2
192,-37.0,-56.0,-58.0,-36.0,-80.0,-72.0,-70.0,1
193,-60.0,-54.0,-56.0,-64.0,-70.0,-78.0,-80.0,0
194,-59.0,-49.0,-53.0,-59.0,-62.0,-81.0,-83.0,0
195,-60.0,-55.0,-60.0,-59.0,-67.0,-81.0,-87.0,0
196,-62.0,-56.0,-56.0,-61.0,-68.0,-81.0,-86.0,0
197,-60.0,-55.0,-47.0,-59.0,-54.0,-91.0,-80.0,3
198,-66.0,-58.0,-61.0,-63.0,-73.0,-81.0,-85.0,0
199,-50.0,-54.0,-52.0,-49.0,-67.0,-79.0,-86.0,2
200,-14.0,-54.0,-57.0,-15.0,-69.0,-82.0,-71.0,1
201,-46.0,-51.0,-55.0,-42.0,-62.0,-79.0,-78.0,2
202,-37.0,-59.0,-55.0,-38.0,-65.0,-67.0,-68.0,1
203,-51.0,-52.0,-51.0,-51.0,-64.0,-79.0,-89.0,2
204,-47.0,-57.0,-57.0,-52.0,-69.0,-79.0,-77.0,2
205,-62.0,-60.0,-61.0,-66.0,-69.0,-80.0,-86.0,0
206,-62.0,-58.0,-52.0,-63.0,-50.0,-87.0,-88.0,3
207,-37.0,-53.0,-54.0,-37.0,-67.0,-79.0,-72.0,1
208,-65.0,-56.0,-60.0,-66.0,-74.0,-89.0,-90.0,0
209,-62.0,-57.0,-60.0,-61.0,-69.0,-93.0,-90.0,0
210,-51.0,-59.0,-51.0,-48.0,-67.0,-79.0,-79.0,2
211,-66.0,-57.0,-61.0,-61.0,-73.0,-81.0,-90.0,0
212,-40.0,-57.0,-57.0,-43.0,-68.0,-89.0,-72.0,1
213,-61.0,-56.0,-46.0,-60.0,-50.0,-84.0,-86.0,3
214,-47.0,-57.0,-56.0,-51.0,-64.0,-80.0,-86.0,2
215,-59.0,-53.0,-45.0,-60.0,-51.0,-87.0,-86.0,3
216,-58.0,-56.0,-52.0,-58.0,-48.0,-87.0,-85.0,3
217,-39.0,-55.0,-55.0,-47.0,-80.0,-66.0,-63.0,1
218,-65.0,-56.0,-49.0,-61.0,-44.0,-88.0,-91.0,3
219,-65.0,-56.0,-54.0,-63.0,-49.0,-92.0,-89.0,3
220,-62.0,-57.0,-61.0,-63.0,-65.0,-83.0,-82.0,0
221,-43.0,-60.0,-55.0,-46.0,-71.0,-76.0,-79.0,1
222,-63.0,-58.0,-47.0,-66.0,-48.0,-93.0,-92.0,3
223,-60.0,-57.0,-55.0,-66.0,-69.0,-82.0,-89.0,0
224,-64.0,-54.0,-58.0,-69.0,-65.0,-86.0,-86.0,0
225,-44.0,-50.0,-57.0,-45.0,-61.0,-72.0,-67.0,1
226,-56.0,-50.0,-56.0,-62.0,-61.0,-79.0,-85.0,0
227,-61.0,-59.0,-52.0,-55.0,-48.0,-91.0,-84.0,3
228,-42.0,-52.0,-54.0,-35.0,-65.0,-69.0,-73.0,1
229,-59.0,-57.0,-56.0,-65.0,-49.0,-92.0,-91.0,3
230,-49.0,-53.0,-50.0,-45.0,-64.0,-74.0,-85.0,2
231,-63.0,-52.0,-51.0,-56.0,-59.0,-89.0,-84.0,2
232,-39.0,-54.0,-55.0,-37.0,-71.0,-64.0,-67.0,1
233,-40.0,-59.0,-57.0,-39.0,-67.0,-81.0,-74.0,1
234,-58.0,-56.0,-48.0,-65.0,-49.0,-87.0,-81.0,3
235,-46.0,-56.0,-54.0,-49.0,-63.0,-81.0,-82.0,2
236,-51.0,-52.0,-51.0,-55.0,-66.0,-78.0,-89.0,2
237,-40.0,-59.0,-59.0,-39.0,-73.0,-71.0,-72.0,1
238,-51.0,-52.0,-53.0,-55.0,-64.0,-78.0,-91.0,2
239,-57.0,-57.0,-50.0,-59.0,-54.0,-85.0,-81.0,3
240,-58.0,-59.0,-56.0,-60.0,-50.0,-86.0,-83.0,3
241,-46.0,-58.0,-54.0,-48.0,-63.0,-78.0,-75.0,2
242,-48.0,-56.0,-55.0,-46.0,-65.0,-86.0,-79.0,1
243,-51.0,-52.0,-48.0,-48.0,-62.0,-85.0,-78.0,2
244,-46.0,-51.0,-50.0,-48.0,-64.0,-82.0,-78.0,2
245,-47.0,-57.0,-49.0,-46.0,-63.0,-84.0,-86.0,2
246,-67.0,-60.0,-66.0,-65.0,-75.0,-86.0,-87.0,0
247,-57.0,-55.0,-57.0,-59.0,-48.0,-85.0,-84.0,3
248,-48.0,-53.0,-60.0,-36.0,-58.0,-73.0,-77.0,1
249,-56.0,-55.0,-50.0,-59.0,-62.0,-84.0,-86.0,3
250,-49.0,-54.0,-52.0,-56.0,-60.0,-85.0,-73.0,2
251,-18.0,-62.0,-56.0,-15.0,-71.0,-70.0,-79.0,1
252,-62.0,-53.0,-55.0,-60.0,-68.0,-76.0,-79.0,0
253,-59.0,-56.0,-61.0,-66.0,-71.0,-83.0,-82.0,0
254,-48.0,-54.0,-56.0,-49.0,-66.0,-81.0,-80.0,2
255,-59.0,-54.0,-59.0,-59.0,-67.0,-86.0,-80.0,0
256,-36.0,-60.0,-57.0,-37.0,-68.0,-66.0,-77.0,1
257,-40.0,-54.0,-52.0,-35.0,-68.0,-71.0,-76.0,1
258,-52.0,-58.0,-50.0,-53.0,-64.0,-87.0,-81.0,2
259,-70.0,-62.0,-68.0,-65.0,-81.0,-89.0,-83.0,0
260,-64.0,-59.0,-65.0,-64.0,-74.0,-88.0,-90.0,0
261,-67.0,-61.0,-62.0,-67.0,-77.0,-83.0,-91.0,0
262,-60.0,-58.0,-60.0,-61.0,-73.0,-84.0,-88.0,0
263,-67.0,-55.0,-56.0,-64.0,-50.0,-88.0,-87.0,3
264,-62.0,-55.0,-54.0,-62.0,-69.0,-79.0,-81.0,0
265,-57.0,-60.0,-47.0,-59.0,-50.0,-79.0,-88.0,3
266,-43.0,-55.0,-55.0,-44.0,-68.0,-76.0,-79.0,1
267,-60.0,-56.0,-62.0,-61.0,-69.0,-82.0,-81.0,0
268,-64.0,-54.0,-56.0,-66.0,-52.0,-88.0,-85.0,3
269,-44.0,-57.0,-62.0,-41.0,-75.0,-65.0,-68.0,1
270,-59.0,-54.0,-51.0,-59.0,-58.0,-80.0,-87.0,3
271,-58.0,-51.0,-56.0,-59.0,-54.0,-87.0,-87.0,3
272,-57.0,-56.0,-58.0,-58.0,-66.0,-85.0,-80.0,0
273,-52.0,-56.0,-53.0,-50.0,-62.0,-84.0,-81.0,2
274,-37.0,-50.0,-50.0,-36.0,-58.0,-69.0,-75.0,1
275,-56.0,-58.0,-48.0,-60.0,-51.0,-85.0,-85.0,3
276,-51.0,-62.0,-59.0,-50.0,-66.0,-85.0,-77.0,2
277,-43.0,-55.0,-53.0,-52.0,-60.0,-78.0,-86.0,2
278,-38.0,-58.0,-54.0,-38.0,-67.0,-72.0,-71.0,1
279,-40.0,-56.0,-58.0,-42.0,-67.0,-62.0,-71.0,1
280,-42.0,-57.0,-51.0,-41.0,-69.0,-77.0,-75.0,1
281,-63.0,-56.0,-63.0,-65.0,-72.0,-82.0,-89.0,0
282,-58.0,-58.0,-51.0,-57.0,-49.0,-86.0,-90.0,3
283,-58.0,-55.0,-58.0,-61.0,-64.0,-81.0,-84.0,0
284,-58.0,-61.0,-56.0,-64.0,-49.0,-83.0,-87.0,3
285,-34.0,-48.0,-51.0,-37.0,-70.0,-78.0,-69.0,1
286,-17.0,-63.0,-65.0,-27.0,-86.0,-72.0,-74.0,1
287,-37.0,-57.0,-51.0,-39.0,-70.0,-76.0,-72.0,1
288,-49.0,-53.0,-53.0,-51.0,-64.0,-79.0,-80.0,2
289,-61.0,-61.0,-50.0,-64.0,-51.0,-84.0,-89.0,3
290,-49.0,-54.0,-52.0,-52.0,-63.0,-83.0,-85.0,2
291,-64.0,-57.0,-63.0,-59.0,-68.0,-82.0,-83.0,0
292,-44.0,-53.0,-55.0,-48.0,-66.0,-79.0,-86.0,2
293,-64.0,-59.0,-66.0,-63.0,-74.0,-87.0,-87.0,0
294,-56.0,-51.0,-43.0,-59.0,-47.0,-83.0,-89.0,3
295,-61.0,-51.0,-58.0,-62.0,-71.0,-80.0,-84.0,0
296,-61.0,-58.0,-64.0,-61.0,-64.0,-78.0,-82.0,0
297,-35.0,-57.0,-53.0,-34.0,-64.0,-76.0,-76.0,1
298,-73.0,-62.0,-66.0,-65.0,-81.0,-87.0,-89.0,0
299,-59.0,-57.0,-63.0,-66.0,-65.0,-82.0,-78.0,0
300,-60.0,-58.0,-55.0,-65.0,-50.0,-91.0,-86.0,3
301,-48.0,-52.0,-54.0,-47.0,-61.0,-80.0,-86.0,2
302,-60.0,-56.0,-56.0,-63.0,-65.0,-80.0,-83.0,0
303,-53.0,-56.0,-51.0,-50.0,-61.0,-83.0,-81.0,2
304,-71.0,-62.0,-65.0,-68.0,-83.0,-85.0,-86.0,0
305,-57.0,-56.0,-49.0,-58.0,-50.0,-87.0,-85.0,3
306,-37.0,-56.0,-55.0,-45.0,-64.0,-61.0,-69.0,1
307,-49.0,-52.0,-56.0,-48.0,-55.0,-81.0,-82.0,2
308,-63.0,-57.0,-53.0,-63.0,-48.0,-85.0,-92.0,3
309,-42.0,-57.0,-61.0,-43.0,-73.0,-67.0,-66.0,1
310,-44.0,-57.0,-64.0,-40.0,-75.0,-69.0,-64.0,1
311,-60.0,-56.0,-58.0,-65.0,-70.0,-80.0,-87.0,0
312,-51.0,-52.0,-51.0,-54.0,-61.0,-79.0,-76.0,2
313,-39.0,-53.0,-51.0,-43.0,-70.0,-72.0,-70.0,1
314,-62.0,-58.0,-59.0,-59.0,-67.0,-80.0,-77.0,0
315,-67.0,-56.0,-60.0,-66.0,-73.0,-93.0,-87.0,0
316,-51.0,-57.0,-52.0,-49.0,-60.0,-84.0,-83.0,2
317,-53.0,-56.0,-46.0,-51.0,-62.0,-80.0,-80.0,2
318,-46.0,-60.0,-56.0,-47.0,-66.0,-83.0,-85.0,2
319,-61.0,-56.0,-49.0,-60.0,-52.0,-91.0,-85.0,3
320,-62.0,-52.0,-57.0,-60.0,-70.0,-81.0,-74.0,0
321,-58.0,-53.0,-42.0,-61.0,-51.0,-87.0,-82.0,3
322,-36.0,-55.0,-59.0,-37.0,-63.0,-70.0,-73.0,1
323,-47.0,-52.0,-49.0,-43.0,-57.0,-80.0,-79.0,2
324,-45.0,-56.0,-55.0,-46.0,-68.0,-79.0,-78.0,2
325,-47.0,-53.0,-50.0,-52.0,-65.0,-80.0,-78.0,2
326,-56.0,-51.0,-62.0,-62.0,-71.0,-77.0,-82.0,0
327,-59.0,-59.0,-48.0,-66.0,-50.0,-86.0,-94.0,3
328,-51.0,-52.0,-52.0,-56.0,-68.0,-79.0,-87.0,2
329,-52.0,-57.0,-49.0,-50.0,-66.0,-80.0,-80.0,2
330,-45.0,-60.0,-59.0,-52.0,-57.0,-83.0,-85.0,2
331,-49.0,-52.0,-57.0,-54.0,-59.0,-85.0,-88.0,2
332,-60.0,-58.0,-57.0,-59.0,-66.0,-82.0,-83.0,0
333,-57.0,-57.0,-59.0,-61.0,-67.0,-80.0,-83.0,0
334,-21.0,-61.0,-62.0,-16.0,-76.0,-74.0,-74.0,1
335,-36.0,-55.0,-65.0,-34.0,-66.0,-70.0,-74.0,1
336,-36.0,-60.0,-53.0,-36.0,-63.0,-70.0,-77.0,1
337,-52.0,-57.0,-53.0,-49.0,-61.0,-88.0,-85.0,2
338,-37.0,-50.0,-56.0,-39.0,-67.0,-69.0,-70.0,1
339,-42.0,-58.0,-65.0,-46.0,-71.0,-77.0,-73.0,1
340,-46.0,-56.0,-54.0,-51.0,-62.0,-80.0,-79.0,2
341,-52.0,-60.0,-52.0,-54.0,-66.0,-85.0,-79.0,2
342,-52.0,-55.0,-52.0,-52.0,-62.0,-82.0,-84.0,2
343,-35.0,-56.0,-52.0,-36.0,-72.0,-69.0,-67.0,1
344,-43.0,-54.0,-56.0,-40.0,-67.0,-70.0,-71.0,1
345,-58.0,-54.0,-53.0,-60.0,-47.0,-82.0,-83.0,3
346,-37.0,-61.0,-54.0,-37.0,-66.0,-74.0,-75.0,1
347,-43.0,-59.0,-51.0,-53.0,-61.0,-83.0,-85.0,2
348,-52.0,-55.0,-55.0,-54.0,-65.0,-85.0,-78.0,2
349,-61.0,-56.0,-65.0,-59.0,-68.0,-86.0,-88.0,0
350,-63.0,-60.0,-69.0,-65.0,-71.0,-85.0,-86.0,0
351,-45.0,-56.0,-60.0,-46.0,-81.0,-79.0,-75.0,1
352,-57.0,-56.0,-48.0,-59.0,-47.0,-86.0,-89.0,3
353,-58.0,-52.0,-51.0,-59.0,-49.0,-82.0,-86.0,3
354,-43.0,-58.0,-50.0,-45.0,-71.0,-68.0,-74.0,1
355,-36.0,-57.0,-61.0,-38.0,-63.0,-79.0,-71.0,1
