,feat 1,feat 2,feat 3,feat 4,feat 5,feat 6,feat 7,feat 8,class
35,101.3125,,0.662089749,0.8785532770000001,3.08361204,20.48291642,7.837326082000001,67.19090427,0
36,,47.39567529,,0.658929277,2.242474916,,,104.6283677,0
37,,,,-0.264776811,,20.16741895,7.952245573,67.13635344,0
38,105.4453125,,,0.516093337,,18.93234016,,,0
39,,,0.077140839,,19.90301003,,2.436105258,4.7860108619999995,0
40,,33.19097204,2.7990662680000002,13.09123069,,70.48327051,2.201154709,,1
41,81.6015625,44.27935817,,1.2117530029999999,2.762541806,,,84.5723625,0
42,,,,,7.130434782999999,,5.25301171,,0
43,,32.88418416,,,,50.50916733,2.635813519,6.925677637000001,1
44,131.1640625,52.97106777,0.02354518,-0.38917409799999997,8.252508361,33.76737435,4.402244983,19.26506515,0
45,117.3515625,45.31238618,0.232038475,,2.826086957,19.31125588,8.28614667,78.19236906,0
46,,39.36564171,,,,,8.84231506,,0
47,128.109375,,,,3.6931438130000003,21.67193027,,,0
48,98.7578125,,0.397650083,,2.659698997,,8.221835423,,0
49,,37.44033584,,,,21.63492963,5.605363195,,0
50,137.1796875,,-0.009489163,,,,10.65524136,128.5682942,0
51,96.03125,43.12390171,,1.8361490440000001,,23.86979781,8.093838632,,0
52,,,,,1.894648829,,11.0939449,,0
53,,,,,,,,135.42772309999998,0
54,67.8046875,,2.319887103,,,59.16786129,2.556585025,,1
55,,52.69690972,0.152191871,-0.299685533,,,7.31819003,66.41779302,0
56,118.828125,,,,,,10.22078079,,0
57,,36.84103308,0.526110846,1.851357753,,,10.65321953,160.55135269999997,0
58,110.6953125,,,,,36.27117172,,18.13868425,0
59,,,-0.221563426,,1.273411371,,14.13722166,257.8529153,0
60,,54.10662939,,-0.311542332,,14.05617353,10.13281605,,0
61,,31.056887699999997,,,20.43060201,,2.8016639860000003,7.450339955,1
62,137.8828125,,0.270337946,-0.269251839,,31.82105174,4.377944191,,0
63,102.2109375,,0.524660314,0.339161039,1.678929766,,,192.390362,0
64,,,-0.22132231300000002,,2.423913043,14.62056542,,,0
65,,,,,,84.46670608,,-1.090533639,1
66,,,,,,,,35.66721629,0
67,,50.19196548,,,2.7984949830000003,17.43229707,,105.63185759999999,0
68,126.328125,48.98343301,,,,18.31579272,8.699498442000001,89.84245678,0
69,99.6484375,,0.640919053,,,,10.38660163,119.60967839999999,0
70,131.609375,46.59084446,-0.171014222,,,17.38208856,11.36316959,,0
71,115.8203125,,,2.63058637,3.461538462,20.11886149,,,0
72,,,0.26259976399999996,-0.624365821,,,,,0
73,,37.70992026,0.909989391,,23.23076923,67.86849316,2.595359637,,0
74,,,0.735369099,1.681556171,,,,80.16179998,0
75,22.875,29.15315163,6.528522936,45.67052231,113.92474920000001,80.82252341,0.09665007800000001,,1
76,,33.89633982,,,39.47993311,62.31246459,1.826541499,,1
77,88.734375,45.37628861,,,,34.54246139,,,1
78,133.9296875,53.304722999999996,-0.171329376,-0.371432815,10.82023411,,,14.9994078,0
79,127.2578125,,0.07400565,-0.23409307899999998,,61.58627175,-1.030287966,,0
80,130.2421875,,0.012663029,-0.259006969,1.544314381,,13.72515213,,0
81,123.46875,,,,2.1237458190000003,14.90537842,9.206604553,,0
82,,,0.20447570399999998,1.143396686,,12.29134165,,177.68535590000002,0
83,,,0.37508931700000003,-0.09546035300000001,,,,88.27002753,0
84,,,-0.133909806,-0.128117957,,,11.15359407,,0
85,113.9375,,,,7.585284281,,,26.98697094,0
86,127.625,,0.058263195999999996,0.218792834,,,8.751541193,,0
87,,,,-0.402887565,,,9.567822923,,0
88,105.8203125,,,,,13.32372339,12.86036851,188.7085793,0
89,115.640625,,,0.237274507,,25.70698191,6.30136425,,0
90,153.4921875,,-0.34365891,1.023514415,,36.80298533,,,0
91,116.8125,50.52347072,,,3.178093645,20.62811882,7.965290778,,0
92,127.9453125,,,,,17.43652251,8.584376429,,0
93,,,,0.16681906800000001,2.134615385,,,,0
94,100.7578125,44.01131710000001,0.51285338,,,,11.766572199999999,,0
95,,,,,,,10.63124544,,0
96,119.875,43.75696373,,0.516720857,1.3704013380000002,,14.60033012,251.4384315,0
97,,39.81185534,-0.052550414000000004,0.677613937,,25.901110100000004,7.474192697,56.54180314,0
98,,44.68236148,,1.634902347,13.64130435,44.57923988,,,1
99,,,-0.065354261,-0.39303803600000004,1.173913043,,,213.92244790000004,0
100,125.734375,52.65772207,0.026516672999999998,-0.429632907,4.850334448,,,40.25501275,0
101,127.3046875,,-0.047472055,0.064102032,1.4239130430000002,,13.63060745,,0
102,112.0546875,46.51130719,0.059912687,0.156629244,,,,,0
103,142.3515625,,,-0.048554512,,,7.958683767,,0
104,129.3046875,,,,2.2759197319999998,14.24771725,9.629046948,,0
105,108.4921875,39.70398203,0.0034227140000000003,,,38.230734000000005,4.767414832,,0
106,,,,,,,11.12196379,,0
107,,53.85617919,,,,,2.861095457,6.277465599,0
108,,51.61289204,,-0.595439877,,18.22356904,10.16614058,,0
109,132.0,,,-0.110893298,5.152173913,,,38.7313927,0
110,85.90625,,0.515743858,,2.180602007,,,147.3985372,0
111,,46.30572814,,,3.1162207360000003,20.91775672,7.489994894,59.90172154,0
112,,36.94645817,0.520048279,,,,14.21795993,,0
113,116.203125,47.34586165,,,,18.94498977,,59.23122572,0
114,,38.69250318,0.222893201,,3.8971571910000002,21.42991124,,48.11960738,0
115,123.4453125,51.5231757,,-0.17685435100000002,,23.03024645,6.0940005610000005,43.20908869,0
116,121.015625,,,-0.096717273,2.265886288,14.77743037,,115.98878970000001,0
117,,,,,,25.32105526,,37.69668726,0
118,,48.32236063,0.550356988,,,,13.46410506,205.2957061,0
119,126.0703125,,,0.37434448,,,,,0
120,92.8203125,41.1613505,0.343580615,1.147198222,,,,46.40735527,0
121,,68.69457816,,,187.65384619999998,,-1.7136965730000002,1.8967112369999999,0
122,,46.75557639,,0.226069149,,,8.968253792,,0
123,,30.17303209,,,,,,,1
124,,,,0.098407469,,17.16106504,7.331302779,,0
125,101.9140625,47.66452221,0.28531099,0.072190083,,89.87142184,0.138632938,,0
126,,43.65320696,,,3.1580267560000004,,,,0
127,134.671875,,,,2.97993311,18.52304716,,70.71150021,0
128,110.6328125,50.49069702,0.279599657,,0.6396321070000001,10.85899599,18.96581424,382.2091187,0
129,129.7734375,,0.024982345,,11.57943144,,3.616210073,11.85690397,0
130,,,,,3.1847826089999995,21.114637,7.400133294,59.10315317,1
131,,48.64515406,0.532152331,,2.7257525080000002,,8.333646486000001,83.94369920000001,0
132,124.90625,46.083558200000006,,,,,,74.50910646,0
133,,46.76825085,-0.167040876,,,,,,0
134,106.765625,50.58184648,,,4.883779264,22.83444937,,38.70616454,0
135,,47.70430722,-0.032622877,,,23.46357538,,52.56315204,0
136,,,,,,,7.961985107,,0
137,,,,1.8395531109999999,32.30769231,62.66735967,,,1
138,,,2.8263069,,,54.34239494,,,1
139,,35.79190275,0.232718727,1.5516192819999999,2.760033445,19.49599328,,77.68005331,0
140,99.40625,52.43156812,0.323144851,,,27.38629445,,53.34011353,0
141,,45.37928201,0.20528459,0.21404958600000001,5.989966555,27.17317004,,29.99200363,0
142,119.8359375,42.50161345,,,,17.0467016,8.64279169,,0
143,,45.51187214,,-0.007671796999999999,3.18645485,,,,0
144,,,0.29873527699999997,,,,8.778400977,,0
145,129.28125,48.47050287,0.495176145,,5.4096989970000005,28.78186394,6.132046831,39.03238311,0
146,103.8671875,,0.294201602,,,,9.913000418,107.8619568,0
147,,,2.213705405,,8.37541806,,4.81411156,23.64356824,1
148,151.6953125,,,,3.1580267560000004,17.60603644,,,0
149,,,0.022457922,,17.2090301,54.33634062,3.004536535,7.469924665,0
150,136.75,,-0.068414638,,3.642976589,20.959280300000003,6.89649891,,0
151,,,,-0.087033005,4.857859532,,,37.1395946,0
152,78.8671875,36.85748972,,,6.534280936,,,,1
153,,,-0.283837109,,1.91638796,,,,0
154,136.7421875,,,0.024877192000000003,2.517558528,19.73343747,9.929192135,104.982553,0
155,135.1640625,50.8525407,-0.016696439,,6.810200668999999,29.791217699999997,,,0
156,,56.82136679999999,,-0.7319038240000001,,39.78653746,,,0
157,129.359375,50.99505711,-0.082759748,-0.115959149,,,,68.39432298,0
158,13.109375,,,,,,0.98369996,,1
159,,54.1817845,,,,,5.4056407360000005,,0
160,,38.75576759,,2.368891831,,13.38399455,,193.6109438,0
161,109.28125,50.46424128,0.553734857,,89.08026756,,0.407850516,,0
162,103.4609375,45.11476725,0.35476081600000003,0.307250604,,23.69735402,,,0
163,,45.67641581,,,,13.90741388,10.61607163,,0
164,89.6171875,,0.5371757779999999,0.501992725,5.317725753,,,,0
165,125.1171875,52.60163096,,-0.403626809,1.0484949829999999,,16.6557956,360.4309041,0
166,,48.14869293,0.35054984200000006,,,23.64224578,,,0
167,120.0625,,0.447368129,0.665287184,,16.86360598,,,0
168,,51.54494434,-0.163843384,,2.584448161,,8.616668011,98.92470325,0
169,141.203125,,,,,14.248962699999998,,135.3042819,0
170,,39.56866744,0.457224901,1.1685367690000001,,,14.68980389,,0
171,,54.60792369,0.050198884000000006,-0.48958959799999996,26.43394649,,2.027203709,2.18900108,0
172,148.046875,,-0.149531894,,,21.85317313,7.3979488920000005,63.35908101,0
173,145.265625,,,,1.715719064,,10.83988177,,0
174,,41.41899494,,0.585693396,,,8.057724051000001,70.86960456,0
175,,,0.22264849399999997,0.789586786,2.1622073580000003,16.53466339,,109.79238470000001,0
176,,,0.14669949999999998,0.38538966,1.428093645,,,161.0014776,0
177,,,2.497482791,11.99754051,7.397157191,34.65064959,4.912274384,,1
178,,48.38283647,0.153778105,,,,12.01143039,,0
179,121.9921875,40.79091046,,,3.681438127,25.22440469,7.366897087000001,,0
180,148.34375,51.68813293,,,2.9197324410000003,,7.988190951,75.54049237,0
181,,,,,5.160535117,,6.009221869,,0
182,,,0.064505175,0.47478030600000004,3.230769231,,,66.11105569,0
183,,,0.23618863699999998,,,,7.060129859,,0
184,93.859375,36.51577878,0.541314486,,1.5058528430000002,12.19432125,12.58161491,199.7037448,0
185,,,,0.19029568600000002,,22.23934137,5.702532188999999,36.34249260000001,0
186,,,1.41216443,1.57104878,,,-0.484144224,-1.504009207,0
187,113.3828125,41.59178876,,0.625337453,,,,88.83012974,0
188,127.5859375,46.18873093,0.034216034,,2.611204013,19.81288325,,,1
189,123.0234375,48.29069929,0.145792283,0.005852545,2.867056856,,,84.10473544,0
190,,,0.073936273,,2.032608696,,,,0
191,,,-0.034504322000000004,,1.824414716,,,174.2535062,0
192,,55.8194804,0.061437569000000004,,1.81270903,17.94338101,10.81991846,,0
193,126.5625,,,-0.11746853800000001,49.81438127,,,-0.45313417100000003,0
194,,51.07760639,0.08255683700000001,,,,11.99424384,168.49746140000002,0
195,98.9375,41.09188446,,,,,,,0
196,,,,0.536245262,1.531772575,15.33957308,,,0
197,,40.14699553,0.5039748860000001,,,,8.514689911,,0
198,,45.17374161,,,2.850334448,20.36987024,8.029407947000001,69.55184577,0
199,113.0,,0.391266771,,,,7.051001707999999,,0
200,131.1640625,,,-0.09812054699999999,4.31187291,,,56.94671573,0
201,,50.06109,,,,,,,0
202,,,0.49721659100000004,0.480397361,,,7.457835468,64.66292565,0
203,,,,-0.55507835,,,,,0
204,,,0.228857675,,122.2190635,68.06034975,,-0.451929629,0
205,,47.19424039,-0.270451157,0.336919856,1.79180602,17.34316149,10.70395237,121.0997835,0
206,96.515625,,0.429816986,,,13.96040616,,,0
207,91.265625,37.07709122,,2.156588095,1.722408027,,12.19876901,189.7888225,0
208,,,2.184605065,,,,2.834075696,7.3316043429999995,0
209,,,,0.943452912,13.32274247,,3.4515622489999997,10.02946519,0
210,90.484375,39.6644095,,,2.097826087,19.72616792,10.0557555,104.7429697,0
211,,,-0.114359487,,2.43812709,14.14238457,,,0
212,,34.82854208,1.676975263,,,,1.1145725640000002,-0.362441344,1
213,,47.27696855,,,111.006689,94.28209622,,,0
214,110.8671875,41.92876606,,,2.77006689,19.96111957,,,0
215,98.390625,,,0.315738766,,,9.175932448,111.79587420000001,0
216,,,,,3.380434783,19.16169321,7.341913302999999,62.17054505,0
217,,,-0.095459845,0.005246786,,24.74539307,,64.47771202,0
218,,,-0.142951911,-0.329818808,,,,9.109885459,0
219,,48.58043364,-0.155995081,-0.07777806599999999,71.06521739,91.88301833,0.637358711,,0
220,117.7421875,46.46794024,0.115642454,0.021452025,,,,25.50043493,0
221,117.296875,46.48224785,0.146553991,0.45001720700000003,2.6847826089999995,,9.563377911,,0
222,80.625,,0.975355565,,,13.38089463,9.95156813,,0
223,,,0.45773503299999996,,2.443979933,18.93964288,9.478091691,,0
224,,42.15721135,0.5290886260000001,1.319137513,1.715719064,,,183.0370127,0
225,92.734375,,0.528673362,,0.7408026759999999,,19.02226595,,0
226,,47.63398045,-0.201338818,0.076964297,136.24247490000002,,-1.015536164,,0
227,,,0.273147236,,,36.84223596,,17.84103965,0
228,,,,2.443189341,,,9.392147612,,0
229,101.3125,,,0.9606453770000001,2.303511706,,9.138607647,99.80985381,0
230,,,,20.41471705,,,0.405443654,-0.903514666,1
231,,,0.166169419,-0.576728823,,,,,0
232,,38.53026075,0.860951268,,,9.956608349,,469.6927063,0
233,82.1015625,,0.88535499,3.1977845730000003,1.036789298,12.57573649,,,0
234,114.296875,54.77658592,,,,,,,0
235,131.921875,,0.08298171900000001,,,,,,0
236,,43.12876385,0.365057095,,,,,76.62971378,0
237,,49.37987948,,-0.32935501699999997,,9.866737806,,,0
238,120.984375,44.20884109,,,2.148829431,17.14948804,9.194670932000001,,0
239,107.3828125,46.43377695,0.45477350299999997,,,,,140.0007555,0
240,,,0.199579111,,,21.43457823,,73.35888862,0
241,,,,,3.547658863,24.01564226,,61.006731200000004,0
242,116.3515625,48.1778265,0.187495797,-0.18895579199999998,2.339464883,,9.656690815,,0
243,124.203125,,,-0.55463119,,,,,0
244,105.265625,,,0.566053088,3.014214047,,,72.38917173,0
245,,,,0.34109879200000004,,,,406.3683836,0
246,,,0.578179256,,,,6.344100405,41.32379954,0
247,92.890625,35.92575555,0.47653015,2.315528355,,,,,0
248,,42.97128402,,,,19.32581681,8.561875622,80.16922063,0
249,,50.174183299999996,0.197577895,,4.010033445,,,,0
250,,47.69648660000001,,,,,,104.5313345,0
251,84.3828125,,,1.315007355,4.886287625,24.41760658,6.332482305,43.88876846,0
252,136.6484375,,,0.273676633,2.95819398,21.61377901,7.751286795,,0
253,133.59375,,,0.173074582,91.18478261,96.08153138,,,0
254,,47.50444508,-0.012294896000000001,,7.627926421000001,32.82001474,4.657783794,21.93749538,0
255,,38.91124388,0.647504571,,2.030936455,,,,0
256,,47.25904073,0.020311411,0.20621497,,63.17393699,2.464332226,,0
257,,52.73036327,,,,26.01214794,6.991913206,50.16396111,0
258,,,0.273360926,,,18.65821953,8.812902269,,0
259,,,,,,22.16405176,,,0
260,117.5390625,52.28018003,0.42760339799999997,-0.24316977899999997,,23.97875544,7.143712342000001,51.58637367,0
261,120.296875,,0.08025062200000001,,,20.24255171,,66.31825061,0
262,,,,,,16.66544202,,82.70082387,0
263,,45.106779100000004,,,2.406354515,,9.793717733,125.7758362,0
264,,,4.512225193,,31.11371237,,2.078894826,3.4512851889999996,1
265,,49.37483126,0.461476528,0.49282045799999996,3.2775919730000003,,8.220550703999999,67.62634801,0
266,126.3828125,,-0.031413016,,,14.42957636,,139.4712956,0
267,,41.25396525,,0.616996141,2.4122073580000003,,9.198391753,88.37057957,0
268,,48.37608758,0.24692374600000003,,,27.88454407,,,0
269,,,0.644002347,1.754021675,1.193979933,13.05605988,,,0
270,,44.41975557,0.306865023,0.185841167,1.845317726,,10.42693409,126.739185,0
271,,,0.272892611,0.26775886600000004,94.92725753,,-0.21163662100000002,,0
272,112.2109375,,0.451388309,0.556650655,,,,113.74401840000002,0
273,,,0.390332676,0.203373236,,15.55726413,11.07803688,,0
274,105.015625,46.206564799999995,,0.37211239700000004,,,11.9042893,190.68754009999998,0
275,,,,,2.8152173910000005,19.91105143,8.958284471,,0
276,,45.68154672,,,,31.83013726,4.896956136,24.00999439,0
277,114.046875,50.13666625,0.203115505,0.12580835199999998,3.281772575,22.38351569,,60.40451674,0
278,,,,,191.4573579,,-1.790311648,,0
279,22.3125,30.5112044,,,,69.38765343,0.9697901590000001,0.087332541,1
280,129.0703125,,0.06545556,-0.94416477,,46.19832525,,9.246702728999999,0
281,,35.82863606,0.45334689100000003,,,,11.07042787,,0
282,,48.14180345,0.7554503370000001,1.101179508,2.08277592,15.68307582,9.960012367000001,115.4884861,0
283,105.4140625,47.83900856,0.28010961,,,15.859662599999998,9.553135823,111.34961440000001,0
284,,,,4.715823254,17.25167224,51.62967282,3.1660815380000003,,1
285,,42.40843767,0.396806018,,,52.12364539,,3.743475492,0
286,,,,,1.2801003340000001,,13.82919582,,0
287,121.0625,45.94183653,,,3.286789298,,,,0
288,,,0.095322306,,2.057692308,,11.41359988,140.78774330000002,0
289,,48.35491384,-0.065925969,-0.07644379700000001,,15.02470037,,129.237294,0
290,,,,,,,,76.79883396,0
291,99.875,43.11249819,,,2.2775919730000003,,9.487122287,96.27057131,0
292,,50.36906758,0.717062953,1.182106258,,,,,0
293,126.28125,,0.067465434,-0.165016167,3.818561873,,,59.12343183,0
294,,37.4673678,,1.1384140870000001,,,,,0
295,115.171875,,,-0.37622000899999997,0.714046823,,,325.6340311,0
296,,56.27158386,,-0.437022445,,13.17566371,10.19703281,142.4285011,0
297,,55.54727496,,,2.745819398,,9.29847156,103.1805494,0
298,,47.65103455,,,,96.62971391,0.122132785,,0
299,,46.26790194,0.158276702,,,28.65827355,,,0
300,130.453125,,,,2.692307692,,,85.40319011,0
301,132.40625,43.07087863,0.164278263,,,15.82156725,8.234606889,85.86356986,0
302,,42.671596799999996,,,,,,,0
303,98.640625,,,,,13.275742800000002,10.28640075,141.6567369,0
304,,,-0.0012272119999999999,,,,,,0
305,111.6171875,,,,,,13.89925162,,0
306,,49.99542948,,,,,,65.29754429,0
307,,55.96568719,0.095371655,,,,17.09836446,322.5411619,0
308,113.46875,46.20672595,0.296111921,,,,,,0
309,,,,,,12.39808948,11.5915209,,0
310,116.46875,35.632222399999996,,,,14.17310886,12.02291447,,0
311,,,0.51845989,,,,7.560389217000001,,0
312,101.8359375,,0.449803878,0.507436267,,,6.246001503,,0
313,102.65625,41.9784985,,,,19.5953706,8.83141654,91.56367836,0
314,125.6484375,,,,6.495819397999999,30.49171963,4.963601472,,0
315,,,-0.20271984199999998,,,,,68.49727964,0
316,118.109375,52.92775654,,,,49.78517002,3.03781641,8.04895334,0
317,155.5234375,58.73390269,-0.44388149299999996,,,,-1.6250976030000002,1.211440028,0
318,,,0.334981895,,,16.55772579,,,0
319,124.9921875,46.71898973,0.5553771160000001,0.017442658,4.204013378,23.22624332,,,0
320,135.6484375,,,,,14.60774513,,,0
321,,40.2153869,,0.835423383,,17.80737665,9.201139674,,0
322,94.296875,44.39864852,0.565402637,,,22.84701766,,,0
323,,45.65004597,,,,12.203935699999999,,223.349037,0
324,,51.11091968,0.40335942399999997,-0.244402581,,,8.882628749,83.01825142,0
325,,,,0.41347239799999996,,36.08763634,,,0
326,,,-0.21559937399999998,-0.576190532,,15.61049615,,83.08056699,0
327,,45.68775383,,-0.042160545,,10.95832231,13.81053577,,0
328,96.21875,41.35647952,0.671501019,1.182341822,,12.27163257,11.18808315,174.66503390000003,0
329,,,0.269330967,,1.489966555,15.88437737,,137.1097375,0
330,130.4140625,48.81046368,,,2.421404682,14.53946343,9.323210949,115.0560876,0
331,,,,1.5666731719999998,1.377926421,,,,0
332,,,0.05178759,,,,,,0
333,99.59375,33.88063549,,2.7960156769999998,,,19.49492811,449.2208646000001,0
334,,,0.229708131,0.09133623,,14.69063307,9.546051121,,0
335,,44.02731793,0.37751653399999996,,,,,,0
336,84.46875,37.91704298,0.5855127720000001,2.010289024,,,,53.13353864,0
337,,43.85611503,0.265675751,0.381781209,,,8.555304146000001,,0
338,117.9296875,50.02143034,0.146163662,,2.397993311,15.63934439,10.05323182,122.73556950000001,0
339,132.3671875,,,0.45589229600000003,5.434782609,28.13393542,,31.45380023,0
340,108.3359375,48.10491096,0.477120087,-0.032678707,,51.08210928,,5.667790547999999,0
341,123.21875,,,-0.309866307,2.611204013,16.24808221,,104.75484909999999,0
342,,,0.39188359100000003,,3.751672241,,6.638846262,,0
343,90.8046875,,,,,,,,0
344,129.15625,54.27281166,0.09917592900000001,,,,10.58899589,149.1998503,0
345,,55.59800741,,-0.560667782,6.326923077000001,28.30009946,5.4414012000000005,,0
346,,40.24989082,0.55491087,1.400578264,,,,124.38455520000001,0
347,74.4921875,,,,0.45819398,,23.07772417,581.6187764,0
348,121.6171875,,0.15549113,,2.565217391,,,82.62589265,0
349,104.3046875,,0.262243112,0.895449666,1.320234114,11.41473957,14.36909309,256.8858659,0
350,115.890625,38.29067167,0.173415618,0.9379313340000001,1.981605351,13.70818651,11.640273800000001,,0
351,122.4140625,54.05820465,-0.025467255,,,28.19037015,,35.90101448,0
352,,,,,,,1.915499225,,1
353,126.6171875,,0.20969628199999998,0.21324681199999998,6.846153846,30.04383214,4.757659191,23.40190005,0
354,108.4921875,,,,1.057692308,13.49479707,15.127286999999999,,0
355,,,0.754290769,1.719454864,,14.02127145,,,0
356,,,0.34938963,,8.516722408,,,,0
357,86.4296875,35.92737544,,2.564840604,,,10.70928352,152.95182509999998,0
358,106.9140625,44.02609797,,0.25520681,,22.27063851,,55.76741228,0
359,124.40625,,,-0.245300685,2.847826087,,,69.90725849,0
360,92.46875,,,3.0921627160000003,27.56187291,71.84514203,,3.041460823,0
361,121.140625,,,,1.1647157190000001,13.77550996,13.78602442,204.8889146,0
362,112.9765625,,0.287577342,,,,10.95261816,173.74979380000002,0
363,,,0.013047081,,2.498327759,,,116.0426692,0
364,,42.44792809,-0.260856164,,,16.22008187,,92.58924632,0
365,,51.68041383,0.15077565,-0.22450535800000002,,12.68286833,,151.531413,0
366,,,0.061484647999999996,,2.8971571910000002,,8.312883703999999,,0
367,98.4140625,,0.374743557,0.43702576200000004,2.580267559,,,85.89132857,0
368,,,,-0.28876048600000004,,11.18212067,,,0
369,,,,,,,8.059278165,72.37749027,0
370,,44.57985012,,0.529629047,,,8.270772005,71.70782944,1
371,142.359375,,-0.056778507,-0.091045708,2.95735786,16.58536308,8.54080181,92.47603748,0
372,138.1796875,47.84846419,-0.131220122,,6.069397993,31.55312503,5.34106761,,0
373,,46.405818599999996,,0.23480017600000003,,,9.779744597999999,,0
374,118.1796875,56.7238973,-0.008117240999999999,-0.606142219,,31.54047472,,29.59900909,0
375,,,1.586844849,5.187632711,,35.21216504,,21.33031538,1
376,126.4375,47.27855453,,0.18170498899999998,0.701505017,,18.34625198,358.056205,0
377,,45.98796057,-0.065127462,0.250212011,89.09448161,90.94676823,,,0
378,,,,,,,,,0
379,94.9609375,41.00541167,,,,17.54875839,,,0
380,,52.66821486,-0.06371004400000001,-0.277461009,4.820234114,,6.4062431779999995,44.43330029,0
381,126.9375,50.30636609,0.11279792,,,16.7127396,10.47812886,115.1714701,0
382,,,0.110965928,-0.369773614,,,17.86767543,397.3663127,0
383,75.828125,32.39553147,1.1595652109999999,,1.859531773,15.12977312,10.49178842,128.3533747,0
384,22.796875,31.00790206,,36.11819086,,57.22812665,0.741588543,0.22585899399999998,1
385,84.4375,,,,,,,,0
386,,43.48603334,,0.406923177,,,6.775610828,,0
387,,49.49542277,,,,13.18480199,,134.1595321,0
388,,,0.07438531599999999,,3.026755853,17.79554884,7.595710221,69.59905286,0
389,124.9375,,0.213579642,,,20.40992656,6.3764765489999995,48.14747511,0
390,,,0.09097573099999999,-0.44442201299999995,,73.24054455,,,0
391,,,0.16794500199999998,,,,,,0
392,99.796875,42.55444296,,,3.367056856,19.09590875,8.164757852000001,,0
393,,,,,1.495819398,,13.30621017,200.8570219,1
394,,,,,18.45568562,,,7.9199221810000004,1
395,127.6015625,51.76891862,0.19949065600000002,,6.558528428,,5.0695097769999995,,0
396,124.609375,,0.29237673399999997,,,,10.65257128,148.70147849999998,0
397,108.109375,,0.37814952700000004,-0.255475524,,,6.7802896310000005,,0
398,27.0390625,33.75472243,,26.25535718,129.8637124,78.81543990000002,,-0.893790697,1
399,131.9140625,,-0.071573031,,,,,,0
400,,,,,3.987458194,23.86617532,,,0
401,,,0.566820227,,,,7.652617737999999,,0
402,,43.70228425,,,2.341973244,13.33793885,9.437351287,128.7812011,0
403,,,0.46971267200000005,0.360433385,2.316889632,14.00122124,9.493822245,120.1010674,0
404,,46.16067639,,,2.27090301,15.18030506,9.917985713,,0
405,145.40625,,-0.27204904,-0.087419275,,,14.37380054,,0
406,,31.29615342,,29.80988336,,,2.3863642290000002,,1
407,117.2421875,55.24812583,0.274789799,-0.433701205,,,-1.199482957,,0
408,121.1484375,,0.09760824900000001,-0.363356701,1.8311036790000002,18.21131725,,,0
409,93.28125,44.63566705,,0.321805412,,12.41086887,13.57448009,,0
410,56.390625,40.09621911,2.66490404,9.255957956,176.0225753,,,-0.330926406,0
411,,,-0.07319758900000001,,,,10.37269733,,0
412,,,-0.191162723,0.468665923,,21.75140602,7.22825123,55.67498253,0
413,118.453125,44.20263344,,0.139725829,,,12.90421569,211.2273103,0
414,,,,,,,,104.2756761,0
