,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,class
10,0.0,0.0,0.26,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,0.0,0.0,0.0,1.61,0.8,0.0,0.0,,0.8,0.0,0.0,0.0,,0.0,0.8,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.128,0.042,0.0,,0.0,0.0,,6.0,139.0,0
11,0.0,0.0,0.32,,,,0.32,0.32,0.0,,0.0,0.32,0.32,0.0,0.0,,,0.0,2.28,0.0,3.25,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.32,0.0,,0.0,0.0,0.112,0.0,0.0,,,1.494,10.0,139.0,1
12,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0
13,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.46,0.0,0.0,0.0,0.185,,0.0,0.0,0.0,1.904,11.0,80.0,0
14,0.0,0.0,,,0.53,0.0,1.07,0.0,,0.53,0.0,,0.0,,0.0,0.0,0.0,1.61,1.07,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.0,,0.0,,2.333,14.0,119.0,1
15,0.0,0.0,,0.0,0.94,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.94,,0.0,0.0,0.0,0.0,0.0,0.756,,0.0,1.0,1.0,22.0,0
16,0.42,0.0,0.0,,,0.0,0.0,0.0,0.0,0.42,0.0,0.42,0.42,0.0,0.0,0.0,,,0.42,0.0,0.42,0.0,0.0,0.0,,2.57,0.0,,0.0,0.42,0.0,0.0,,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,1.533,9.0,,0
17,0.54,,0.0,0.0,,0.27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.79,0.0,0.54,,0.0,0.0,0.27,0.0,,0.0,0.0,0.0,0.54,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.433,0.0,,0.078,,1.859,,106.0,0
18,,0.36,0.73,0.0,0.0,0.73,0.73,1.1,0.36,,0.0,0.36,0.0,0.0,0.0,1.1,,0.36,2.2,2.2,2.2,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.5,0.333,0.0,3.259,30.0,,1
19,1.16,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,1.16,1.16,,0.0,0.0,0.0,1.16,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.176,0.176,0.0,0.0,0.0,0.0,1.476,7.0,31.0,0
20,0.0,0.26,0.26,,0.39,,0.13,0.0,0.0,0.26,0.0,,,,0.13,,0.0,0.13,3.14,0.26,,7.33,,0.26,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,0.889,12.454,,1096.0,1
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.941,0.0,,0.0,0.0,1.0,1.0,4.0,0
22,0.0,0.56,0.0,0.0,0.56,0.0,,0.0,1.01,0.56,0.11,1.79,0.22,,0.0,,0.22,,1.79,0.0,2.8,0.0,0.0,0.0,0.11,0.11,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.186,0.0,0.056,0.056,,2.153,,532.0,1
23,0.0,,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.204,0.0,5.181,25.0,57.0,1
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,0.0,,0.0,0.215,0.431,0.0,4.0,25.0,76.0,1
25,0.0,0.0,0.27,,0.0,0.27,0.0,0.0,0.0,,0.0,0.27,1.39,0.0,0.0,0.27,0.0,0.27,,0.0,0.55,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.27,,0.0,0.051,,0.0,0.0,,0.0,1.195,6.0,55.0,0
26,0.0,0.0,0.0,0.0,0.0,0.0,,0.67,0.0,0.67,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.34,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.17,0.511,0.085,0.511,0.0,0.0,4.617,27.0,217.0,1
27,2.27,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.401,0.0,,,0.0,1.0,1.0,5.0,0
28,0.0,0.0,,,0.0,0.0,,0.0,0.0,18.18,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,20.0,,40.0,0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,0.74,0.0,,,0.74,0.0,0.0,0.0,0.0,0.0,0.0,1.49,,1.49,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,4.0,45.0,,0
30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.97,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.491,,,0.0,0.0,4.312,33.0,138.0,0
31,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.9,4.5,0.0,,0.145,0.0,,0.0,0.0,0.0,,20.0,124.0,0
32,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,4.0,,0
33,0.0,1.31,0.56,0.0,0.0,0.93,0.0,,0.37,0.75,0.0,2.06,0.0,0.0,0.0,0.0,0.37,0.0,2.44,0.0,0.93,0.0,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.08,0.0,0.268,0.107,0.0,2.698,42.0,251.0,1
34,0.0,0.0,0.22,0.0,0.0,,0.0,0.0,0.0,0.0,,0.68,0.9,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.22,,0.0,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,2.182,42.0,203.0,0
35,0.0,2.46,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.23,,0.0,1.23,0.0,0.0,0.0,0.0,0.0,3.7,2.46,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1.23,,0.0,0.0,0.0,0.392,,0.0,0.0,0.0,2.142,10.0,75.0,0
36,,,0.76,0.0,0.85,1.02,0.25,0.17,0.59,,0.17,0.59,0.17,0.0,2.21,0.25,0.08,0.93,1.61,0.17,0.42,0.0,0.85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.08,0.0,0.0,,,0.08,0.08,0.0,0.0,0.0,0.065,0.0,,,0.013,7.484,669.0,,1
37,0.0,14.28,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,9.0,0
38,0.0,0.0,,0.0,,,,0.3,0.0,0.0,0.6,0.9,0.0,0.0,0.0,0.9,0.6,0.3,2.4,2.7,,,,0.6,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.048,0.0,,0.0,0.096,5.403,139.0,281.0,1
39,0.0,0.0,0.91,0.0,0.0,0.45,,0.0,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,,0.45,2.28,0.0,1.36,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.416,,0.486,0.0,,3.782,31.0,87.0,0
40,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,,0.0,0.52,0.0,0.0,0.0,0.52,0.52,0.52,1.05,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166,0.0,0.0,0.0,0.0,3.888,,140.0,0
41,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,1.8,,9.0,0
42,0.73,0.0,0.36,0.0,,0.36,1.1,0.0,,0.0,0.0,0.36,0.0,0.0,0.0,0.36,1.84,0.73,2.58,0.0,1.1,0.0,0.36,1.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.435,0.062,,,190.0,300.0,1
43,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.52,2.03,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.122,0.061,0.0,4.309,38.0,237.0,0
44,0.44,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.44,0.0,0.0,0.0,2.22,0.0,0.0,0.0,0.0,0.44,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.265,0.0,0.0,0.0,0.0,1.48,7.0,74.0,0
45,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,7.0,0
46,0.0,0.0,0.0,,0.0,,0.0,0.0,0.8,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,0.0,0.294,0.0,,0.0,0.0,1.166,2.0,14.0,0
47,0.1,0.1,0.71,0.0,0.61,0.3,0.4,0.1,,,0.1,0.5,0.0,0.0,0.0,0.1,0.0,1.11,2.23,0.5,2.03,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.264,,0.396,0.033,3.186,56.0,1042.0,1
48,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,9.0,17.0,0
49,0.17,0.17,0.71,0.0,,0.17,,0.89,,0.53,0.35,1.61,0.0,0.0,0.0,0.0,1.79,0.0,1.97,1.61,4.12,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.115,0.0,1.158,0.057,,5.163,,,1
50,,0.2,0.3,0.0,0.2,0.4,0.2,0.3,0.4,1.71,0.1,,,0.0,,,0.0,0.8,3.43,0.0,1.51,0.0,0.9,0.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.017,0.0,0.275,0.206,0.017,4.923,103.0,1029.0,1
51,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.543,,,0.0,0.0,3.0,18.0,,0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,6.66,0.0,0.0,,0.334,,,0.0,0.0,3.333,18.0,60.0,0
53,0.0,,1.19,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.59,0.0,2.99,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.186,0.559,0.279,,2.297,12.0,108.0,1
54,0.41,0.0,,0.0,,0.0,0.41,0.0,,,,0.0,0.41,,0.0,,0.0,0.0,2.05,0.0,1.23,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.41,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,,0.067,0.0,0.0,1.863,,41.0,1
55,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.93,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93,0.0,,0.0,0.0,0.0,0.0,0.93,0.93,0.93,0.0,0.0,0.0,,0.0,,0.0,0.0,1.911,,,0
56,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.628,0.0,,,0.0,1.5,5.0,15.0,0
57,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,4.76,0.0,0.95,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.95,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.076,3.0,28.0,0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.98,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.159,0.0,0.0,1.45,7.0,74.0,0
59,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.88,0.0,0.17,0.0,,0.17,0.0,,0.0,,0.0,2.46,,1.93,0.0,0.0,,0.52,0.35,,0.17,,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,,0.0,0.17,,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.086,0.0,,0.0,,1.472,15.0,162.0,0
60,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.37,0.0,2.75,,0.0,0.68,0.0,0.0,0.0,0.0,,0.0,0.0,,,2.06,,,0.0,0.68,0.68,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.37,,0.0,0.0,0.0,0.0,0.235,0.0,,0.0,0.0,1.531,11.0,,0
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.58,0.0,0.0,0.0,0.0,,,0.0,1.72,0.0,0.86,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.142,0.0,0.0,3.851,0.0,0.0,13.266,70.0,199.0,1
62,0.0,0.57,0.0,0.0,0.57,0.0,0.57,0.0,0.0,0.57,0.0,0.57,0.0,0.0,,0.0,0.0,0.57,,0.0,1.14,0.0,0.0,0.0,0.57,0.57,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,,0.0,0.072,0.0,0.0,0.072,,0.144,7.512,114.0,293.0,1
63,0.0,0.0,0.28,0.0,0.0,,,,0.0,0.57,0.0,1.43,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,,1.14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.28,0.0,1.14,0.0,,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.28,0.0,0.43,,0.0,,0.0,,55.0,,0
64,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,10.0,0
65,0.0,0.0,0.0,0.0,,,2.1,0.0,0.0,,0.0,1.05,0.0,0.0,,0.0,,0.0,4.21,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,2.695,15.0,62.0,1
66,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.636,0.0,0.0,2.0,10.0,18.0,0
67,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.81,0.0,0.0,0.0,1.62,0.0,0.81,0.0,1.62,1.62,,0.0,,0.0,,0.0,0.0,,1.636,12.0,,0
68,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,10.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,5.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,1.428,3.0,,0
