,i,j
226,59,858
227,59,1127
228,59,1725
229,59,2651
230,60,37
231,60,55
232,60,1027
233,61,580
234,61,809
235,61,916
236,61,2162
237,61,2312
238,62,1553
239,63,822
240,64,709
241,64,1737
242,64,2616
243,65,1307
244,65,1611
245,65,1687
246,65,271
247,65,656
248,65,793
249,65,1128
250,65,2021
251,65,2418
252,65,2419
253,66,2631
254,67,1350
255,67,1608
256,67,2628
257,68,1459
258,68,858
259,68,1986
260,69,1672
261,69,513
262,69,851
263,69,1914
264,69,1920
265,69,1926
266,69,2189
267,70,1509
268,70,2184
269,71,1274
270,71,1986
271,71,2691
272,72,603
273,72,858
274,73,1517
275,73,1626
276,73,297
277,73,376
278,73,535
279,73,636
280,73,689
281,73,714
282,73,858
283,73,1723
284,73,1745
285,73,1751
286,74,1612
287,74,1654
288,74,542
289,74,618
290,74,916
291,74,1017
292,74,2052
293,74,2155
294,74,2419
295,75,84
296,75,1651
297,75,2222
298,75,2223
299,75,2224
300,75,2225
301,76,88
302,76,2018
303,76,2178
304,77,159
305,77,1803
306,78,719
307,78,829
308,78,918
309,79,1671
310,79,2097
311,80,1325
312,80,617
313,80,2049
314,81,1415
315,81,1491
316,81,1595
317,81,2180
318,82,638
319,82,1134
320,83,1020
321,83,2581
322,84,75
323,84,1352
324,84,2223
325,84,2224
326,84,2226
327,85,565
328,85,2487
329,85,2488
330,86,1497
331,86,836
332,86,2034
333,86,2295
334,87,42
335,87,342
336,87,2164
337,88,76
338,88,130
339,88,1230
340,88,1368
341,88,1483
342,88,1566
343,88,196
344,88,237
345,88,243
346,88,315
347,88,341
348,88,351
349,88,674
350,88,788
351,88,809
352,88,894
353,88,994
354,88,1027
355,88,1158
356,88,1177
357,88,1713
358,88,1732
359,88,1741
360,88,1847
361,88,1882
362,88,1908
363,88,2010
364,88,2011
365,88,2012
366,88,2013
367,88,2014
368,88,2015
369,88,2016
370,88,2017
371,88,2178
372,88,2394
373,89,1326
374,89,384
375,89,587
376,89,594
377,89,657
378,89,901
379,89,1030
380,89,1085
381,89,1153
382,89,2463
383,90,1223
384,90,1224
385,90,317
386,90,858
387,91,1398
388,91,546
389,91,2001
390,91,2122
391,91,2123
392,91,2380
393,92,398
394,92,1836
395,93,1618
396,93,450
397,93,995
398,93,2151
399,94,1263
400,94,1654
401,94,175
402,94,233
403,94,434
404,94,1149
405,94,1966
406,94,2263
407,94,2355
408,94,2357
409,94,2490
410,95,1402
411,95,1524
412,95,193
413,95,234
414,95,236
415,95,361
416,95,803
417,95,1035
418,95,1080
419,95,1102
420,95,1128
421,95,1838
422,95,2054
423,95,2074
424,95,2181
425,95,2182
426,95,2183
427,95,2197
428,95,2199
429,95,2200
430,95,2201
431,96,2217
432,97,161
433,97,853
434,98,1021
435,99,26
436,99,122
437,99,123
438,99,2454
439,99,2455
440,99,2604
441,100,1102
442,100,2056
443,101,1349
444,101,858
445,101,1089
446,102,109
447,102,751
448,102,948
449,102,1061
450,102,1123
451,102,1871
452,102,1878
453,102,2256
454,103,139
455,103,1374
456,103,1552
457,103,1676
458,103,1775
459,103,1790
460,104,1469
461,104,364
462,104,565
463,104,2210
464,105,59
465,105,1721
466,105,2476
467,105,2651
468,106,2461
469,107,1609
470,107,471
471,107,613
472,107,1150
473,108,1147
474,108,2157
475,108,2209
476,109,102
477,109,124
478,109,133
479,109,1221
480,109,1244
481,109,1304
482,109,1357
483,109,1374
484,109,1386
485,109,1494
486,109,1527
487,109,1587
488,109,1631
489,109,1678
490,109,545
491,109,837
492,109,846
493,109,1124
494,109,1161
495,109,1769
496,109,1772
497,109,1779
498,109,1785
499,109,1787
500,109,1789
501,109,1805
502,109,1998
503,109,2045
504,109,2092
505,109,2093
506,109,2094
507,109,2095
508,110,1635
509,110,661
510,110,762
511,110,1099
512,110,2279
513,111,258
514,111,669
515,111,858
516,111,1762
517,111,2492
518,111,2643
519,112,1374
520,112,1555
521,112,1123
522,112,2080
523,113,1608
524,113,247
525,113,1884
526,114,1678
527,114,2288
528,114,2506
529,115,473
530,116,576
531,116,1001
532,117,1327
533,117,2537
534,118,1323
535,118,1456
536,118,1514
537,118,1522
538,118,1622
539,118,1649
540,118,342
541,118,529
542,118,843
543,118,1007
544,118,1038
545,118,1116
546,118,1190
547,118,1851
548,118,2010
549,118,2030
550,118,2112
551,118,2165
552,118,2166
553,119,1447
554,119,146
555,119,1037
556,119,1049
557,119,1901
558,119,1959
559,120,1551
560,120,1582
561,120,316
562,120,1842
563,120,2405
564,121,1657
565,121,302
566,121,480
567,121,658
568,121,1910
569,121,2251
570,121,2252
571,122,26
572,122,99
573,122,2454
574,122,2455
575,123,26
576,123,99
577,123,2455
578,123,2604
579,124,109
580,124,1374
581,124,867
582,124,1122
583,124,2478
584,125,1526
585,125,2363
586,126,1304
587,126,1374
588,126,1051
589,126,1123
590,126,2045
591,126,2079
592,127,2604
593,128,1301
594,128,1438
595,128,1460
596,128,2270
597,129,1509
598,129,201
599,130,88
600,130,1982
601,130,2017
602,131,334
603,131,2169
604,132,1447
605,132,1547
606,132,404
607,132,522
608,132,1959
609,133,109
610,133,1467
611,133,1520
612,133,1123
613,133,1170
614,133,1777
615,133,1784
616,133,2045
617,133,2082
618,134,1474
619,135,137
620,135,2095
621,135,2144
622,136,331
623,137,135
624,137,2144
625,137,2329
626,137,2504
627,138,1304
628,138,1374
629,138,1776
630,139,18
631,139,103
632,139,1374
633,139,160
634,139,410
635,139,1123
636,139,1780
637,139,2045
638,1208,1650
639,1208,1691
640,1209,240
641,1209,502
642,1209,2034
643,1210,1524
644,1210,1593
645,1210,1128
646,1210,2049
647,1210,2181
648,1211,1384
649,1211,1666
650,1211,1201
651,1212,1213
652,1212,1281
653,1212,1093
654,1212,2192
655,1213,1212
656,1213,1281
657,1213,1605
658,1213,665
659,1213,1093
660,1213,2622
661,1214,397
662,1214,968
663,1214,1907
664,1214,1927
665,1214,2059
666,1215,1019
667,1215,1976
668,1216,1446
669,1216,1449
670,1216,1670
671,1216,214
672,1216,2518
673,1217,580
674,1217,916
675,1217,1155
676,1217,2025
677,1218,1378
678,1218,414
679,1218,1942
680,1219,1986
681,1219,2236
682,1219,2238
683,1219,2335
684,1220,43
685,1220,384
686,1220,2238
687,1220,2240
688,1221,109
689,1221,1304
690,1221,1374
691,1221,1527
692,1221,1123
693,1221,2045
694,1222,1394
695,1222,1432
696,1222,319
697,1222,738
698,1222,839
699,1222,858
700,1222,944
701,1222,1068
702,1222,1752
703,1222,1753
704,1222,1754
705,1222,2525
706,1223,90
707,1223,1224
708,1223,317
709,1223,858
710,1223,1189
711,1223,1736
712,1223,1763
713,1224,90
714,1224,1223
715,1224,317
716,1224,858
717,1224,1189
718,1224,1763
719,1225,1666
720,1225,1201
721,1225,1870
722,1225,2493
723,1226,14
724,1226,1248
725,1226,1201
726,1226,2034
727,1227,1248
728,1227,2308
729,1228,1345
730,1228,1621
731,1228,243
732,1228,245
733,1228,1986
734,1228,2000
735,1228,2009
736,1229,342
737,1229,2010
738,1230,88
739,1230,1391
740,1230,674
741,1230,768
742,1230,1167
743,1231,47
744,1232,1278
745,1232,1279
746,1233,1666
747,1233,973
748,1233,2706
749,1233,2707
750,1234,1339
751,1234,2617
752,1235,1236
753,1235,556
754,1235,2437
755,1235,2482
756,1236,1235
757,1236,2437
758,1236,2438
759,1237,1994
760,1237,2706
761,1238,567
762,1238,858
763,1239,275
764,1239,290
765,1239,1048
766,1240,1308
767,1240,1580
768,1240,256
769,1240,1192
770,1240,2187
771,1241,187
772,1241,533
773,1241,858
774,1241,1086
775,1242,1697
776,1242,858
777,1242,1742
778,1242,2334
779,1243,41
780,1243,1664
781,1243,455
782,1243,1914
783,1243,2135
784,1243,2217
785,1243,2388
786,1244,109
787,1244,1299
788,1244,473
789,1245,226
790,1245,1139
791,1245,2679
792,1245,2682
793,1246,333
794,1247,1265
795,1247,1299
796,1247,1986
797,1248,1226
798,1248,1227
799,1248,275
800,1248,290
801,1248,291
802,1248,520
803,1248,1807
804,1248,2004
805,1248,2037
806,1248,2076
807,1249,513
808,1249,859
809,1249,964
810,1249,1183
811,1250,1251
812,1250,497
813,1251,1250
814,1251,497
815,1251,1837
816,1252,1588
817,1253,1365
818,1253,2003
819,1254,728
820,1254,819
821,1254,1036
822,1254,1172
823,1254,2580
824,1254,2702
825,1255,708
826,1256,669
827,1256,1727
828,1257,1632
829,1257,572
830,1257,762
831,1257,1009
832,1258,1559
833,1258,2135
834,1259,1450
835,1259,1676
836,1259,1177
837,1259,1791
838,1259,1998
839,1259,2385
840,1260,2472
841,1261,1509
842,1261,1526
843,1262,1541
844,1262,550
845,1262,951
846,1262,2564
847,1262,2646
848,1263,94
849,1263,2424
850,1264,1497
851,1264,1510
852,1264,2122
853,1265,1247
854,1265,1299
855,1265,2412
856,1266,755
857,1267,1488
858,1267,1869
859,1268,939
860,1268,2676
861,1269,24
862,1269,1365
863,1269,1638
864,1269,1666
865,1269,1201
866,1269,1986
867,1269,2430
868,1270,1421
869,1270,673
870,1270,750
871,1270,845
872,1271,354
873,1271,357
874,1271,463
875,1271,615
876,1271,1869
877,1272,1483
878,1273,1201
879,1273,1869
880,1274,71
881,1274,2691
882,1275,333
883,1276,7
884,1277,2681
885,1278,55
886,1278,1232
887,1278,579
888,1278,1114
889,1278,1126
890,1278,1171
891,1278,1905
892,1278,1906
893,1278,1907
894,1278,2309
895,1279,1232
896,1279,1424
897,1279,894
898,1279,1908
899,1279,1909
900,1280,790
901,1281,1212
902,1281,1213
903,1281,1093
904,1281,2192
905,1282,2194
906,1283,1201
907,1283,1986
908,1283,2045
909,1284,1042
910,1284,1201
911,1285,1311
912,1285,2473
913,1285,2474
914,1286,1550
915,1286,233
916,1286,281
917,1286,292
918,1286,520
919,1286,848
920,1286,882
921,1286,2076
922,1286,2091
923,1286,2119
924,1286,2594
925,1287,1575
926,1287,913
927,1287,1042
928,1288,1444
929,1288,317
930,1288,413
931,1289,317
932,1290,321
933,1291,244
934,1291,654
935,1291,1761
936,1292,1810
937,1292,2034
938,1293,2255
939,1294,1201
940,1295,1602
941,1295,383
942,1296,1390
943,1296,348
944,1296,858
945,1296,1721
946,1296,1871
947,1297,553
948,1297,905
949,1297,1894
950,1297,2118
951,1298,1617
952,1298,1645
953,1298,595
954,1298,717
955,1298,1810
956,1299,1244
957,1299,1247
958,1299,1265
959,1299,1300
960,1299,1455
961,1299,1619
962,1299,1201
963,1299,1868
964,1299,2217
965,1300,1299
966,1300,369
967,1300,1201
968,1300,1864
969,1300,1986
970,1301,128
971,1302,1678
972,1302,2591
973,1303,1201
974,1304,109
975,1304,126
976,1304,138
977,1304,1221
978,1304,1374
979,1304,572
980,1304,1072
981,1304,2045
982,1304,2046
983,1304,2078
984,1304,2079
985,1305,2539
986,1306,1828
987,1307,65
988,1307,1687
989,1307,387
990,1307,410
991,1307,569
992,1307,720
993,1307,774
994,1307,876
995,1307,1759
996,1307,1909
997,1307,2021
998,1307,2182
999,1307,2418
1000,1308,1240
1001,1308,1580
1002,1308,256
1003,1308,972
1004,1308,1192
1005,1309,941
1006,1310,1347
1007,1310,338
1008,1310,631
1009,1310,2280
1010,1311,1285
1011,1311,1541
1012,1311,2474
1013,1311,2647
1014,1311,2648
1015,1312,1633
1016,1312,572
1017,1312,858
1018,1312,1110
1019,1313,282
1020,1313,662
1021,1314,436
1022,1314,858
1023,1314,1187
1024,1314,2515
1025,1315,2583
1026,1316,764
1027,1316,1031
1028,1316,1964
1029,1317,1689
1030,1317,1884
1031,1317,1978
1032,1318,2429
1033,1319,1321
1034,1319,1575
1035,1319,312
1036,1319,800
1037,1319,913
1038,1319,1042
1039,1319,1933
1040,1320,211
1041,1320,473
1042,1320,1973
1043,1320,2485
1044,1321,1319
1045,1321,1575
1046,1321,913
1047,1322,1575
1048,1322,711
1049,1323,118
1050,1323,766
1051,1323,843
1052,1323,2112
1053,1324,256
1054,1325,80
1055,1325,464
1056,1325,888
1057,1325,2180
1058,1326,89
1059,1326,463
1060,1326,594
1061,1326,653
1062,1326,740
1063,1326,901
1064,1326,2645
1065,1327,117
1066,1327,2537
1067,1328,1433
1068,1329,373
1069,1329,979
1070,1329,1201
1071,1329,1894
1072,1330,851
1073,1330,964
1074,1331,1432
1075,1331,232
1076,1331,603
1077,1332,1540
1078,1332,344
1079,1332,1826
1080,1332,1902
1081,1333,941
1082,1334,1646
1083,1334,309
1084,1334,2227
1085,1334,2229
1086,1335,170
1087,1335,2000
1088,1335,2373
1089,1336,1740
1090,1336,2451
1091,1337,8
1092,1337,1389
1093,1337,1486
1094,1337,2543
1095,1337,2551
1096,1338,1347
1097,1338,338
1098,1338,695
1099,1338,715
1100,1338,2280
1101,1339,1234
1102,1339,1706
1103,1339,1970
1104,1339,2387
1105,1339,2498
1106,1340,2012
1107,1341,1442
1108,1341,346
1109,1342,248
1110,1342,249
1111,1343,305
1112,1343,1967
1113,1344,963
1114,1344,1195
1115,1344,2133
1116,1345,1228
1117,1345,1621
1118,1345,196
1119,1345,473
1120,1345,1869
1121,1346,685
1122,1347,32
1123,1347,1310
1124,1347,1338
1125,1347,1372
1126,1347,1570
1127,1347,166
1128,1347,338
1129,1347,695
1130,1347,2165
1131,1347,2280
1132,1347,2344
1133,1347,2423
1134,1348,1035
1135,1348,2155
1136,1349,8
1137,1349,101
1138,1349,246
1139,1349,500
1140,1349,847
1141,1349,882
1142,1349,2244
1143,1349,2247
1144,1350,67
1145,1350,247
1146,1351,1059
1147,1351,2250
1148,1352,84
1149,1352,1651
1150,1352,2222
1151,1352,2223
1152,1352,2224
1153,1352,2225
1154,1352,2226
1155,1353,1570
1156,1353,1999
1157,1354,33
1158,1354,1510
1159,1354,198
1160,1355,2705
1161,1356,1686
1162,1357,109
1163,1357,858
1164,1357,1722
1165,1358,1396
1166,1358,1635
1167,1358,187
1168,1358,1765
1169,1358,2359
1170,1359,1192
1171,1360,2562
1172,1361,2038
1173,1362,1374
1174,1362,2047
1175,1363,676
1176,1363,677
1177,1364,232
1178,1364,2685
1179,1365,1253
1180,1365,1269
1181,1365,1666
1182,1365,399
1183,1365,1042
1184,1366,1675
1185,1366,595
1186,1366,825
1187,1367,984
1188,1367,2383
1189,1367,2386
1190,1367,2387
1191,1367,2498
1192,1368,88
1193,1368,1483
1194,1368,1702
1195,1369,669
1196,1369,2492
1197,1370,1374
1198,1370,1418
1199,1370,219
1200,1370,658
1201,1370,753
1202,1371,219
1203,1371,1170
1204,1371,2143
1205,1372,1347
1206,1372,672
1207,1372,1857
1208,1372,2423
1209,1373,916
1210,1373,1927
1211,1374,103
1212,1374,109
1213,1374,112
1214,1374,124
1215,1374,126
1216,1374,138
1217,1374,139
1218,1374,1221
1219,1374,1304
1220,1374,1362
1221,1374,1370
1222,1374,1376
1223,1374,1397
1224,1374,1418
1225,1374,1485
1226,1374,1494
1227,1374,1520
1228,1374,1544
1229,1374,1555
1230,1374,1587
1231,1374,1610
1232,1374,1622
1233,1374,1641
1234,1374,1649
1235,1374,1676
1236,1374,155
1237,1374,156
1238,1374,219
1239,1374,387
1240,1374,410
1241,1374,458
1242,1374,473
1243,1374,509
1244,1374,545
1245,1374,572
1246,1374,658
1247,1374,693
1248,1374,745
1249,1374,751
1250,1374,846
1251,1374,867
1252,1374,983
1253,1374,990
1254,1374,1051
1255,1374,1072
1256,1374,1084
1257,1374,1140
1258,1374,1151
1259,1374,1156
1260,1374,1205
1261,1374,1770
1262,1374,1771
1263,1374,1772
1264,1374,1775
1265,1374,1779
1266,1374,1781
1267,1374,1782
1268,1374,1787
1269,1374,1797
1270,1374,1798
1271,1374,1799
1272,1374,1802
1273,1374,1804
1274,1374,1805
1275,1374,1856
1276,1374,2045
1277,1374,2046
1278,1374,2048
1279,1374,2078
1280,1374,2080
1281,1374,2084
1282,1374,2085
1283,1374,2086
1284,1374,2087
1285,1374,2088
1286,1374,2089
1287,1374,2090
1288,1374,2091
1289,1375,491
1290,1376,1374
1291,1376,1418
1292,1376,753
1293,1376,1170
1294,1376,2045
1295,1377,1451
1296,1377,2268
1297,1377,2305
1298,1378,1218
1299,1378,1420
1300,1378,375
1301,1378,392
1302,1378,490
1303,1378,741
1304,1378,772
1305,1378,831
1306,1378,1081
1307,1378,1815
1308,1378,1944
1309,1378,1945
1310,1378,1946
1311,1378,1947
1312,1378,1948
1313,1378,1949
1314,1378,1950
1315,1379,1411
1316,1379,190
1317,1379,632
1318,1379,1865
1319,1380,1110
1320,1380,1722
1321,1380,1740
1322,1381,2296
1323,1382,1123
1324,1382,2000
1325,1383,1476
1326,1383,1491
1327,1383,1102
1328,1383,1921
1329,1383,2232
1330,1384,1211
1331,1384,1666
1332,1384,266
1333,1384,345
1334,1384,420
1335,1384,573
1336,1384,797
1337,1384,1821
1338,1384,1868
1339,1384,2004
1340,1385,1124
1341,1385,1785
1342,1386,109
1343,1386,1631
1344,1386,1201
1345,1386,2045
1346,1387,705
1347,1388,1416
1348,1388,1097
1349,1389,1337
1350,1389,583
1351,1389,950
1352,1390,1296
1353,1391,55
1354,1391,1230
1355,1391,1566
1356,1391,2020
1357,1391,2022
1358,1392,327
1359,1392,2156
1360,1392,2194
1361,1393,287
1362,1393,1848
1363,1394,1222
1364,1394,858
1365,1394,1754
1366,1395,428
1367,1395,825
1368,1395,1996
1369,1395,2063
1370,1395,2064
1371,1396,1358
1372,1396,451
1373,1396,750
1374,1397,1374
1375,1397,1798
1376,1397,2598
1377,1398,91
1378,1398,1005
1379,1398,2123
1380,1399,1027
1381,1399,2480
1382,1400,2
1383,1400,165
1384,1400,2003
1385,1400,2122
1386,1400,2615
1387,1401,858
1388,1401,1194
1389,1402,95
1390,1402,193
1391,1402,513
1392,1403,1201
1393,1403,1986
1394,1404,1944
1395,1404,1950
1396,1405,714
1397,1405,858
1398,1405,999
1399,1405,1776
1400,1406,913
1401,1406,1042
1402,1406,1934
1403,1407,313
1404,1408,1652
1405,1408,2463
1406,1409,1681
1407,1409,858
1408,1409,889
1409,1409,1046
1410,1409,2045
1411,1410,572
1412,1410,1012
1413,1411,1379
1414,1411,1201
1415,1412,1457
1416,1412,1509
1417,1412,161
1418,1412,354
1419,1412,2323
1420,1413,333
1421,1414,499
1422,1414,858
1423,1415,81
1424,1415,1476
1425,1415,1491
1426,1415,1593
1427,1416,1388
1428,1416,1143
1429,1416,2248
1430,1416,2250
1431,1417,1487
1432,1417,1533
1433,1417,2427
1434,1418,1370
1435,1418,1374
1436,1418,1376
1437,1418,1474
1438,1418,156
1439,1418,1123
1440,1418,1140
1441,1418,1775
1442,1418,1778
1443,1418,1782
1444,1418,2084
1445,1418,2085
1446,1418,2089
1447,1418,2090
1448,1419,1810
1449,1420,1378
1450,1420,794
1451,1420,1944
1452,1421,1270
1453,1421,673
1454,1421,845
1455,1421,2507
1456,1422,159
1457,1422,1803
1458,1422,2453
1459,1423,1168
1460,1424,1279
1461,1424,1566
1462,1424,759
1463,1424,2018
1464,1424,2116
1465,1425,157
1466,1425,654
1467,1425,858
1468,1425,2652
1469,1426,2642
1470,1427,1457
1471,1427,983
1472,1427,1120
1473,1428,909
1474,1428,1824
1475,1429,2681
1476,1430,1966
1477,1431,503
1478,1432,1222
1479,1432,1331
1480,1432,232
1481,1432,319
1482,1432,470
1483,1432,806
1484,1432,858
1485,1432,1106
1486,1432,1132
1487,1432,1756
1488,1432,2642
1489,1433,1328
1490,1433,2469
1491,1434,1621
1492,1434,245
1493,1434,1083
1494,1434,1986
1495,1435,2083
1496,1435,2451
1497,1436,1496
1498,1436,496
1499,1436,694
1500,1436,866
1501,1436,1045
1502,1436,2249
1503,1436,2393
1504,1437,1453
1505,1437,2484
1506,1438,128
1507,1438,908
1508,1438,914
1509,1438,915
1510,1438,2269
1511,1439,220
1512,1439,854
1513,1439,914
1514,1439,915
1515,1439,941
1516,1439,1053
1517,1439,2375
1518,1440,1694
1519,1440,1710
1520,1440,1834
1521,1440,2377
1522,1441,6
1523,1441,525
1524,1441,542
1525,1442,1341
1526,1442,1481
1527,1442,346
1528,1442,601
1529,1442,2146
1530,1442,2147
1531,1442,2149
1532,1443,463
1533,1443,2401
1534,1443,2434
1535,1443,2435
1536,1444,1288
1537,1444,172
1538,1444,1083
1539,1445,178
1540,1445,233
1541,1445,765
1542,1445,2291
1543,1446,1216
1544,1446,1670
1545,1447,119
1546,1447,132
1547,1447,404
1548,1447,522
1549,1447,1898
1550,1447,1959
1551,1448,1545
1552,1448,430
1553,1448,2569
1554,1449,1216
1555,1449,2518
1556,1449,2538
1557,1450,1259
1558,1450,703
1559,1450,2034
1560,1451,1377
1561,1451,233
1562,1451,1204
1563,1451,2268
1564,1452,1123
1565,1452,1124
1566,1453,1437
1567,1453,2483
1568,1453,2484
1569,1454,2114
1570,1454,2115
1571,1454,2117
1572,1455,1299
1573,1455,1587
1574,1455,2191
1575,1456,118
1576,1456,1899
1577,1456,2497
1578,1457,1412
1579,1457,1427
1580,1457,204
1581,1457,405
1582,1457,577
1583,1457,983
1584,1457,1743
1585,1457,2450
1586,1458,608
1587,1459,68
1588,1459,1561
1589,1459,1986
1590,1459,2365
1591,1460,128
1592,1460,220
1593,1460,915
1594,1460,1119
1595,1460,1825
1596,1460,2269
1597,1461,239
1598,1462,1645
1599,1462,349
1600,1462,563
1601,1462,564
1602,1462,2351
1603,1463,140
1604,1463,647
1605,1463,2367
1606,1464,717
1607,1464,1988
1608,1465,165
1609,1465,379
1610,1465,596
1611,1465,2329
1612,1466,230
1613,1466,2177
1614,1467,133
1615,1467,1612
1616,1467,589
1617,1467,1769
1618,1467,2107
1619,1468,854
1620,1469,54
1621,1469,104
1622,1469,233
1623,1469,565
1624,1469,596
1625,1469,660
1626,1470,1575
1627,1470,276
1628,1470,913
1629,1470,1042
1630,1470,1932
1631,1470,1936
1632,1470,1940
1633,1471,1532
1634,1471,306
1635,1471,537
1636,1471,883
1637,1471,1742
1638,1471,2503
1639,1471,2654
1640,1472,670
1641,1472,976
1642,1473,238
1643,1473,775
1644,1473,1927
1645,1473,2059
1646,1474,134
1647,1474,1418
1648,1474,1573
1649,1474,2505
1650,1475,1477
1651,1475,195
1652,1475,1181
1653,1475,1182
1654,1476,1383
1655,1476,1415
1656,1476,1593
1657,1476,234
1658,1476,1841
1659,1476,2056
1660,1477,1475
1661,1477,1124
1662,1477,1181
1663,1477,2084
1664,1478,176
1665,1478,679
1666,1479,596
1667,1479,988
1668,1479,1077
1669,1479,2609
1670,1480,56
1671,1480,1116
1672,1480,1849
1673,1481,1442
1674,1482,211
1675,1483,88
1676,1483,1272
1677,1483,1368
1678,1483,1593
1679,1483,1661
1680,1483,237
1681,1483,318
1682,1483,351
1683,1483,466
1684,1483,674
1685,1483,809
1686,1483,1027
1687,1483,1144
1688,1483,1177
1689,1483,1843
1690,1483,1847
1691,1483,1850
1692,1483,1908
1693,1483,2014
1694,1483,2178
1695,1483,2182
1696,1484,1587
1697,1484,1201
1698,1485,1374
1699,1485,572
1700,1485,1871
1701,1485,2034
1702,1485,2494
1703,1486,1337
1704,1487,1417
1705,1488,1267
1706,1488,1869
1707,1489,2213
1708,1489,2216
1709,1490,1613
1710,1491,81
1711,1491,1383
1712,1491,1415
1713,1491,1593
1714,1491,1595
1715,1492,1504
1716,1492,703
1717,1493,2466
1718,1494,109
1719,1494,1374
1720,1494,1555
1721,1494,1772
1722,1494,1777
1723,1494,1782
1724,1494,1789
1725,1494,1805
1726,1495,1633
1727,1495,1028
1728,1496,1436
1729,1496,496
1730,1496,757
1731,1496,2248
1732,1496,2671
1733,1497,38
1734,1497,86
1735,1497,1264
1736,1497,1591
1737,1497,205
1738,1497,294
1739,1497,363
1740,1497,993
1741,1497,1118
1742,1497,1169
1743,1497,1807
1744,1497,1889
1745,1497,2001
1746,1497,2041
1747,1497,2043
1748,1497,2044
1749,1498,2130
1750,1499,2694
1751,1499,2695
1752,1500,942
1753,1500,1097
1754,1501,1504
1755,1501,256
1756,1502,617
1757,1502,1024
1758,1502,1193
1759,1502,2133
1760,1502,2408
1761,1503,1554
1762,1503,233
1763,1503,1912
1764,1504,1492
1765,1504,1501
1766,1504,1551
1767,1504,1566
1768,1504,168
1769,1504,316
1770,1504,378
1771,1504,385
1772,1504,539
1773,1504,631
1774,1504,832
1775,1504,994
1776,1504,1977
1777,1504,1978
1778,1504,1979
1779,1504,1980
1780,1504,1981
1781,1504,1982
1782,1505,1566
1783,1505,218
1784,1505,450
1785,1505,995
1786,1505,1985
1787,1506,218
1788,1506,287
1789,1506,1167
1790,1506,1983
1791,1506,1984
1792,1506,1985
1793,1507,669
1794,1507,1142
1795,1508,1509
1796,1508,225
1797,1508,395
1798,1508,796
1799,1508,1913
1800,1508,2179
1801,1509,70
1802,1509,129
1803,1509,1261
1804,1509,1412
