,i,j
375,1835,541
376,1836,740
377,1837,2289
378,1837,504
379,1838,435
380,1838,2634
381,1838,3324
382,1839,96
383,1839,119
384,1839,279
385,1839,822
386,1839,829
387,1839,3141
388,1840,1131
389,1841,374
390,1842,28
391,1842,1066
392,1842,1580
393,1843,31
394,1843,43
395,1843,1061
396,1843,1202
397,1843,1259
398,1843,1440
399,1843,2330
400,1843,2520
401,1843,2532
402,1843,2533
403,1843,2610
404,1844,255
405,1844,534
406,1844,922
407,1844,2792
408,1845,2175
409,1845,180
410,1845,597
411,1845,631
412,1845,1236
413,1845,1353
414,1845,1696
415,1845,2501
416,1845,2502
417,1846,2309
418,1846,458
419,1847,1213
420,1848,536
421,1849,502
422,1849,700
423,1849,955
424,1849,1559
425,1849,2745
426,1850,1834
427,1851,347
428,1851,630
429,1851,929
430,1851,1610
431,1852,3128
432,1853,14
433,1853,748
434,1854,850
435,1854,939
436,1854,1147
437,1854,1764
438,1854,2419
439,1854,2420
440,1854,2637
441,1854,2638
442,1855,1270
443,1855,1568
444,1855,1728
445,1856,2071
446,1857,113
447,1857,2264
448,1857,177
449,1857,466
450,1857,597
451,1857,857
452,1857,1122
453,1857,1260
454,1857,2488
455,1857,2501
456,1858,430
457,1858,1236
458,1858,1717
459,1858,1799
460,1859,929
461,1859,1166
462,1859,2559
463,1860,2103
464,1860,244
465,1860,255
466,1860,2935
467,1861,2157
468,1861,612
469,1861,631
470,1861,1125
471,1861,1168
472,1862,106
473,1862,422
474,1862,2655
475,1862,2787
476,1863,442
477,1863,834
478,1863,1177
479,1863,3091
480,1864,69
481,1864,99
482,1864,678
483,1864,2520
484,1865,1
485,1865,597
486,1865,2929
487,1866,2172
488,1867,426
489,1867,434
490,1867,1116
491,1867,1633
492,1867,2727
493,1868,1503
494,1868,2746
495,1868,3077
496,1869,570
497,1870,3189
498,1871,2423
499,1872,444
500,1872,1494
501,1872,2814
502,1873,167
503,1874,1404
504,1874,2919
505,1875,3200
506,1876,1954
507,1876,429
508,1877,2198
509,1877,381
510,1877,1255
511,1877,1728
512,1877,2583
513,1877,2595
514,1877,2813
515,1878,2132
516,1879,1057
517,1879,2335
518,1879,2337
519,1880,2226
520,1881,789
521,1882,2951
522,1883,2691
523,1883,2761
524,1884,1471
525,1884,2456
526,1884,2698
527,1885,8
528,1885,533
529,1886,798
530,1886,1360
531,1886,2450
532,1886,2707
533,1887,2058
534,1887,161
535,1887,2650
536,1887,2651
537,1888,762
538,1888,922
539,1889,1762
540,1890,2956
541,1891,1325
542,1892,3282
543,1893,55
544,1893,2520
545,1893,2893
546,1894,1906
547,1895,2631
548,1896,1302
549,1896,1576
550,1896,2448
551,1897,2032
552,1897,3114
553,1897,3191
554,1898,1427
555,1898,1669
556,1900,2279
557,1901,2104
558,1901,1022
559,1901,1120
560,1901,1718
561,1901,2910
562,1901,3059
563,1901,3060
564,1902,907
565,1902,1323
566,1903,2521
567,1904,215
568,1904,255
569,1905,953
570,1905,1501
571,1905,2342
572,1906,1894
573,1907,2852
574,1907,2853
575,1908,1201
576,1909,1094
577,1910,594
578,1910,2909
579,1910,3018
580,1911,1833
581,1911,934
582,1911,3094
583,1912,1919
584,1912,283
585,1912,354
586,1912,1796
587,1912,3083
588,1912,3141
589,1912,3269
590,1913,272
591,1914,1977
592,1915,1925
593,1915,2111
594,1915,2145
595,1915,497
596,1915,1034
597,1915,1218
598,1915,2447
599,1915,2714
600,1915,2716
601,1915,2717
602,1915,2975
603,1916,1491
604,1917,3190
605,1918,944
606,1918,1396
607,1919,1912
608,1919,283
609,1919,2845
610,1919,2846
611,1919,3083
612,1919,3269
613,1920,2235
614,1920,1597
615,1920,3080
616,1921,2499
617,1921,2784
618,1921,2938
619,1922,2289
620,1923,195
621,1923,1155
622,1923,2627
623,1924,819
624,1924,1103
625,1924,2877
626,1925,1915
627,1925,982
628,1925,1218
629,1925,1396
630,1925,2447
631,1925,2714
632,1926,1754
633,1926,3100
634,1927,255
635,1927,468
636,1927,534
637,1927,714
638,1927,922
639,1927,2489
640,1927,2792
641,1928,597
642,1929,26
643,1929,2274
644,1929,892
645,1929,2646
646,1929,2740
647,1929,2867
648,1931,1122
649,1932,241
650,1932,566
651,1932,1028
652,1932,3210
653,1932,3211
654,1933,1407
655,1933,2724
656,1934,343
657,1934,1309
658,1934,2631
659,1934,3254
660,1935,2007
661,1935,2118
662,1935,733
663,1935,1031
664,1935,2825
665,1935,3021
666,1936,27
667,1936,2014
668,1936,2199
669,1936,387
670,1936,395
671,1936,730
672,1936,1523
673,1936,1782
674,1936,2792
675,1936,2795
676,1937,2063
677,1937,1468
678,1937,2988
679,1938,375
680,1939,1959
681,1939,2040
682,1940,1579
683,1941,2289
684,1941,2406
685,1941,3002
686,1942,1963
687,1943,2325
688,1943,1082
689,1944,2292
690,1944,1231
691,1944,2413
692,1944,2576
693,1945,235
694,1946,267
695,1946,821
696,1946,3235
697,1947,2952
698,1948,2310
699,1948,436
700,1948,914
701,1948,1674
702,1948,2871
703,1949,296
704,1949,1082
705,1949,1236
706,1949,1532
707,1949,1696
708,1949,1799
709,1950,431
710,1950,1312
711,1951,406
712,1952,566
713,1952,3131
714,1952,3196
715,1952,3210
716,1952,3211
717,1953,922
718,1953,2792
719,1954,1876
720,1954,717
721,1954,765
722,1954,1563
723,1954,1588
724,1954,2625
725,1954,2655
726,1954,2858
727,1955,2004
728,1955,1169
729,1956,406
730,1957,325
731,1957,1583
732,1958,111
733,1959,1939
734,1960,343
735,1960,1492
736,1960,2591
737,1961,1973
738,1961,1043
739,1961,1187
740,1961,1272
741,1961,1322
742,1961,1567
743,1961,1722
744,1961,2564
745,1961,2631
746,1961,2743
747,1961,2744
748,1961,3254
749,1962,1777
750,1963,1942
751,1964,220
752,1964,2979
753,1965,462
754,1966,1137
755,1966,2987
756,1967,2760
757,1968,1995
758,1969,1097
759,1970,2232
760,1970,237
761,1970,386
762,1970,2436
763,1970,2667
764,1971,767
765,1972,1036
766,1972,1720
767,1972,2466
768,1973,1961
769,1973,172
770,1973,656
771,1973,1309
772,1973,1567
773,1973,2631
774,1973,3254
775,1973,3301
776,1974,249
777,1974,759
778,1975,1442
779,1975,2634
780,1975,3247
781,1975,3324
782,1976,1282
783,1976,1403
784,1976,3233
785,1976,3239
786,1976,3240
787,1976,3241
788,1977,1914
789,1978,766
790,1979,2157
791,1979,2776
792,1980,2123
793,1980,2175
794,1980,268
795,1980,917
796,1980,1717
797,1981,52
798,1982,210
799,1982,797
800,1984,3243
801,1985,1515
802,1985,2483
803,1986,188
804,1986,1428
805,1986,2341
806,1987,796
807,1987,1063
808,1988,146
809,1989,663
810,1989,2363
811,1990,1096
812,1990,3256
813,1991,58
814,1991,1509
815,1992,918
816,1992,1467
817,1993,966
818,1993,1335
819,1993,2416
820,1993,2686
821,1994,511
822,1995,1968
823,1995,861
824,1996,922
825,1996,1443
826,1997,2712
827,1998,373
828,1999,2301
829,1999,1343
830,1999,1641
831,1999,2864
832,2000,1085
833,2000,1374
834,2001,2247
835,2001,3054
836,2002,3069
837,2003,2863
838,2004,1955
839,2004,2220
840,2004,1169
841,2005,79
842,2005,2175
843,2006,557
844,2006,634
845,2007,1935
846,2007,910
847,2007,1031
848,2007,2774
849,2007,2825
850,2008,704
851,2009,462
852,2009,1443
853,2009,2663
854,2010,2200
855,2010,219
856,2010,437
857,2010,690
858,2010,843
859,2010,922
860,2010,980
861,2010,1616
862,2010,1754
863,2010,2597
864,2010,3100
865,2010,3193
866,2011,137
867,2011,1120
868,2011,1525
869,2012,2939
870,2013,868
871,2014,1936
872,2014,2292
873,2014,730
874,2014,790
875,2014,1418
876,2014,1443
877,2014,1730
878,2014,2413
879,2014,2688
880,2014,2792
881,2015,2940
882,2015,3226
883,2016,1180
884,2017,1378
885,2017,2946
886,2017,2947
887,2018,2120
888,2018,753
889,2018,2813
890,2019,2656
891,2020,464
892,2020,2993
893,2021,16
894,2021,2080
895,2021,122
896,2021,412
897,2021,922
898,2021,1067
899,2021,1105
900,2021,1208
901,2021,1443
902,2021,1666
903,2021,2608
904,2021,2609
905,2021,2649
906,2022,624
907,2023,277
908,2023,2941
909,2023,2942
910,2024,2118
911,2025,217
912,2026,1036
913,2026,1720
914,2026,2658
915,2027,2971
916,2028,1727
917,2028,3090
918,2029,1379
919,2030,197
920,2031,3123
921,2032,1897
922,2032,3191
923,2033,484
924,2033,3092
925,2034,882
926,2035,71
927,2035,160
928,2036,1389
929,2036,2530
930,2036,2630
931,2037,3191
932,2037,3213
933,2038,583
934,2038,778
935,2038,1209
936,2038,2958
937,2039,1759
938,2039,2931
939,2040,1939
940,2040,277
941,2041,1192
942,2042,223
943,2042,588
944,2043,2268
945,2043,376
946,2043,680
947,2043,1100
948,2043,2592
949,2043,2593
950,2043,3011
951,2044,1827
952,2044,1150
953,2045,727
954,2045,2654
955,2046,96
956,2046,2179
957,2046,2799
958,2047,550
959,2047,2609
960,2048,1369
961,2049,178
962,2049,3299
963,2050,1273
964,2051,1738
965,2051,3293
966,2052,952
967,2053,1163
968,2054,702
969,2054,1258
970,2054,1353
971,2054,1573
972,2054,2540
973,2054,2645
974,2055,2106
975,2055,1491
976,2056,2771
977,2057,2414
978,2058,1887
979,2058,161
980,2058,612
981,2058,2650
982,2058,2651
983,2059,1228
984,2059,3296
985,2060,98
986,2060,2448
987,2061,3015
988,2062,621
989,2063,1937
990,2063,3163
991,2064,1448
992,2064,2365
993,2064,2366
994,2066,80
995,2066,3038
996,2067,2184
997,2068,1418
998,2068,1685
999,2068,2458
1000,2068,2661
1001,2068,2662
1002,2069,2354
1003,2069,2355
1004,2070,300
1005,2071,1856
1006,2071,2106
1007,2071,1491
1008,2072,130
1009,2072,650
1010,2073,1561
1011,2074,117
1012,2075,699
1013,2076,2287
1014,2077,1657
1015,2077,2512
1016,2078,869
1017,2078,923
1018,2078,1246
1019,2078,1481
1020,2078,2477
1021,2078,3078
1022,2079,3200
1023,2080,2021
1024,2080,2323
1025,2080,412
1026,2080,617
1027,2080,1105
1028,2080,1208
1029,2080,2430
1030,2080,2503
1031,2080,2935
1032,2081,911
1033,2081,2383
1034,2081,2800
1035,2081,3290
1036,2082,1293
1037,2083,1800
1038,2084,215
1039,2084,2420
1040,2085,2778
1041,2085,3276
1042,2086,2289
1043,2086,1689
1044,2087,1655
1045,2087,3195
1046,2088,957
1047,2088,2964
1048,2089,196
1049,2090,489
1050,2090,533
1051,2091,1430
1052,2092,1200
1053,2093,98
1054,2094,2818
1055,2095,1754
1056,2096,1611
1057,2096,2998
1058,2097,371
1059,2097,1416
1060,2097,1603
1061,2097,1605
1062,2098,3004
1063,2099,2331
1064,2100,2273
1065,2101,1379
1066,2101,2606
1067,2101,2722
1068,2102,2532
1069,2102,2634
1070,2103,1860
1071,2103,2175
1072,2103,430
1073,2103,1717
1074,2103,2532
1075,2103,2897
1076,2104,1901
1077,2104,1022
1078,2105,751
1079,2105,1343
1080,2106,2055
1081,2106,2071
1082,2106,457
1083,2107,362
1084,2108,2750
1085,2109,2310
1086,2109,914
1087,2109,2871
1088,2110,3192
1089,2111,1915
1090,2111,1034
1091,2111,1218
1092,2111,1396
1093,2111,2714
1094,2111,2716
1095,2111,2717
1096,2111,2975
1097,2112,2289
1098,2112,1160
1099,2112,1679
1100,2112,3278
1101,2113,796
1102,2114,864
1103,2115,137
1104,2116,841
1105,2116,1029
1106,2116,2596
1107,2117,1308
1108,2117,3113
1109,2118,1935
1110,2118,2024
1111,2118,533
1112,2118,835
1113,2118,910
1114,2118,2825
1115,2119,2454
1116,2119,3261
1117,2120,2018
1118,2120,305
1119,2120,1312
1120,2120,1704
1121,2120,2729
1122,2120,2730
1123,2120,2731
1124,2121,628
1125,2121,1125
1126,2121,1166
1127,2121,2443
1128,2121,2577
1129,2122,2546
1130,2123,1980
1131,2123,1258
1132,2123,2657
1133,2124,415
1134,2124,835
1135,2125,707
1136,2126,2183
1137,2126,504
1138,2127,1433
1139,2128,635
1140,2128,662
1141,2128,1775
1142,2128,2643
1143,2129,1737
1144,2129,2877
1145,2130,1256
1146,2131,3170
1147,2132,1878
1148,2133,1629
1149,2134,340
1150,2134,1060
1151,2134,1205
1152,2134,1614
1153,2134,2491
1154,2135,273
1155,2135,939
1156,2135,1147
1157,2135,1764
1158,2135,2419
1159,2135,2420
1160,2135,2637
1161,2135,2638
1162,2136,2248
1163,2136,1120
1164,2136,1528
1165,2136,1654
1166,2137,1184
1167,2137,2854
1168,2138,369
1169,2138,674
1170,2138,768
1171,2138,2367
1172,2139,2992
1173,2140,2839
1174,2141,2256
1175,2141,1155
1176,2141,2376
1177,2141,2377
1178,2142,519
1179,2142,1375
1180,2142,1496
1181,2143,2332
1182,2144,2932
1183,2145,1915
1184,2145,1218
1185,2145,1396
1186,2145,2714
1187,2145,2716
1188,2145,2717
1189,2145,2975
1190,2146,1511
1191,2146,3135
1192,2147,3055
1193,2148,1282
1194,2148,2514
1195,2148,2822
1196,2149,2921
1197,2150,357
1198,2150,1328
1199,2150,2421
1200,2151,801
1201,2151,2667
1202,2152,2216
1203,2152,2901
1204,2153,2403
1205,2154,684
1206,2154,3290
1207,2155,388
1208,2155,590
1209,2156,1043
1210,2157,1861
1211,2157,1979
1212,2157,2249
1213,2157,382
1214,2157,520
1215,2157,1032
1216,2157,1061
1217,2157,1317
1218,2157,1415
1219,2157,1465
1220,2157,1696
1221,2157,1795
1222,2157,1799
1223,2157,2520
1224,2157,2532
1225,2158,1130
1226,2158,2747
1227,2159,1714
1228,2160,51
1229,2160,307
1230,2160,335
1231,2160,387
1232,2160,441
1233,2160,509
1234,2160,534
1235,2160,714
1236,2160,719
1237,2160,922
1238,2160,1099
1239,2160,1144
1240,2160,1553
1241,2160,1754
1242,2160,2489
1243,2160,2679
1244,2160,2792
1245,2160,2794
1246,2160,2796
1247,2161,2838
1248,2162,1156
1249,2162,1184
1250,2162,1492
1251,2162,3026
1252,2163,1092
1253,2164,938
1254,2165,1733
1255,2165,2373
1256,2166,1599
1257,2167,492
1258,2167,1251
1259,2167,3039
1260,2167,3267
1261,2168,1008
1262,2169,2183
1263,2170,2552
1264,2170,2553
1265,2171,1258
1266,2171,1353
1267,2172,1866
1268,2172,1653
1269,2172,2360
1270,2172,2982
1271,2173,436
1272,2173,1674
1273,2173,3145
1274,2174,4
1275,2175,1845
1276,2175,1980
1277,2175,2005
1278,2175,2103
1279,2175,180
1280,2175,268
1281,2175,430
1282,2175,468
1283,2175,482
1284,2175,597
1285,2175,751
1286,2175,862
1287,2175,973
1288,2175,1165
1289,2175,1236
1290,2175,1353
1291,2175,1589
1292,2175,1696
1293,2175,1717
1294,2175,1799
1295,2175,2634
1296,2175,2729
1297,2175,2730
1298,2176,601
1299,2176,978
1300,2177,1482
1301,2178,1176
1302,2178,2329
1303,2178,2566
1304,2178,2600
1305,2179,110
1306,2179,2046
1307,2179,2248
1308,2179,203
1309,2179,280
1310,2179,1204
1311,2179,1769
1312,2179,3278
1313,2180,343
1314,2180,1308
1315,2180,2537
1316,2181,3063
1317,2181,3064
1318,2182,3298
1319,2183,2126
1320,2183,2169
1321,2183,747
1322,2183,1703
1323,2183,3054
1324,2184,2067
1325,2185,3054
1326,2186,3112
1327,2187,2278
1328,2188,1736
1329,2189,330
1330,2189,333
1331,2189,576
1332,2189,3163
1333,2189,3276
1334,2189,3280
1335,2190,1085
1336,2190,1520
1337,2190,2636
1338,2191,710
1339,2191,1031
1340,2192,552
1341,2192,2763
1342,2193,1
1343,2193,2216
1344,2193,597
1345,2193,615
1346,2193,702
1347,2193,862
1348,2193,1070
1349,2193,2371
1350,2193,2901
1351,2193,3233
1352,2194,57
1353,2194,234
1354,2194,337
1355,2194,640
1356,2194,1151
1357,2194,1608
1358,2195,167
1359,2196,2289
1360,2197,894
1361,2197,2868
1362,2198,1877
1363,2198,381
1364,2198,1728
1365,2198,3003
1366,2199,1936
1367,2199,255
1368,2199,512
1369,2199,534
1370,2199,922
1371,2199,1144
1372,2199,1681
1373,2199,2419
1374,2199,2644
1375,2200,51
1376,2200,2010
1377,2200,714
1378,2200,1651
1379,2201,137
1380,2201,1120
1381,2201,1525
1382,2202,762
1383,2202,922
1384,2203,361
1385,2204,73
1386,2204,1279
1387,2204,2983
1388,2204,2984
1389,2205,2664
1390,2206,386
1391,2206,1774
1392,2207,1309
1393,2207,3254
1394,2208,511
1395,2208,1075
1396,2209,2224
1397,2210,1029
1398,2211,124
1399,2211,1792
1400,2211,2854
1401,2212,1229
1402,2213,1083
1403,2213,1444
1404,2213,3219
1405,2214,2844
1406,2215,1322
1407,2215,2743
1408,2215,3253
1409,2216,2152
1410,2216,2193
1411,2216,862
1412,2216,1070
1413,2217,2837
1414,2218,125
1415,2219,120
1416,2220,2004
1417,2221,2819
1418,2221,2820
1419,2222,883
1420,2222,998
1421,2222,3302
1422,2223,2658
1423,2224,2209
1424,2224,715
1425,2224,1083
1426,2224,2659
1427,2225,1396
1428,2226,1880
1429,2226,3153
1430,2227,2395
1431,2227,2417
1432,2228,464
1433,2229,1330
1434,2230,1340
1435,2230,2364
1436,2231,1037
1437,2231,2797
1438,2231,2948
1439,2232,1970
1440,2232,148
1441,2232,205
1442,2232,2585
1443,2232,2589
1444,2233,420
1445,2233,1663
1446,2234,922
1447,2234,1443
1448,2235,1920
1449,2235,462
1450,2235,922
1451,2235,2411
1452,2235,2839
1453,2236,1224
1454,2236,1458
1455,2237,164
1456,2237,517
1457,2237,1121
1458,2237,1141
1459,2237,1466
1460,2238,2622
1461,2239,30
1462,2239,1444
1463,2240,1264
1464,2240,2702
1465,2241,1787
1466,2242,141
1467,2242,446
1468,2242,2596
1469,2243,2491
1470,2244,150
1471,2244,336
1472,2245,132
1473,2245,1006
1474,2246,1283
1475,2247,83
1476,2247,2001
1477,2247,2262
1478,2247,411
1479,2247,423
1480,2247,1445
1481,2247,2528
1482,2247,2658
1483,2247,2920
1484,2247,2921
1485,2247,3054
1486,2248,110
1487,2248,2136
1488,2248,2179
1489,2248,203
1490,2248,309
1491,2248,322
1492,2248,428
1493,2248,964
1494,2248,977
1495,2248,1120
1496,2248,1204
1497,2248,1268
1498,2248,1365
1499,2248,1769
1500,2248,2732
1501,2248,2756
1502,2248,2850
1503,2248,3055
1504,2248,3056
1505,2248,3057
1506,2248,3058
1507,2248,3278
1508,2249,2157
1509,2249,520
1510,2249,1795
1511,2250,2573
1512,2251,1415
1513,2251,1802
1514,2252,546
1515,2252,1759
1516,2254,2289
1517,2254,319
1518,2255,351
1519,2255,1377
1520,2255,1563
1521,2256,2141
1522,2256,255
1523,2256,922
1524,2256,1321
1525,2256,2376
1526,2256,2597
1527,2256,2792
1528,2257,2909
1529,2257,3018
1530,2257,3019
1531,2258,249
1532,2258,759
1533,2259,2426
1534,2259,2799
1535,2260,114
1536,2261,299
1537,2262,2247
1538,2263,469
1539,2264,12
1540,2264,1857
1541,2264,225
1542,2264,1383
1543,2264,1422
1544,2265,81
1545,2265,2298
1546,2265,645
1547,2265,2428
1548,2265,2985
1549,2266,513
1550,2266,597
1551,2266,1070
1552,2267,1691
1553,2267,2496
1554,2268,2043
1555,2268,680
1556,2268,866
1557,2268,2592
1558,2268,2858
1559,2268,3034
1560,2269,1086
1561,2269,1235
1562,2270,2289
1563,2271,977
1564,2271,3056
1565,2272,404
1566,2272,764
1567,2272,830
1568,2272,2498
1569,2273,2100
1570,2273,198
1571,2273,1712
1572,2274,1929
1573,2274,935
1574,2274,1505
1575,2274,2415
1576,2274,2478
1577,2274,2500
1578,2274,2741
1579,2274,2908
1580,2274,3226
1581,2275,1339
1582,2275,3032
1583,2276,124
1584,2276,3160
1585,2277,1286
1586,2278,2187
1587,2279,1900
1588,2279,524
1589,2279,1498
1590,2280,124
1591,2280,170
1592,2280,978
1593,2281,609
1594,2281,1018
1595,2281,1549
1596,2281,1767
1597,2282,120
1598,2283,1387
1599,2284,527
1600,2284,1471
1601,2284,1580
1602,2285,1725
1603,2285,2382
1604,2286,910
1605,2286,1031
1606,2287,2076
1607,2288,1250
1608,2289,18
1609,2289,84
1610,2289,92
1611,2289,1837
1612,2289,1922
1613,2289,1941
1614,2289,2086
1615,2289,2112
1616,2289,2196
1617,2289,2254
1618,2289,2270
1619,2289,2294
1620,2289,137
1621,2289,147
1622,2289,153
1623,2289,176
1624,2289,290
1625,2289,379
1626,2289,502
1627,2289,504
1628,2289,670
1629,2289,700
1630,2289,887
1631,2289,910
1632,2289,1016
1633,2289,1025
1634,2289,1160
1635,2289,1193
1636,2289,1201
1637,2289,1253
1638,2289,1421
1639,2289,1467
1640,2289,1566
1641,2289,1600
1642,2289,1634
1643,2289,1679
1644,2289,1749
1645,2289,1758
1646,2289,2406
1647,2289,2461
1648,2289,2850
1649,2289,2930
1650,2289,2931
1651,2289,2960
1652,2289,2982
1653,2289,3026
1654,2289,3106
1655,2289,3155
1656,2289,3221
1657,2289,3222
1658,2289,3223
1659,2290,2399
1660,2291,83
1661,2291,539
1662,2291,2544
1663,2292,1944
1664,2292,2014
1665,2292,714
1666,2292,922
1667,2292,1443
1668,2292,1497
1669,2293,714
1670,2293,922
1671,2293,1616
1672,2293,2568
1673,2293,2792
1674,2294,2289
1675,2294,2850
1676,2295,328
1677,2295,755
1678,2295,775
1679,2295,2549
1680,2295,2550
1681,2296,3103
1682,2297,1685
1683,2297,1706
1684,2297,2878
1685,2298,81
1686,2298,2265
1687,2298,645
1688,2298,1027
1689,2298,2428
1690,2298,2715
1691,2300,2340
1692,2301,1999
1693,2302,2325
1694,2302,378
1695,2302,947
1696,2302,1461
1697,2303,3198
1698,2304,3181
1699,2305,1387
1700,2306,759
1701,2307,501
1702,2307,1605
1703,2308,3199
1704,2309,1846
1705,2309,458
1706,2309,1358
1707,2310,1948
1708,2310,2109
1709,2310,971
1710,2310,2809
1711,2310,3135
1712,2311,192
1713,2311,2472
1714,2312,359
1715,2313,41
1716,2314,1379
1717,2314,2878
1718,2315,2899
1719,2316,184
1720,2316,2876
1721,2317,616
1722,2317,2920
1723,2317,2921
1724,2317,3048
1725,2318,120
1726,2318,2617
1727,2319,816
1728,2320,2615
1729,2321,349
1730,2322,1318
1731,2322,2685
1732,2323,16
1733,2323,2080
1734,2323,122
1735,2323,255
1736,2323,431
1737,2323,922
1738,2323,1067
1739,2323,1105
1740,2323,1208
1741,2323,1443
1742,2323,1666
1743,2323,2429
1744,2323,2608
1745,2323,2609
1746,2323,2872
1747,2324,1790
1748,2325,1943
1749,2325,2302
1750,2325,2395
1751,2326,1790
1752,120,2219
1753,120,2282
1754,120,2318
1755,120,209
1756,120,1674
1757,120,2336
1758,120,2427
1759,120,2453
1760,120,2617
1761,121,1290
1762,122,16
1763,122,2021
1764,122,2323
1765,122,412
1766,122,513
