,1,2,3,4,5,6,7,class
137,0.38,0.26,0.48,,0.54,,,0
138,,0.44,,0.50,,0.71,,1
139,,,0.48,,0.45,,0.89,1
140,,,,,,,,0
141,,,,,0.66,,,1
142,,0.40,0.48,0.50,0.63,0.25,,0
143,0.59,,0.48,,0.42,,,7
144,0.74,,,0.50,,,0.42,7
145,,0.90,0.48,0.50,,0.53,,5
146,,,,0.50,0.48,0.86,0.87,1
147,,0.31,0.48,0.50,,0.29,0.39,0
148,,,0.48,0.50,,,,0
149,0.35,,,,0.56,,,0
150,0.29,,0.48,,,,0.39,0
151,0.34,,0.48,0.50,,0.37,,0
152,0.36,0.47,,,0.51,,0.72,1
153,,0.29,0.48,0.50,,,0.43,0
154,0.07,0.40,,,0.54,,,0
155,0.62,,,0.50,,0.79,0.81,4
156,0.68,,,0.50,0.73,0.40,0.30,5
157,,0.65,0.48,0.50,0.66,0.67,,1
158,,,0.48,0.50,,0.42,,0
159,,,,,0.54,,,0
160,,,,,,,,0
161,,,,0.50,,,0.81,1
162,0.42,,0.48,,,,,0
163,0.29,0.30,,,,,0.17,0
164,,0.44,0.48,,,,,0
165,,,,0.50,,,0.33,0
166,0.28,,,,,,0.42,0
167,,0.42,0.48,,0.37,0.27,0.27,0
168,,0.67,,,,,,1
169,,0.51,0.48,,0.37,0.42,0.50,0
170,0.12,,,0.50,,0.70,0.74,1
171,,,,,,,0.49,0
172,,,0.48,0.50,0.31,0.19,,0
173,0.86,0.39,,,0.59,0.89,,4
174,,,,0.50,,0.77,,1
175,,0.58,0.48,,,,,0
176,0.52,,,0.50,0.65,0.71,,1
177,0.32,0.42,,0.50,,,,0
178,0.71,0.46,1.00,0.50,,0.59,,6
179,0.29,,0.48,0.50,0.44,0.23,0.34,0
180,0.17,0.39,0.48,,,,,0
181,,0.37,,0.50,,,0.74,4
182,,0.41,,0.50,,,,0
183,0.72,0.46,,0.50,0.51,,,1
184,,0.36,,0.50,0.35,,0.47,0
185,,0.44,,0.50,0.55,,0.89,1
186,0.68,,0.48,0.50,,,0.34,7
187,,0.51,0.48,,0.47,,0.36,0
188,0.26,0.50,0.48,0.50,,,0.41,0
189,,,,0.50,,0.54,,5
190,,,0.48,0.50,0.57,0.70,0.74,1
191,0.26,,,0.50,0.36,,,0
192,0.41,,,,0.58,,0.31,0
193,0.34,,,,,,0.35,0
194,0.55,,,,,,0.80,1
195,0.34,0.46,,,0.52,,0.44,0
196,,0.34,,,,,0.81,1
197,,,,0.50,0.34,0.37,0.46,0
198,,0.37,0.48,,0.61,,0.74,1
199,,,0.48,,0.41,,0.43,0
200,,,,0.50,0.38,,,0
201,,,,0.50,0.63,0.34,,0
202,,,,,0.39,0.28,,0
203,0.64,,,0.50,,,0.19,7
204,0.74,0.82,0.48,0.50,,0.49,0.41,7
205,0.59,,0.48,,,0.80,,1
206,0.27,,0.48,,,,,1
207,,0.51,,,0.61,0.71,,1
208,,0.33,0.48,0.50,0.43,0.33,0.43,0
209,,,0.48,,0.57,,0.67,1
210,0.36,,,,,0.38,0.46,0
211,,,,,0.00,0.80,0.32,1
212,0.57,0.38,0.48,,,,0.33,4
213,0.49,0.61,,,,,0.74,4
214,0.41,0.43,,,,0.24,0.25,0
