,i,j
270,49,15154
271,50,2579
272,51,13687
273,52,5015
274,53,6009
275,54,4742
276,54,8780
277,54,10044
278,54,13457
279,54,15236
280,54,18737
281,55,2312
282,55,3102
283,56,6556
284,57,18258
285,57,2397
286,57,12975
287,58,2394
288,58,3038
289,58,3536
290,58,5482
291,58,11150
292,58,12193
293,58,16590
294,59,9844
295,59,10293
296,59,10393
297,18217,18301
298,18217,525
299,18217,705
300,18217,1021
301,18217,1821
302,18217,1846
303,18217,2071
304,18217,2627
305,18217,2943
306,18217,3618
307,18217,5652
308,18217,6055
309,18217,6676
310,18217,6685
311,18217,7330
312,18217,8865
313,18217,10610
314,18217,13328
315,18217,13921
316,18217,14204
317,18217,14529
318,18217,14667
319,18217,16827
320,18217,18831
321,18217,19148
322,18218,18600
323,18219,18619
324,18219,273
325,18219,1084
326,18219,1286
327,18219,1755
328,18219,2953
329,18219,3585
330,18219,4250
331,18219,5858
332,18219,5952
333,18219,6215
334,18219,6289
335,18219,9294
336,18219,10013
337,18219,10023
338,18219,10950
339,18219,11394
340,18219,12336
341,18219,15112
342,18219,16314
343,18219,17662
344,18219,19249
345,18220,1795
346,18221,2345
347,18221,9493
348,18222,5140
349,18222,11757
350,18222,12164
351,18223,4178
352,18224,5674
353,18224,11309
354,18225,11729
355,18226,2635
356,18226,6403
357,18226,8061
358,18226,8756
359,18226,14440
360,18226,15844
361,18226,18946
362,18227,14122
363,18228,7321
364,18228,9660
365,18228,11610
366,18229,255
367,18229,781
368,18229,7332
369,18229,13544
370,18229,13545
371,18230,16628
372,18231,2497
373,18232,10968
374,18233,2090
375,18233,2773
376,18233,8561
377,18234,18675
378,18234,1230
379,18234,3816
380,18234,6186
381,18234,6996
382,18234,12348
383,18234,14327
384,18234,15471
385,18234,16573
386,18235,15046
387,18236,1592
388,18236,16974
389,18237,12510
390,18237,12618
391,18237,13870
392,18238,10738
393,18238,11673
394,18239,3558
395,18240,1489
396,18240,14968
397,18241,2831
398,18241,10973
399,18241,15962
400,18242,3107
401,18242,5907
402,18242,8693
403,18242,12837
404,18242,13623
405,18242,18760
406,18242,18770
407,18243,1183
408,18243,3545
409,18243,7892
410,18243,11141
411,18243,14118
412,18243,15244
413,18244,18728
414,18245,1729
415,18245,2993
416,18245,3558
417,18245,5426
418,18245,11394
419,18245,12806
420,18245,12854
421,18245,14107
422,18245,14254
423,18245,14877
424,18245,15416
425,18245,16005
426,18245,16079
427,18245,16272
428,18246,4726
429,18247,683
430,18248,13438
431,18248,14884
432,18249,6156
433,18250,17257
434,18251,3647
435,18252,47
436,18252,157
437,18252,3117
438,18252,3435
439,18253,15235
440,18254,705
441,18254,15204
442,18255,11516
443,18256,18514
444,18256,878
445,18256,1339
446,18256,2374
447,18256,2786
448,18256,4930
449,18256,5592
450,18256,8692
451,18256,9782
452,18256,12143
453,18256,13716
454,18256,16798
455,18256,18823
456,18257,2832
457,18257,10552
458,18258,57
459,18258,2016
460,18258,2346
461,18258,4711
462,18258,5151
463,18258,5651
464,18258,9946
465,18258,10376
466,18258,10544
467,18258,11229
468,18258,11371
469,18258,11695
470,18258,12292
471,18258,12524
472,18258,13566
473,18258,13630
474,18258,15540
475,18258,18806
476,18258,19318
477,18259,14856
478,18259,16693
479,18259,16937
480,18260,14536
481,18260,16598
482,18261,2038
483,18262,1634
484,18262,2739
485,18262,3911
486,18262,6900
487,18262,7763
488,18262,8681
489,18262,9144
490,18262,10042
491,18262,10296
492,18262,10943
493,18262,11519
494,18262,12632
495,18262,14739
496,18262,15855
497,18262,16999
498,18263,18289
499,18264,11642
500,18265,6864
501,18265,7127
502,18265,12025
503,18265,18099
504,18265,18101
505,18266,2293
506,18266,18910
507,18267,18393
508,18267,1620
509,18267,2145
510,18267,2481
511,18267,2833
512,18267,4840
513,18267,5577
514,18267,7353
515,18267,7604
516,18267,7796
517,18267,7917
518,18267,8909
519,18267,8990
520,18267,10040
521,18267,10584
522,18267,10703
523,18267,10968
524,18267,11602
525,18267,14227
526,18267,14614
527,18267,16937
528,18267,17149
529,18267,17201
530,18268,2718
531,18269,36
532,18269,2771
533,18269,2784
534,18269,2794
535,18269,3351
536,18269,3797
537,18269,4288
538,18269,5264
539,18269,8069
540,18269,8291
541,18269,10082
542,18269,10521
543,18269,11991
544,18269,12460
545,18269,14540
546,18269,15524
547,18269,15796
548,18270,2982
549,18270,15600
550,18271,4442
551,18272,7528
552,18272,17376
553,18273,18640
554,18273,1441
555,18273,2270
556,18273,2877
557,18273,3535
558,18273,3538
559,18273,3573
560,18273,3967
561,18273,4066
562,18273,4137
563,18273,4559
564,18273,7068
565,18273,7084
566,18273,7597
567,18273,7727
568,18273,8394
569,18273,9398
570,18273,10794
571,18273,12615
572,18273,15558
573,18273,15586
574,18273,15983
575,18273,17528
576,18273,19019
577,18274,997
578,18274,2006
579,18274,2174
580,18274,3429
581,18274,3456
582,18274,3737
583,18274,4993
584,18274,5291
585,18274,7606
586,18274,8546
587,18274,9038
588,18274,9406
589,18274,9667
590,18274,9769
591,18274,10711
592,18274,11974
593,18274,12152
594,18274,13440
595,18274,14137
596,18274,14637
597,18274,14661
598,18274,14890
599,18274,14906
600,18274,17122
601,18274,17432
602,18274,17880
603,18274,18894
604,18275,7593
605,18275,9957
606,18276,10032
607,18277,13562
608,18278,13476
609,18279,15200
610,18280,16694
611,18281,1384
612,18281,3062
613,18281,5569
614,18281,6058
615,18281,8738
616,18281,8821
617,18281,9028
618,18281,9578
619,18281,10911
620,18281,11404
621,18281,15387
622,18281,16141
623,18281,16382
624,18281,16993
625,18281,17022
626,18281,18856
627,18282,3163
628,18283,3221
629,18284,4922
630,18284,9316
631,18285,18724
632,18286,1261
633,18286,2112
634,18286,9443
635,18286,10886
636,18286,11231
637,18286,11983
638,18286,18145
639,18287,11080
640,18288,6938
641,18288,14362
642,18289,18263
643,18289,2312
644,18289,2320
645,18289,2405
646,18289,4383
647,18289,5391
648,18289,7193
649,18289,9542
650,18289,10145
651,18289,12088
652,18289,15625
653,18290,17568
654,18291,13926
655,18292,13133
656,18293,663
657,18293,1008
658,18293,1076
659,18293,3520
660,18293,6576
661,18293,6611
662,18293,11356
663,18293,12745
664,18293,14565
665,18293,16124
666,18293,16592
667,18293,19041
668,18294,4548
669,18295,14870
670,18296,2433
671,18296,8030
672,18296,15072
673,18297,5322
674,18297,16974
675,18298,4875
676,18298,6898
677,18298,10512
678,18298,12280
679,18298,13601
680,18298,17873
681,18299,536
682,18299,12825
683,18299,15046
684,18299,18904
685,18300,16489
686,18300,18840
687,18301,18217
688,18301,78
689,18301,1846
690,18301,4570
691,18301,5404
692,18301,6011
693,18301,6685
694,18301,10137
695,18301,13921
696,18301,14055
697,18301,14151
698,18301,14362
699,18301,17275
700,18301,18164
701,18301,19067
702,18302,3301
703,18302,4015
704,18302,5336
705,18302,9318
706,18302,9551
707,18302,11541
708,18302,14633
709,18302,15283
710,18302,19079
711,18303,3130
712,18303,6142
713,18303,17164
714,18304,5371
715,18304,7029
716,18304,10872
717,18304,11394
718,18304,14154
719,18304,15364
720,18304,16829
721,18305,15998
722,18305,18830
723,18306,11798
724,18307,310
725,18307,2483
726,18307,5684
727,18307,10655
728,18307,10949
729,18307,13051
730,18307,13382
731,18307,14264
732,18307,15667
733,18307,15956
734,18308,6556
735,18309,1882
736,18309,3742
737,18309,4228
738,18309,4391
739,18309,5295
740,18309,5454
741,18309,6890
742,18309,7011
743,18309,8631
744,18309,8757
745,18309,9048
746,18309,9745
747,18309,10846
748,18309,12751
749,18309,13547
750,18309,13737
751,18309,14378
752,18309,15054
753,18309,15995
754,18309,17811
755,18310,13339
756,18311,10616
757,18312,18686
758,18312,13339
759,18313,7725
760,18313,18080
761,18314,9149
762,18315,4154
763,18316,4442
764,18316,7692
765,18316,7905
766,18316,8526
767,18316,9483
768,18316,11916
769,18316,19468
770,18317,11278
771,18317,13853
772,18318,18353
773,18319,7400
774,18320,2800
775,18320,2827
776,18321,5913
777,18321,6065
778,18321,6184
779,18321,9144
780,18321,9431
781,18321,14103
782,18321,16323
783,18321,18202
784,18321,18867
785,18322,2063
786,18322,4875
787,18323,19088
788,18324,111
789,18324,7796
790,18324,12073
791,18325,2028
792,18325,2123
793,18325,3196
794,18325,4680
795,18325,6546
796,18325,7315
797,18325,8432
798,18325,9137
799,18325,9704
800,18325,12966
801,18325,13985
802,18325,14958
803,18325,15814
804,18325,16006
805,18325,18058
806,18325,19112
807,18325,19247
808,18326,177
809,18326,10266
810,18327,10068
811,18328,6156
812,18329,16999
813,18330,729
814,18330,2179
815,18330,2391
816,18330,9042
817,18331,12348
818,18332,9330
819,18333,10739
820,18334,17104
821,18335,7898
822,18336,10963
823,18336,14688
824,18337,13984
825,18338,12384
826,18339,5094
827,18339,12262
828,18340,4360
829,18341,4217
830,18342,18514
831,18342,168
832,18342,902
833,18342,2018
834,18342,3183
835,18342,3911
836,18342,6294
837,18342,11340
838,18342,13425
839,18342,13592
840,18342,13984
841,18342,14254
842,18342,15235
843,18342,18768
844,18343,6588
845,18343,8126
846,18344,7166
847,18345,16865
848,18346,8126
849,18347,7468
850,18348,885
851,18348,15235
852,18349,513
853,18349,17359
854,18350,257
855,18350,6010
856,18350,9639
857,18350,9713
858,18350,11594
859,18351,2222
860,18351,3524
861,18351,7947
862,18351,12132
863,18351,14443
864,18351,15477
865,18351,15832
866,18351,19053
867,18352,3130
868,18352,6142
869,18353,18318
870,18353,18481
871,18353,2718
872,18353,3476
873,18353,5967
874,18353,6344
875,18353,6354
876,18353,7636
877,18353,12164
878,18353,12555
879,18353,13684
880,18353,15701
881,18353,18963
882,18354,8951
883,18355,15943
884,18356,5852
885,18357,18439
886,18357,8241
887,18357,8498
888,18358,5555
889,18358,8541
890,18358,11642
891,18358,11650
892,18358,19044
893,18359,418
894,18359,5139
895,18359,7534
896,18359,13123
897,18359,16605
898,18360,15235
899,18361,568
900,18361,588
901,18361,1084
902,18361,1309
903,18361,4824
904,18361,5835
905,18361,6110
906,18361,7025
907,18361,9562
908,18361,15322
909,18362,1175
910,18362,1861
911,18362,2090
912,18362,4323
913,18362,4856
914,18362,6623
915,18362,9330
916,18362,10956
917,18362,17847
918,18363,8076
919,18363,10357
920,18363,10641
921,18364,11137
922,18365,10243
923,18366,14226
924,18367,361
925,18367,466
926,18367,1246
927,18367,1342
928,18367,1346
929,18367,2426
930,18367,2427
931,18367,3045
932,18367,5069
933,18367,5715
934,18367,5772
935,18367,5918
936,18367,6293
937,18367,7790
938,18367,8286
939,18367,8699
940,18367,8703
941,18367,10269
942,18367,10844
943,18367,11834
944,18367,13133
945,18367,13778
946,18367,13871
947,18367,14126
948,18367,16217
949,18367,17477
950,18367,18725
951,18367,19001
952,18368,4557
953,18368,14426
954,18368,14461
955,18368,15508
956,18368,15519
957,18368,15520
958,18369,6844
959,18369,7408
960,18369,12012
961,18369,12739
962,18369,14648
963,18369,15754
964,18369,16491
965,18369,17078
966,18370,16125
967,18370,18800
968,18371,15105
969,18372,7169
970,18373,7675
971,18373,16519
972,18373,16526
973,18374,9126
974,18375,18468
975,18375,3331
976,18375,7606
977,18375,13230
978,18375,14508
979,18376,8357
980,18377,254
981,18377,5695
982,18378,9
983,18378,10179
984,18379,309
985,18380,13439
986,18381,1861
987,18382,7212
988,18383,7788
989,18383,11778
990,18384,1993
991,18384,18910
992,18385,1670
993,18385,9785
994,18386,9346
995,18387,3273
996,18388,633
997,18388,4797
998,18388,5093
999,18388,8316
1000,18388,10466
1001,18388,10949
1002,18388,15111
1003,18389,10068
1004,18390,7900
1005,18391,19107
1006,18392,1539
1007,18392,6294
1008,18392,18768
1009,18392,18995
1010,18393,18267
1011,18393,18685
1012,18393,847
1013,18393,2729
1014,18393,6298
1015,18393,6985
1016,18393,10613
1017,18393,13817
1018,18393,17902
1019,18394,1711
1020,18394,5122
1021,18394,7091
1022,18394,7331
1023,18394,15292
1024,18394,15802
1025,18394,19567
1026,18395,13543
1027,18396,3378
1028,18396,16023
1029,18397,8470
1030,18398,18514
1031,18399,18685
1032,18399,1064
1033,18399,1065
1034,18399,1175
1035,18399,1628
1036,18399,4037
1037,18399,5339
1038,18399,6734
1039,18399,7083
1040,18399,7342
1041,18399,7697
1042,18399,9089
1043,18399,9297
1044,18399,9698
1045,18399,9943
1046,18399,10463
1047,18399,10775
1048,18399,10896
1049,18399,11033
1050,18399,11316
1051,18399,12864
1052,18399,13229
1053,18399,13784
1054,18399,14856
1055,18399,17553
1056,18400,5211
1057,18401,15482
1058,18402,1710
1059,18402,2531
1060,18402,4250
1061,18402,4977
1062,18402,12466
1063,18402,17832
1064,18403,4724
1065,18404,2071
1066,18404,2427
1067,18404,5016
1068,18404,13328
1069,18404,16153
1070,18404,17319
1071,18404,17320
1072,18404,17659
1073,18404,17863
1074,18405,10515
1075,18406,927
1076,18406,1240
1077,18407,1676
1078,18407,4443
1079,18408,18778
1080,18408,18787
1081,18409,8505
1082,18410,372
1083,18410,2235
1084,18410,4895
1085,18410,7471
1086,18410,7555
1087,18410,10872
1088,18410,13303
1089,18410,13402
1090,18410,18851
1091,18410,19105
1092,18411,7743
1093,18411,14774
1094,18412,1684
1095,18413,8151
1096,18414,15103
1097,18414,17011
1098,18415,18645
1099,18415,250
1100,18415,479
1101,18415,1342
1102,18415,1346
1103,18415,2378
1104,18415,3279
1105,18415,5772
1106,18415,7290
1107,18415,7882
1108,18415,7927
1109,18415,8155
1110,18415,9063
1111,18415,9401
1112,18415,10999
1113,18415,14151
1114,18415,14362
1115,18415,15083
1116,18416,1430
1117,18417,5575
1118,18417,11798
1119,18417,12341
1120,18418,9974
1121,18419,8196
1122,18419,13261
1123,18420,1389
1124,18420,4053
1125,18420,5798
1126,18420,6743
1127,18421,768
1128,18421,12014
1129,18422,619
1130,18422,1866
1131,18422,2495
1132,18422,7330
1133,18422,7505
1134,18422,9220
1135,18422,19257
1136,18423,3776
1137,18423,14825
1138,18423,17209
1139,18424,5877
1140,18424,16197
1141,18424,17736
1142,18425,3694
1143,18425,5620
1144,18425,5919
1145,18425,9765
1146,18425,9883
1147,18425,12892
1148,18425,18740
1149,18425,18757
1150,18426,2660
1151,18426,9923
1152,18427,128
1153,18427,4241
1154,18428,4724
1155,18428,7606
1156,18429,2518
1157,18429,18100
1158,18430,9819
1159,18431,9393
1160,18432,5981
1161,18433,2661
1162,18434,15077
1163,18435,574
1164,18435,1579
1165,18435,2454
1166,18435,5035
1167,18435,5995
1168,18435,12593
1169,18435,12700
1170,18435,13914
1171,18435,19598
1172,18436,16149
1173,18437,5406
1174,18438,3195
1175,18439,18357
1176,18439,3808
1177,18439,9440
1178,18439,10519
1179,18439,11323
1180,18439,13360
1181,18439,14180
1182,18439,18114
1183,18439,18988
1184,18439,19119
1185,18440,1365
1186,18440,1615
1187,18440,2304
1188,18440,6944
1189,18440,7926
1190,18440,8355
1191,18440,8764
1192,18440,9095
1193,18440,10854
1194,18440,11602
1195,18440,13607
1196,18440,15213
1197,18440,17149
1198,18440,19029
1199,18441,18558
1200,18441,109
1201,18441,403
1202,18441,1406
1203,18441,1445
1204,18441,1472
1205,18441,1519
1206,18441,2624
1207,18441,2777
1208,18441,2865
1209,18441,3213
1210,18441,3558
1211,18441,4393
1212,18441,5042
1213,18441,6801
1214,18441,7216
1215,18441,8413
1216,18441,8722
1217,18441,9704
1218,18441,9931
1219,18441,10807
1220,18441,11339
1221,18441,12118
1222,18441,12147
1223,18441,12339
1224,18441,12715
1225,18441,13765
1226,18441,14254
1227,18441,14497
1228,18441,15385
1229,18441,15714
1230,18441,16865
1231,18441,16906
1232,18441,18745
1233,18441,18748
1234,18442,14186
1235,18443,18742
1236,18444,9770
1237,18444,14508
1238,18445,12837
1239,18445,14488
1240,18445,18794
1241,18446,845
1242,18447,15077
1243,18448,9126
1244,18449,5372
1245,18450,694
1246,18450,1456
1247,18450,1504
1248,18450,2464
1249,18450,3034
1250,18450,3882
1251,18450,3955
1252,18450,4013
1253,18450,5173
1254,18450,6420
1255,18450,6571
1256,18450,6899
1257,18450,8043
1258,18450,9177
1259,18450,9873
1260,18450,15533
1261,18450,15624
1262,18450,16923
1263,18450,17347
1264,18450,17607
1265,18450,19133
1266,18451,351
1267,18451,1066
1268,18451,1070
1269,18451,2689
1270,18451,4204
1271,18451,6168
1272,18451,6480
1273,18451,6993
1274,18451,7149
1275,18451,8092
1276,18451,8520
1277,18451,11809
1278,18451,11927
1279,18451,12173
1280,18451,12187
1281,18451,12391
1282,18451,13139
1283,18451,13751
1284,18451,14903
1285,18451,16580
1286,18451,17203
1287,18451,17703
1288,18451,18061
1289,18451,19058
1290,18452,8739
1291,18452,12948
1292,18452,14442
1293,18452,18724
1294,18453,1956
1295,18453,4423
1296,18453,16974
1297,18454,123
1298,18455,2216
1299,18455,3557
1300,18455,14237
1301,18456,8474
1302,18457,15163
1303,18458,18586
1304,18458,508
1305,18458,1333
1306,18458,2697
1307,18458,5122
1308,18458,8034
1309,18458,14604
1310,18458,16159
1311,18459,6826
1312,18460,10956
1313,18461,18202
1314,18462,2077
1315,18463,1112
1316,18463,2113
1317,18463,2229
1318,18463,3502
1319,18463,3977
1320,18463,8711
1321,18463,9719
1322,18463,13359
1323,18463,15126
1324,18463,16357
1325,18464,2114
1326,18464,3362
1327,18464,4534
1328,18464,5811
1329,18464,8641
1330,18464,9239
1331,18464,9455
1332,18464,9827
1333,18464,11062
1334,18464,12086
1335,18464,13074
1336,18464,16082
1337,18464,19584
1338,18465,6276
1339,18465,14964
1340,18466,4961
1341,18467,4853
1342,18468,18375
1343,18468,1402
1344,18468,2076
1345,18468,2914
1346,18468,2928
1347,18468,4606
1348,18468,4724
1349,18468,5940
1350,18468,7256
1351,18468,7796
1352,18468,7842
1353,18468,9550
1354,18468,10787
1355,18468,12633
1356,18468,12788
1357,18468,13230
1358,18468,14820
1359,18468,15083
1360,18468,16118
1361,18468,18108
1362,18468,18856
1363,18468,18894
1364,18469,17270
1365,18470,5371
1366,18470,7280
1367,18470,14707
1368,18470,17145
1369,18471,3652
1370,18471,8121
1371,18471,13942
1372,18471,17189
1373,18472,6521
1374,18473,3101
1375,18473,5309
1376,18474,771
1377,18474,3005
1378,18474,3025
1379,18474,3215
1380,18474,5024
1381,18474,6058
1382,18474,6103
1383,18474,6142
1384,18474,6277
1385,18474,7510
1386,18474,8821
1387,18474,10148
1388,18474,10493
1389,18474,10787
1390,18474,11227
1391,18474,11332
1392,18474,11333
1393,18474,12061
1394,18474,13681
1395,18474,14634
1396,18474,16480
1397,18474,16837
1398,18474,17241
1399,18475,11421
1400,18475,16703
1401,18475,16776
1402,18476,11186
1403,18476,13732
1404,18477,7033
1405,18478,9226
1406,18479,7793
1407,18480,440
1408,18480,1252
1409,18480,3274
1410,18480,5817
1411,18480,6059
1412,18480,8954
1413,18480,9959
1414,18480,10863
1415,18480,11648
1416,18480,13242
1417,18480,15339
1418,18480,15354
1419,18480,15832
1420,18480,15863
1421,18480,16078
1422,18480,16769
1423,18480,17146
1424,18480,17977
1425,18481,18353
1426,18481,2429
1427,18481,5266
1428,18481,5967
1429,18481,6813
1430,18481,7323
1431,18481,8615
1432,18481,9169
1433,18481,12695
1434,18481,13487
1435,18481,14825
1436,18481,19144
1437,18482,10943
1438,18483,10810
1439,18484,16506
1440,18485,2312
1441,18485,3102
1442,18486,5418
1443,18486,15962
1444,18487,18726
1445,18488,16197
1446,18489,14689
1447,18489,16899
1448,18490,4313
1449,18490,8375
1450,18490,15873
1451,18491,4423
1452,18492,12571
1453,18492,13233
1454,18493,473
1455,18493,1809
1456,18493,2042
1457,18493,4467
1458,18493,6254
1459,18493,8973
1460,18493,9439
1461,18493,11944
1462,18493,12351
1463,18493,12876
1464,18493,13372
1465,18493,16564
1466,18493,17448
1467,18493,18054
1468,18493,19061
1469,18494,744
1470,18494,1391
1471,18494,1614
1472,18494,3154
1473,18494,3663
1474,18494,3954
1475,18494,6623
1476,18494,8714
1477,18494,9297
1478,18494,10248
1479,18494,10254
1480,18494,10681
1481,18494,11144
1482,18494,12014
1483,18494,12726
1484,18494,16254
1485,18494,17841
1486,18494,18122
1487,18495,782
1488,18495,812
1489,18495,6719
1490,18495,8129
1491,18495,18811
1492,18496,463
1493,18496,1861
1494,18496,3135
1495,18496,4037
1496,18496,7627
1497,18496,8990
1498,18496,9019
1499,18496,11598
1500,18496,14544
1501,18496,18910
1502,18497,2063
1503,18497,4875
1504,18497,6743
1505,18498,7924
1506,18499,451
1507,18500,2944
1508,18500,6800
1509,18500,8983
1510,18500,10758
1511,18500,16447
1512,18500,16688
1513,18501,3179
1514,18501,3686
1515,18501,9859
1516,18501,12579
1517,18501,14885
1518,18502,5065
1519,18503,9053
1520,18504,6996
1521,18505,18690
1522,18505,10983
1523,18505,13513
1524,18506,8768
1525,18506,11225
1526,18507,10346
1527,18508,1140
1528,18508,6520
1529,18508,6616
1530,18508,7131
1531,18508,10950
1532,18508,13161
1533,18508,15433
1534,18508,15966
1535,18508,16373
1536,18509,16781
1537,18510,3195
1538,18510,7749
1539,18510,17375
1540,18510,17565
1541,18511,1498
1542,18512,16122
1543,18513,8003
1544,18514,41
1545,18514,18256
1546,18514,18342
1547,18514,18398
1548,18514,125
1549,18514,794
1550,18514,885
1551,18514,1128
1552,18514,1725
1553,18514,2144
1554,18514,2301
1555,18514,2632
1556,18514,2842
1557,18514,3267
1558,18514,3506
1559,18514,3649
1560,18514,3700
1561,18514,4112
1562,18514,4516
1563,18514,5155
1564,18514,5167
1565,18514,5456
1566,18514,5461
1567,18514,5486
1568,18514,6647
1569,18514,7841
1570,18514,8211
1571,18514,9142
1572,18514,9727
1573,18514,9776
1574,18514,9955
1575,18514,9962
1576,18514,10161
1577,18514,10907
1578,18514,11093
1579,18514,11232
1580,18514,11527
1581,18514,11818
1582,18514,12030
1583,18514,12267
1584,18514,12479
1585,18514,13215
1586,18514,13228
1587,18514,13243
1588,18514,13515
1589,18514,15125
1590,18514,15191
1591,18514,15235
1592,18514,15413
1593,18514,16108
1594,18514,16639
1595,18514,17268
1596,18514,17311
1597,18514,17742
1598,18514,17789
1599,18514,18823
1600,18514,18994
1601,18514,19090
1602,18514,19309
1603,18514,19350
1604,18515,10318
1605,18516,13549
1606,18517,2604
1607,18517,7265
1608,18517,7970
1609,18517,13123
1610,18517,15420
1611,18518,10276
1612,18519,14221
1613,18520,1373
1614,18521,1420
1615,18522,4422
1616,18523,16915
1617,18524,2063
1618,18524,11458
1619,18525,8583
1620,18526,3017
1621,18527,86
1622,18527,189
1623,18527,298
1624,18527,389
1625,18527,934
1626,18527,1444
1627,18527,1731
1628,18527,1853
1629,18527,1857
1630,18527,1960
1631,18527,2133
1632,18527,2988
1633,18527,3333
1634,18527,3582
1635,18527,4213
1636,18527,4271
1637,18527,4928
1638,18527,5103
1639,18527,5336
1640,18527,5364
1641,18527,5668
1642,18527,5846
1643,18527,5911
1644,18527,6019
1645,18527,6241
1646,18527,6304
1647,18527,6716
1648,18527,6756
1649,18527,6886
1650,18527,8707
1651,18527,8930
1652,18527,9000
1653,18527,9421
1654,18527,9471
1655,18527,9821
1656,18527,10036
1657,18527,11216
1658,18527,11531
1659,18527,11614
1660,18527,11678
1661,18527,11767
1662,18527,11826
1663,18527,12255
1664,18527,12259
1665,18527,12378
1666,18527,12413
1667,18527,12958
1668,18527,13121
1669,18527,13408
1670,18527,13848
1671,18527,14825
1672,18527,14871
1673,18527,15189
1674,18527,16043
1675,18527,16044
1676,18527,16046
1677,18527,16216
1678,18527,16519
1679,18527,16525
1680,18527,16526
1681,18527,16820
1682,18527,17372
1683,18527,17459
1684,18527,18727
1685,18527,18733
1686,18527,18907
1687,18527,19667
1688,18528,419
1689,18528,1631
1690,18528,5285
1691,18528,7415
1692,18528,7421
1693,18528,9465
1694,18528,10247
1695,18528,11127
1696,18528,13536
1697,18529,2665
1698,18529,2837
1699,18529,3215
1700,18529,3595
1701,18529,4856
1702,18529,5339
1703,18529,7191
1704,18529,7538
1705,18529,8168
1706,18529,8578
