,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,class
112,7.1,0.23,0.39,13.7,,,,0.99755,2.9,,9.0,0
113,6.7,,,,,,160.0,,,,9.4,0
114,6.4,0.25,,1.0,0.062,21.0,,,3.0,,,1
115,,,,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,,4
116,6.9,,,,,23.0,116.0,0.9940000000000001,,0.38,9.4,0
117,6.3,0.35,,5.7,,,97.0,,3.27,0.41,,2
118,6.8,,,8.7,0.047,,,,,,10.5,0
119,6.1,,,2.8,,,162.0,0.99179,,,,0
120,7.6,0.4,,1.2,,,,,,0.38,,1
121,6.5,0.15,0.44,,,,158.0,0.9968799999999999,3.26,0.7,,2
122,6.7,0.28,0.14,,0.043,,159.0,0.992,,0.39,10.0,1
123,7.1,0.23,,,,60.0,,,3.16,0.59,9.1,0
124,5.0,0.33,0.16,1.5,0.049,,,,3.48,,10.7,0
125,,,0.37,,,,,0.9958,,,,0
126,8.8,0.33,0.36,2.1,0.034,19.0,125.0,0.99166,2.96,0.98,12.7,0
127,6.9,0.24,,6.1,0.027000000000000003,38.0,112.0,0.9908600000000001,3.19,,12.4,0
128,5.8,,0.2,2.0,,,154.0,,3.21,,10.2,0
129,8.6,,,7.3,0.043,,,,3.13,,10.5,0
130,,0.29,,1.6,0.044000000000000004,12.0,,,,0.46,,0
131,,,,1.8,0.05,40.0,147.0,,,,11.4,2
132,9.7,0.24,0.45,1.2,0.033,11.0,,,,0.47,,0
133,,0.24,,,0.031,,,,,0.33,,0
134,8.2,0.22,0.49,9.6,0.037000000000000005,,154.0,,,0.33,,0
135,,,,13.15,,,,,3.23,0.51,10.7,1
136,,0.21,,,,,110.0,,,,12.9,2
137,,0.18,0.31,1.1,0.045,,,0.9925,,,10.8,2
138,,0.22,,,,,114.0,0.9940000000000001,,0.43,,1
139,6.1,,,,0.055999999999999994,,,,,0.4,,0
140,7.5,0.38,,9.2,0.043,,116.0,0.99444,3.08,,,0
141,,0.31,,,0.027999999999999997,,122.0,,3.13,0.63,12.6,2
142,7.2,0.17,0.41,,0.052000000000000005,,,,3.19,,,1
143,,,0.34,,,41.0,,0.9962,3.42,,,2
144,,0.25,,,0.035,32.0,127.0,,,0.47,11.3,0
145,,,,,0.051,,213.0,,,,9.9,0
146,5.7,0.22,0.2,,0.044000000000000004,,,,3.22,0.46,8.9,0
147,,,0.28,1.8,,,,0.9904299999999999,3.02,,11.9,1
148,6.9,,0.3,,,,113.0,,,0.38,12.3,3
149,6.7,,,7.1,,28.0,,,,,9.3,0
150,7.8,0.43,0.49,,,,,0.9955,3.14,,,0
151,6.3,0.4,,,,,,,3.47,0.59,,0
152,,0.29,,1.4,,52.0,148.0,,3.08,,9.0,0
153,7.7,,,,0.039,41.0,,,3.06,0.49,,1
154,,0.22,,,,,120.0,0.99403,3.27,,,1
155,,0.4,,,0.06,,,0.9966,3.26,,11.3,0
156,,,,,0.039,,123.0,0.98959,,,12.8,0
157,7.1,,,1.4,0.037000000000000005,27.0,126.0,,3.19,0.62,,1
158,,0.23,0.49,7.7,,61.0,,,3.14,,,2
159,6.2,,,17.2,0.039,,130.0,,3.23,0.43,8.8,0
160,6.8,0.33,0.31,,0.045,34.0,,,,0.55,,0
161,,,0.28,10.2,,,,,3.14,0.46,10.0,0
162,,,0.42,12.0,,24.0,,,,,9.3,1
163,,,,,0.043,,93.0,0.9897,,0.5,12.3,0
164,7.6,0.27,0.32,,0.043,,,0.99236,,0.68,,1
165,,0.17,,1.5,,26.0,,0.9922,3.3,,10.8,2
166,,,0.35,2.3,0.053,36.0,,0.9924,,0.5,10.2,4
167,6.6,,0.52,,,,,,,0.46,,1
168,8.2,0.27,0.43,1.6,0.035,,128.0,0.9916,,,12.3,0
169,8.4,0.31,,0.95,0.021,52.0,148.0,,2.93,0.32,,1
170,,0.1,0.24,,,,107.0,,,,,2
171,,,,,0.037000000000000005,,,,3.04,,12.3,0
172,,,,,,,,0.9894,,0.36,12.3,2
173,,,,,0.045,,,0.9969100000000001,3.33,0.43,9.8,0
174,7.4,0.18,,,,33.0,187.0,,3.4,0.41,10.6,2
175,6.4,,,,,29.0,104.0,,3.24,0.58,,0
176,7.3,,0.36,,,,,0.9931,3.16,,,0
177,,0.22,,15.2,,,178.0,0.99935,,,,0
178,,,0.37,1.6,,24.0,102.0,,,,11.6,2
179,7.4,0.2,0.33,,,39.0,,0.991,3.17,0.44,,2
180,7.4,,,1.4,,27.0,55.0,,3.21,0.33,11.2,0
181,,0.32,0.35,,,24.0,138.0,0.9943799999999999,3.19,0.44,9.8,1
182,5.9,,0.32,6.0,0.034,50.0,,,,,12.5,2
183,8.2,0.4,0.48,13.7,,,,,3.1,,,1
184,6.4,0.23,0.37,7.9,0.05,60.0,,0.9948799999999999,2.86,,9.3,0
185,8.9,,,,0.055999999999999994,13.0,,,3.14,0.47,9.7,1
186,8.2,,0.3,2.3,,,106.0,0.99397,,0.5,,1
187,6.5,0.17,0.54,,0.08199999999999999,64.0,163.0,,2.89,0.39,,0
188,,0.19,,,,48.5,,,3.14,,,2
189,7.4,0.24,0.42,14.0,,48.0,,,2.89,,,0
190,,0.23,,,0.025,23.0,,0.98961,3.36,,,0
191,,0.26,0.19,,,47.0,,,,,,0
192,,,,,0.035,,153.0,,,,,1
193,5.6,0.235,0.29,1.2,0.047,,127.0,0.991,3.34,,,2
194,,,0.32,6.2,,,94.0,0.9953700000000001,3.35,0.47,,1
195,7.0,,,7.3,,,220.0,,3.38,0.58,,0
196,7.7,,,7.8,0.038,,,0.99555,,0.5,,1
197,6.5,0.23,0.2,,0.05,,,,,,9.53333333333333,1
198,,0.45,0.3,5.3,,27.0,165.0,,,,12.2,0
199,,,,14.7,,29.0,149.0,,2.96,,9.0,2
200,,0.36,,,0.03,,,,3.1,,12.1,2
201,6.5,,,1.9,0.027999999999999997,,,,3.34,,,2
202,6.8,,0.29,15.4,,56.0,173.0,,3.06,,,0
203,6.2,0.55,,,,27.0,186.0,,,0.5,,0
204,,0.33,,,,25.0,119.0,,3.15,0.34,,0
205,,0.34,0.74,,0.069,44.0,,,,0.81,9.2,1
206,,0.31,0.49,,,,,,2.99,0.34,11.5,1
207,9.3,0.2,0.33,,,,,,3.16,0.43,9.0,4
208,6.2,0.32,0.12,4.8,0.054000000000000006,,,0.99424,,0.5,9.3,1
209,7.5,0.23,0.68,,0.047,37.0,,,,,,1
210,,0.33,,9.9,0.042,21.0,251.0,,3.01,,,0
211,,,,,0.027000000000000003,70.0,,0.9914,3.4,,,3
212,,0.23,,,0.018000000000000002,18.0,128.0,0.9917799999999999,3.05,0.28,10.6,1
213,,,,,,45.0,143.0,0.9932,,0.33,9.9,0
214,,0.32,0.33,,,,,0.9902,,,,2
215,,,,,0.033,,97.0,0.9906,3.59,,11.0,3
216,7.1,,,,0.044000000000000004,29.0,,,,0.64,10.9,3
217,6.4,,,1.8,,43.0,150.0,0.9922,3.42,,,3
218,6.2,0.2,0.26,,0.03,,,0.9908,3.08,,,2
219,6.4,,0.24,,,27.0,124.0,,3.22,,12.6,2
220,5.7,0.16,0.32,1.2,0.036000000000000004,,89.0,,3.26,,,1
221,,,0.24,1.9,0.043,70.0,154.0,0.9927299999999999,3.18,0.52,,1
222,7.6,0.23,,8.6,,,146.0,0.9963,3.11,,9.8,0
223,,,0.35,,0.042,,,0.9964200000000001,3.24,0.37,10.6,1
224,7.1,,0.42,,0.040999999999999995,,193.0,,3.04,0.49,10.0,0
225,7.3,,,1.8,0.038,,,0.9912,3.32,0.44,,2
226,6.1,,,6.1,0.034,,114.0,0.99365,,0.58,10.1333333333333,2
227,,0.12,0.36,,,18.0,111.0,,3.41,,,3
228,7.0,0.32,0.35,,,24.0,125.0,0.9918,,,12.2,0
229,6.7,,,,,,,,3.26,0.56,9.6,1
230,,0.12,0.32,1.4,0.06,47.0,,,,,,0
231,8.0,,0.3,,0.03,35.0,115.0,0.99192,,0.42,12.3,0
232,6.2,,0.49,6.0,0.028999999999999998,,,0.9928,,,,3
233,6.0,0.36,0.06,,0.066,,,0.9934,,0.55,9.3,1
234,7.9,0.345,0.51,,,,171.0,,,,,1
235,7.3,0.145,0.33,,,14.0,64.0,,,0.37,,2
236,,,,,0.037000000000000005,,125.0,0.9898600000000001,3.36,0.33,,3
237,,,,,0.04,21.0,145.0,,3.04,,,1
238,,0.27,0.31,1.5,,17.0,83.0,0.9907600000000001,3.32,0.44,11.1,2
239,,0.16,0.25,,,,,,2.91,,,0
240,,0.19,0.49,,,26.0,132.0,,,0.32,,2
241,5.7,0.36,0.21,6.7,0.038,,166.0,0.9941,,0.63,,0
242,,0.22,,,,31.0,128.0,0.9929600000000001,,,,0
243,5.8,,,7.0,0.037000000000000005,26.0,,0.9949,3.46,,10.0,2
244,,0.18,0.74,,0.046,54.0,,,3.58,,,1
245,5.7,,0.22,16.65,,,110.0,,,0.48,9.0,0
246,6.4,0.27,,,0.046,53.0,206.0,0.9956,3.24,,9.2,0
247,7.4,0.155,,2.3,,,214.0,0.9934,,,,2
248,,,0.28,,,29.0,183.0,0.9959399999999999,3.17,,9.4,1
249,,,,6.2,0.06,,190.0,,,,9.2,1
250,,0.27,0.32,6.2,0.048,47.0,,0.9928100000000001,3.22,0.6,,0
251,,0.15,,1.4,0.040999999999999995,,,0.9909,3.28,0.38,11.2,0
252,6.0,,0.44,,0.046,15.0,182.0,0.99455,3.5,0.52,10.4,1
253,6.1,0.22,0.4,,0.031,25.0,111.0,,3.03,,11.8,2
254,7.5,0.26,0.59,,0.046,58.0,164.0,0.9981399999999999,3.17,,,4
255,,,,1.5,,21.0,108.0,0.9914200000000001,3.3,,11.0,0
256,7.5,,0.31,1.6,0.032,,,0.99044,,,11.9,0
257,6.8,0.29,0.32,,,,130.0,,3.05,,,0
258,6.5,,0.36,,,,133.0,,,,8.8,1
259,5.8,0.3,,1.5,0.034,,,0.9887100000000001,,0.34,12.1,0
260,8.3,0.2,,,,,,0.9924,,0.42,,0
261,5.9,0.435,0.16,,,,134.0,,,,,0
262,7.1,0.32,0.29,,0.038,,,0.9946299999999999,,0.64,,0
263,,,,6.1,,12.0,93.0,0.99054,3.19,0.27,12.8,2
264,,,0.32,,0.032,29.0,,,,,,0
265,,0.19,,1.8,0.035,,148.0,0.9919600000000001,,,10.2,1
266,7.3,,,,,,118.0,,,0.5,11.0,3
267,8.6,,,,0.031,13.0,,0.99645,3.11,0.4,,1
268,,,0.38,8.3,,50.0,,,,0.5,,0
269,,0.55,,,,20.0,,0.9924,,,13.1,0
270,,,0.3,2.1,0.047,35.0,147.0,,,,13.4,0
271,,0.23,0.4,,,14.0,91.0,0.9948799999999999,,0.8,9.7,1
272,,0.24,0.34,,,,132.0,,3.16,,,4
273,7.6,,0.44,,0.043,25.0,,0.9932,3.11,,10.3,0
274,6.4,,0.2,14.9,,37.0,,,3.13,,9.0,4
275,6.4,,,7.9,,,82.0,,,0.36,,0
276,8.4,0.24,,7.4,,,,0.9934,,,,2
277,7.8,0.26,0.49,3.2,0.027000000000000003,28.0,,,,0.32,,2
278,7.0,0.39,,,0.048,8.0,119.0,,3.0,0.31,,4
279,,,0.38,,0.052000000000000005,,,,,0.56,11.0,2
280,8.4,0.35,,13.8,,55.0,190.0,,,0.58,9.4,0
281,6.4,0.29,0.2,15.6,,20.0,,,3.1,0.54,,1
282,6.7,0.33,0.49,,0.16699999999999998,,,0.9914,,0.5,,0
283,,,,,0.046,50.0,,0.99316,,,,0
284,,0.23,0.36,,0.039,37.0,130.0,,3.23,,8.8,0
285,7.3,0.3,,13.5,0.039,,,0.9982,,0.4,8.7,1
286,5.6,0.255,0.57,,,66.0,,0.99464,,0.61,10.4,2
287,,,0.49,13.0,0.033,37.0,,0.9955,,0.35,,0
288,5.9,0.28,0.14,,,30.0,,,3.28,,,0
289,,,0.78,12.1,0.040999999999999995,,161.0,,,,,1
290,,0.46,0.18,,,,,,3.08,,12.6,2
291,,,,12.9,,,,,,0.43,10.0,0
292,,0.24,,,0.039,37.0,,0.99436,,0.39,9.9,1
293,,0.29,0.3,,0.209,62.0,156.0,0.9947799999999999,3.1,,9.4,1
294,5.7,0.27,0.16,,0.053,,,0.99474,,,10.4,0
295,,0.16,,,,41.0,224.0,,,0.55,,1
296,,,0.46,10.6,,33.0,227.0,,2.87,0.74,,5
297,,0.21,0.27,18.15,,,146.0,1.0001,,,8.7,1
298,,0.24,,10.7,,26.0,,,2.86,,,0
299,6.9,,,,0.053,36.0,,,,0.5,,1
300,,,,,,48.0,,0.9974,3.09,0.45,9.4,1
301,5.7,,0.24,,,60.0,167.0,0.9989,,,,1
302,6.9,0.27,0.25,,,,117.0,0.99116,,0.38,,0
303,,0.29,0.32,,0.013999999999999999,,89.0,0.99008,3.24,0.66,12.5,2
304,,0.47,0.49,,,42.0,220.0,,2.96,0.51,9.2,1
305,,,,5.2,0.04,31.0,,,3.26,0.68,9.5,0
306,6.4,,,7.7,0.055999999999999994,,,0.9952700000000001,3.16,,9.5,1
307,,0.22,0.3,,,17.0,,,2.99,,10.5,0
308,7.3,,,,,,,,3.02,,8.7,1
309,6.8,,0.31,,,,121.0,0.9917600000000001,,0.39,,3
310,6.6,,,1.2,,45.0,129.0,0.9936,3.09,,8.7,0
311,5.7,0.32,,,,,,0.991,3.42,0.42,11.8,2
312,,,,,0.027999999999999997,42.0,,,,,12.4,0
313,,,,,,,196.0,,3.14,0.48,,1
314,5.9,,0.32,1.6,0.028999999999999998,41.0,,0.98916,,0.55,12.7,2
315,6.6,,0.23,10.4,0.049,45.0,,,,,8.8,1
316,6.9,0.28,,9.1,,,,,,0.54,,1
317,9.5,,0.41,,,,145.0,0.9951,,0.52,11.0,0
318,6.7,,,8.0,,,202.0,0.9961,3.22,0.43,,1
319,,,0.2,9.9,0.07,21.0,,0.9971,,0.54,9.1,1
320,6.6,,,,,,140.0,,,,,2
321,,0.21,0.68,10.9,0.045,38.0,133.0,,3.0,0.36,8.7,1
322,6.6,,0.25,,,,124.0,0.9936200000000001,,0.38,,0
323,,0.22,,,,,170.0,0.9918,3.24,0.66,,0
324,6.7,0.16,,12.5,0.035,18.0,,0.99666,2.88,,9.0,0
325,,0.17,,,0.03,11.0,68.0,,,0.41,9.8,1
326,,,0.49,,0.031,32.0,99.0,0.9893,3.07,,12.2,0
327,8.4,0.2,,6.3,0.048,,,0.9966,3.25,0.5,9.1,0
328,7.7,0.11,,,,,114.0,,3.07,0.59,11.0,2
329,6.6,0.34,,,0.034,,99.0,,,,,2
330,6.8,,,1.7,,38.0,,,,,12.5,0
331,6.2,,0.45,,0.06,,184.0,0.99711,,0.56,,0
332,6.4,,,1.3,0.053,28.0,,,3.31,0.45,10.8,1
333,,,0.17,,0.033,,186.0,0.99754,,,9.4,1
334,,,0.34,,,35.0,189.0,,,0.53,9.1,2
335,7.1,,0.32,12.2,,36.0,,0.9967,,0.54,,0
336,,0.21,0.39,,0.040999999999999995,31.0,,,3.22,0.58,10.9,2
337,,,,9.0,,,,0.9926200000000001,,,12.6,0
338,6.9,0.26,0.31,7.0,0.039,37.0,,0.9937600000000001,3.32,,,0
339,,0.26,0.21,,,,,0.9956,3.39,0.58,9.9,0
340,7.2,,1.0,1.1,,46.0,,0.9931,2.95,0.43,9.2,0
341,,,,11.3,0.046,,,,3.01,0.43,,1
342,6.4,,,12.8,0.076,,,,3.12,0.58,,0
343,7.2,0.19,,,,,135.0,0.9939,,,10.2,2
344,7.3,0.25,,13.1,,35.0,200.0,0.9986,,0.46,,2
345,,0.21,0.29,,0.028999999999999998,,,,2.93,,,2
346,,0.2,0.37,,,,,0.992,3.32,,,0
347,,,0.29,,0.037000000000000005,32.0,,,,,12.8,2
348,7.2,0.29,,,,,,,3.04,0.32,,0
349,7.9,0.2,,1.6,0.053,15.0,,,3.16,0.47,,1
350,8.1,0.26,,11.1,,52.5,158.0,0.9976,3.03,,10.2,2
351,6.6,,0.28,,0.027999999999999997,,132.0,0.99182,,,11.4,1
352,,,0.39,,,,,0.9956200000000001,,,9.4,0
353,6.7,,0.32,12.5,,,,,,,,0
354,7.8,0.3,0.29,16.85,0.054000000000000006,23.0,135.0,0.9998,3.16,0.38,9.0,0
355,7.5,0.29,0.36,,0.05,,124.0,0.9968,,,,1
356,7.8,,0.74,,0.033,,156.0,,,0.52,,0
357,8.0,,0.42,12.6,0.21100000000000002,,,,2.99,0.56,9.3,1
358,7.6,0.39,0.32,,0.035,22.0,,,3.08,0.6,12.5,2
359,,0.2,,1.5,,,129.0,0.99226,,0.52,10.8,1
360,8.1,0.2,0.4,,0.037000000000000005,19.0,87.0,,,0.54,,0
361,5.3,0.32,0.23,9.65,,,119.0,0.9916799999999999,3.18,,,0
362,,,0.27,,0.040999999999999995,26.0,114.0,0.99335,3.04,,11.5,2
363,,,,5.7,,,,,,,10.7,0
364,8.4,,,13.8,0.048,,190.0,0.9993,3.07,,9.4,0
365,7.4,0.32,,,0.049,,,,,0.52,,1
366,6.2,0.25,,15.8,,,,,3.14,0.51,9.2,1
367,,0.34,,1.8,,,,,3.11,,,0
368,,,,4.6,0.05,23.0,,,3.08,,9.5,0
369,6.4,,,6.0,,50.0,162.0,,3.15,,10.2,1
370,,0.15,,1.6,,22.0,130.0,0.9948,,,,0
371,6.7,,0.46,,0.036000000000000004,15.0,92.0,,,,10.9,1
372,,,,1.4,0.065,23.0,140.0,0.99134,3.06,,11.4,0
373,,,,,,22.0,,,3.38,,,0
374,6.7,,0.31,2.1,0.046,30.0,96.0,,3.33,,,3
375,5.7,0.24,,,0.069,,182.0,,3.11,,9.75,1
376,6.0,0.18,0.31,1.4,,14.0,,,,0.58,11.1,3
377,,,0.49,,,,,,2.95,,,0
378,6.8,,0.26,,0.019,,,0.99041,3.16,0.47,11.8,0
379,,0.14,,,,15.0,,0.9919,3.22,0.43,9.2,0
380,8.3,,,,0.048,,118.0,,,,10.3,1
381,,,,,0.035,44.0,150.0,0.9957799999999999,3.1,0.45,10.4,1
382,,,,1.4,,,,0.98985,,0.33,12.0,0
383,6.0,,,,,50.0,147.0,0.99126,3.27,,,0
384,6.8,,,11.5,0.04,,,,,0.56,,1
385,,0.24,0.19,7.7,,,176.0,,3.17,0.38,,1
386,7.0,0.16,,,0.045,38.0,126.0,,3.21,,9.2,1
387,7.0,0.29,,0.9,,20.0,,,,0.5,11.4,1
388,,,0.37,6.9,0.059000000000000004,47.0,,0.9932200000000001,,,,2
389,7.6,,0.37,,,,57.0,0.99256,,0.54,10.4,5
390,,0.36,,8.3,,,,0.9955,3.2,0.51,,0
391,,0.15,,1.6,0.039,,123.0,0.993,3.38,0.51,9.7,0
392,7.1,,,0.8,,,,0.993,,0.32,9.1,4
393,,,,1.4,,26.0,109.0,,3.28,,,0
394,,0.27,0.35,1.7,0.03,38.0,103.0,0.99255,3.22,,,3
395,6.5,,0.4,,,,241.0,0.9979,3.23,,,1
396,,0.25,0.49,,0.042,,156.0,,,0.55,11.3,1
397,,,,13.3,0.049,,120.0,0.9970399999999999,3.2,0.36,,2
398,6.7,,0.26,1.9,,58.0,,0.9893,,,12.2,2
399,,,0.38,,0.031,,89.0,,,0.33,12.0,2
400,7.4,0.3,0.32,,0.03,23.0,,,,,,1
401,6.8,,0.2,6.6,0.054000000000000006,,65.0,0.99324,3.12,,,4
402,6.6,,,,,,108.0,0.98939,,0.52,,2
403,7.8,,0.41,,0.042,,149.0,,3.36,0.45,10.0,0
404,6.7,0.53,,4.3,,20.0,,0.9901399999999999,,0.59,13.4,0
405,6.4,,0.34,16.05,0.04,56.0,142.0,,3.11,0.38,,1
406,5.2,0.3,,1.5,,18.0,,0.9894200000000001,,,13.0,3
407,8.2,0.21,,1.4,0.040999999999999995,11.0,,0.9958,3.17,0.57,9.9,1
408,7.2,0.27,0.42,,0.05,,135.0,,,0.46,,0
409,,,0.43,7.8,,48.0,,,3.1,,9.0,0
410,9.4,,0.32,,0.027000000000000003,20.0,,0.99479,,,10.6,1
411,6.9,,0.33,,,,,0.9925,3.44,,,1
412,,0.2,0.34,,,,166.0,,,0.6,,0
413,,0.21,0.27,,,20.0,,0.9936,3.06,0.46,,1
