,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,MARRIAGE_0,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,EDUCATION_0,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,EDUCATION_5,EDUCATION_6,SEX_1,SEX_2,class
27,270000,26,0,0,0,0,0,0,134235,62483,62134,61797,57312,57582,6000,2500,3000,7475,3000,2500,0,0,1,0,0,1,0,0,0,0,0,0,1,0
28,150000,24,0,0,0,0,-1,-1,66731,64787,38948,24707,304,635,3000,3125,2065,307,635,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
29,340000,25,0,0,0,0,0,0,170717,174026,177359,173334,176605,180205,6401,6501,6101,6201,6501,6601,0,0,1,0,0,0,1,0,0,0,0,1,0,0
30,140000,56,0,0,0,0,0,0,141342,137996,139888,126590,111187,111414,5025,5962,4878,4100,4200,4003,0,1,0,0,0,0,0,1,0,0,0,0,1,0
31,320000,32,-1,2,-1,-1,-2,-2,752,169,1940,0,0,0,0,1948,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
32,50000,36,0,0,2,2,2,2,22312,25349,26075,25358,27123,27509,3416,1425,0,2190,965,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
33,150000,49,-1,-1,0,-1,-1,-1,4016,5115,3425,1334,2117,1098,5119,1002,1336,2119,1098,757,0,1,0,0,0,0,1,0,0,0,0,0,1,0
34,180000,37,-1,-1,-1,-1,0,0,49531,45612,0,245863,250472,251024,45612,0,245863,5009,5040,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
35,120000,28,0,0,0,0,0,0,120154,122674,123155,120267,121471,118656,6010,6108,5831,4700,4486,4871,0,0,1,0,0,0,1,0,0,0,0,0,1,0
36,230000,47,-1,-1,-1,2,-1,-1,8394,5743,1336,255,5425,4838,5743,1598,0,5425,4838,3840,0,0,1,0,1,0,0,0,0,0,0,0,1,0
37,100000,29,-1,0,-1,-1,0,-1,711,1141,210,780,390,930,1000,780,1930,0,930,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
38,70000,47,0,0,2,2,0,0,62080,67523,68334,67132,66796,67743,6874,2030,0,1866,1878,1909,0,1,0,0,0,0,0,1,0,0,0,1,0,1
39,360000,34,-1,-1,-1,-1,-1,0,1978,8583,993,26454,10456,31581,8625,998,26561,10456,21738,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
40,500000,46,0,0,0,0,-1,-1,20614,18050,15341,15985,1147,5492,5001,3007,8000,1147,5492,3000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
41,200000,26,-1,-1,-1,-2,-2,-1,2318,7298,0,0,0,980,7478,0,0,0,980,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
42,50000,32,0,0,0,0,0,0,49571,48765,49453,49827,48930,48748,1773,2110,2324,2000,1920,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0
43,300000,38,1,3,2,0,0,-1,10361,9692,3772,1919,316,2360,0,3,0,0,2360,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
44,90000,25,-1,0,0,2,3,2,23662,25970,28531,30072,29323,28709,3000,3000,2300,0,0,4860,0,0,1,0,0,0,1,0,0,0,0,0,1,1
45,390000,38,0,0,0,0,0,0,164418,167501,134282,128701,131529,135242,9000,7027,5000,5000,6000,5000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
46,30000,39,-1,3,2,0,-1,3,1742,1560,780,780,2057,1737,0,0,0,2057,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
47,360000,36,0,0,0,0,0,2,308711,305594,306176,304645,315118,315782,11000,13000,11019,23000,13300,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0
48,80000,37,-1,-1,-1,-1,-1,-1,10115,249,5986,188,1644,16872,258,5995,188,1644,16872,4000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
49,500000,30,1,-2,-2,-1,-1,-1,943,5664,-33,6454,842,8031,5692,0,6487,842,8111,7029,0,0,1,0,0,1,0,0,0,0,0,0,1,0
50,100000,40,0,0,0,0,0,0,92393,85345,76109,77068,77868,75954,3500,3500,3300,3000,3000,3000,0,0,1,0,0,0,1,0,0,0,0,0,1,0
51,200000,28,0,0,0,0,0,2,42215,44597,51023,56627,60693,59596,3092,7518,7122,5627,0,2741,0,0,1,0,0,1,0,0,0,0,0,1,0,0
52,50000,26,0,0,0,0,0,0,50343,24132,20109,19932,19762,10708,1319,1902,1200,30,1031,20201,0,0,1,0,0,0,0,1,0,0,0,1,0,0
53,280000,28,1,-1,-1,0,-1,-1,0,5072,4872,4284,4322,9887,5072,4900,0,4322,9887,49300,0,0,1,0,0,1,0,0,0,0,0,0,1,1
54,90000,28,-1,0,0,0,0,0,23940,92233,91308,53991,56032,51010,75000,5000,4300,2800,2800,3600,0,0,1,0,0,1,0,0,0,0,0,0,1,0
55,80000,27,2,0,0,0,0,0,62824,63883,57722,116742,72204,79105,2178,2674,2200,14710,8000,3005,0,0,1,0,0,0,1,0,0,0,0,1,0,1
56,200000,40,2,2,0,0,0,2,185696,181236,185410,189069,197736,183299,0,8600,8300,13257,917,7000,0,0,1,0,0,1,0,0,0,0,0,0,1,1
57,220000,39,-1,-1,-2,-1,-1,-1,300,-200,-200,4040,4040,-1269,0,0,4240,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
58,20000,23,-1,-1,-1,-1,-1,-1,1207,0,174,1200,1434,0,0,174,1200,1434,0,974,0,0,1,0,0,1,0,0,0,0,0,0,1,0
59,100000,36,-1,0,-1,-1,-1,-1,5788,5802,14562,6930,5958,1448,1600,14562,6969,5958,1448,101434,0,1,0,0,0,0,1,0,0,0,0,0,1,0
60,80000,45,0,0,0,0,0,0,81841,74516,69485,30396,30595,29033,4100,2507,2140,2000,1500,1000,0,1,0,0,0,0,1,0,0,0,0,0,1,0
61,700000,34,-2,-2,-2,-2,-2,-2,1878,4343,804,778,1913,200,4354,804,778,1916,200,628,0,0,1,0,0,0,1,0,0,0,0,0,1,0
62,50000,23,1,3,2,0,0,0,7181,6908,5187,4643,3385,1839,0,0,1022,237,100,50,0,0,1,0,0,0,1,0,0,0,0,0,1,0
63,90000,44,2,0,0,0,0,0,89875,92338,87511,47796,48306,49054,4000,4200,1700,1800,2083,1827,0,1,0,0,0,0,1,0,0,0,0,1,0,1
64,160000,54,-1,2,-1,0,0,0,780,390,1560,1170,780,390,0,1560,0,0,0,390,0,1,0,0,0,0,0,1,0,0,0,1,0,1
65,70000,36,0,0,0,0,0,0,66888,69306,24348,24744,25195,25777,4000,1704,1100,1000,1000,1000,0,0,1,0,0,0,1,0,0,0,0,1,0,0
66,200000,31,1,-2,-1,-1,-1,-1,0,0,6372,1957,0,596,0,6372,1957,0,596,789,0,0,1,0,0,0,1,0,0,0,0,0,1,0
67,360000,43,-2,-2,-2,-2,-2,-2,6088,17980,4890,3008,3920,19282,17980,4897,3008,3920,19282,52087,0,0,1,0,0,0,1,0,0,0,0,0,1,0
68,290000,32,0,0,0,0,0,0,21981,24610,27009,26671,24826,22287,3000,3000,3000,3000,3000,3000,0,0,1,0,0,0,0,1,0,0,0,0,1,0
69,290000,44,-2,-2,-2,-2,-2,-2,167,616,640,526,336,527,619,643,528,337,529,696,0,1,0,0,0,0,1,0,0,0,0,1,0,1
70,230000,29,0,0,0,0,0,0,70069,64375,65691,67150,68398,69917,3000,2386,2553,2483,2657,3000,0,1,0,0,0,0,0,0,1,0,0,0,1,0
71,170000,42,0,0,0,0,0,0,191865,186841,183151,170838,80934,80821,7080,8271,5159,2700,2619,3500,0,1,0,0,0,0,0,1,0,0,0,1,0,0
72,50000,24,-1,-1,-1,-1,-1,-1,390,0,672,-108,2830,0,0,672,0,2938,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
73,170000,38,-1,-1,-1,0,0,-2,521,5360,29271,26511,0,0,6439,29271,0,0,0,2730,0,1,0,0,0,0,1,0,0,0,0,0,1,0
74,350000,38,-1,-1,-1,-1,-1,-1,282,2728,1606,1015,24555,185,2750,1612,1017,24560,1000,917,0,1,0,0,0,0,1,0,0,0,0,0,1,0
75,160000,39,1,-1,2,2,-2,-2,-5,776,186,0,0,0,781,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
76,30000,24,0,0,2,0,0,2,5807,7153,7877,8591,10302,10006,1600,1000,1000,2000,0,1500,0,0,1,0,0,0,1,0,0,0,0,0,1,0
77,200000,38,-2,-2,-2,-2,-2,-2,5625,12125,13300,3450,13880,5147,12125,13416,3450,13880,5147,1050,0,1,0,0,0,1,0,0,0,0,0,0,1,0
78,280000,38,0,0,0,0,0,0,236583,230990,173668,177475,171566,175500,10000,6000,6000,6000,6000,5000,0,1,0,0,0,0,1,0,0,0,0,0,1,0
79,190000,31,1,-1,-1,2,-1,-1,-92,465,3022,1397,1554,1561,2000,4000,0,1600,1600,1700,0,1,0,0,0,0,1,0,0,0,0,0,1,0
80,360000,37,-1,-1,0,-1,-1,-1,10000,17444,17165,10000,10000,10000,17444,10035,10000,10000,10000,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
81,10000,23,1,2,3,3,2,0,5699,7434,8164,7889,7614,7990,2000,1000,0,0,500,900,0,0,1,0,0,0,1,0,0,0,0,0,1,1
82,200000,40,0,0,0,2,0,0,44600,42954,44318,32010,33271,34297,3000,6032,0,3000,3000,3000,0,1,0,0,0,0,0,1,0,0,0,0,1,0
83,70000,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,313,0,0,1,0,0,1,0,0,0,0,0,1,0,0
84,110000,46,0,0,0,0,0,0,44590,45846,47104,48325,0,49461,2000,2000,2000,2000,0,2000,0,0,1,0,0,0,0,1,0,0,0,0,1,1
85,30000,25,-2,-1,0,0,2,0,0,20249,3765,29393,26408,27653,20657,1000,26408,0,1653,823,0,1,0,0,0,0,0,1,0,0,0,0,1,0
86,410000,34,-2,-2,-2,-2,-2,-2,2347,4234,23591,224,193,6441,4252,23785,225,194,6473,22906,0,1,0,0,0,0,0,1,0,0,0,0,1,0
87,30000,37,0,-1,2,0,0,0,1197,2536,1100,710,320,-70,2600,0,0,0,0,1000,0,0,1,0,0,0,1,0,0,0,0,1,0,1
88,20000,53,0,0,0,0,0,0,19084,19224,18545,19405,19358,19413,1300,1400,1300,700,700,646,0,1,0,0,0,0,0,1,0,0,0,1,0,0
89,500000,46,-1,-1,-1,0,0,0,46178,56570,117102,159284,112078,136341,57498,120899,101500,30418,80668,50384,0,1,0,0,0,1,0,0,0,0,0,1,0,0
90,500000,32,0,0,0,0,0,0,422713,406204,415664,423392,399250,362627,15000,16000,15000,14000,13180,14000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
91,20000,24,-1,4,4,3,4,3,19915,19902,19299,20686,20073,19470,600,0,2000,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
92,70000,30,-1,2,-1,2,-1,-1,832,416,832,416,416,1132,0,832,0,416,1132,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
93,130000,33,0,0,0,0,0,0,127781,122319,107674,89780,90625,90492,4700,3500,3200,3200,3300,3100,0,0,1,0,0,0,1,0,0,0,0,0,1,0
94,310000,28,0,0,0,0,0,0,8193,43012,36780,31372,17308,35943,43003,2107,1246,346,30000,53000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
95,170000,28,-1,0,0,2,0,0,2948,3848,5646,5464,5577,5889,1105,1903,0,296,500,95,0,0,1,0,0,0,1,0,0,0,0,0,1,1
96,70000,46,0,0,0,2,2,2,11332,12093,13891,13371,14654,14271,1250,2000,0,1500,0,600,0,1,0,0,0,0,0,1,0,0,0,0,1,1
97,290000,63,0,0,0,0,0,2,183800,187658,193030,195356,207180,211614,6820,8500,7020,15000,8000,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
98,200000,29,0,-1,0,0,0,0,1467,439,2257,43720,43968,45182,439,2000,42000,1700,2000,1700,0,0,1,0,0,1,0,0,0,0,0,0,1,0
99,50000,26,-1,-1,-1,-1,-1,-1,651,651,1072,1713,651,646,651,1072,1713,651,646,651,0,0,1,0,0,1,0,0,0,0,0,0,1,1
100,70000,27,2,2,2,0,0,2,25773,28943,28184,28449,30379,30931,3600,0,1030,2400,1200,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
101,200000,27,1,-2,-2,-2,-1,0,0,0,0,0,3012,3021,0,0,0,3012,9,363,0,0,1,0,0,1,0,0,0,0,0,0,1,0
102,240000,44,0,0,0,0,0,0,188307,179988,184976,188934,196884,199267,6600,8000,7000,11000,7181,7236,0,1,0,0,0,1,0,0,0,0,0,0,1,0
103,420000,33,1,-1,-1,-2,-2,-2,-190,6509,0,0,0,0,6699,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
104,90000,23,0,0,0,0,0,0,91653,88619,90298,91343,90887,90858,4200,4100,3307,3405,3311,6204,0,0,1,0,0,0,1,0,0,0,0,0,1,0
105,30000,44,2,0,0,0,0,2,25039,25989,23078,23697,25257,25595,1700,1384,1003,2100,900,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
106,30000,31,2,-1,-1,-1,-1,-1,390,390,390,0,780,0,390,390,0,780,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
107,110000,29,0,0,0,0,0,0,104216,104343,142622,73702,75513,77111,7316,3000,6000,3000,2935,3011,0,0,1,0,0,1,0,0,0,0,0,1,0,0
108,270000,40,-1,-1,-1,-1,-1,-1,19769,34813,43852,29677,33341,28413,34813,43856,29682,33341,28413,1351,0,1,0,0,0,1,0,0,0,0,0,0,1,0
109,520000,39,-1,-1,-1,-1,-1,-1,13273,12709,5480,5397,70137,11819,12712,5487,5397,70137,11820,7888,0,0,1,0,0,1,0,0,0,0,0,1,0,0
110,220000,28,0,0,0,-1,-1,-1,57739,42144,19270,1500,5520,0,2000,1000,1500,5520,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
111,260000,29,1,-1,-1,-1,-1,0,0,18488,17276,6165,9219,980,18488,17276,6179,9219,0,9012,0,0,1,0,0,1,0,0,0,0,0,0,1,0
112,50000,50,2,0,0,0,2,0,48381,47810,48123,51060,50162,48209,2200,2100,4000,0,2000,2000,0,1,0,0,0,0,0,1,0,0,0,0,1,1
113,180000,34,0,0,0,0,0,0,41699,42812,44132,24594,25686,26780,1800,2100,1500,1500,1500,1200,0,0,1,0,0,0,1,0,0,0,0,0,1,0
114,50000,34,1,2,2,2,0,0,53916,55036,56075,54515,52250,52433,2600,2500,0,2000,4000,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
115,130000,25,1,2,0,0,0,0,52180,49874,52000,53590,54606,51033,0,5000,4000,3000,3500,13000,0,0,1,0,0,0,1,0,0,0,0,0,1,0
116,310000,34,0,0,-1,-1,-1,-1,4153,2199,5565,4050,4922,15362,1002,5565,4050,4922,15362,12000,0,1,0,0,0,0,1,0,0,0,0,0,1,0
117,70000,27,0,0,0,0,0,0,43214,44196,45181,46426,47380,46923,2000,2000,2000,2000,2000,2000,0,0,1,0,0,1,0,0,0,0,0,1,0,0
118,50000,22,0,0,0,0,0,0,50635,49488,48099,50021,50352,50740,1760,1888,3464,1717,1766,2500,0,0,1,0,0,0,1,0,0,0,0,0,1,1
119,220000,32,-1,-1,0,-1,-1,-1,13596,34661,29084,31770,3322,32528,34661,11000,31770,3322,32528,139961,0,0,1,0,0,1,0,0,0,0,0,1,0,0
120,150000,25,3,3,2,2,2,2,147260,148157,146844,145037,145349,145506,8100,5202,5300,5300,5300,5500,0,0,1,0,0,1,0,0,0,0,0,0,1,1
121,90000,32,-1,-1,-1,-1,-1,-1,1560,23153,835,5225,736,736,23153,17395,5225,736,736,886,0,0,1,0,0,1,0,0,0,0,0,0,1,0
122,230000,44,-1,-1,-1,-1,0,-1,899,1000,1685,3207,1941,329,1000,1685,3207,0,329,2208,0,1,0,0,0,0,1,0,0,0,0,0,1,0
123,140000,36,0,0,0,0,0,0,50663,50847,50768,50629,49974,49897,1788,2182,2041,1715,1982,30000,0,1,0,0,0,0,1,0,0,0,0,0,1,0
124,50000,41,0,0,2,0,0,0,2602,12150,11670,12167,2210,2406,10000,0,1036,79,232,110,0,1,0,0,0,0,0,1,0,0,0,1,0,1
125,80000,27,0,0,0,0,0,0,36959,38042,38925,40274,41598,42926,2000,1800,2000,2000,2000,3000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
126,80000,39,1,2,0,-1,-1,-1,38986,34931,33890,2065,5215,3745,6,1000,2065,5215,3745,1390,0,1,0,0,0,0,1,0,0,0,0,0,1,1
127,90000,47,0,0,0,0,0,0,81902,71768,72163,27124,27724,28724,3274,2271,1400,1000,1000,1000,0,0,1,0,0,0,1,0,0,0,0,0,1,0
128,180000,45,0,0,0,2,0,0,18472,20546,24956,24262,24782,26208,2690,5100,0,1058,2000,3000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
129,230000,30,0,0,0,-1,0,0,30341,25981,24092,65840,56538,51522,5000,5000,65840,2000,2000,10000,0,1,0,0,0,1,0,0,0,0,0,0,1,0
130,200000,41,0,0,0,2,2,2,106576,107178,119691,116278,128087,125931,3864,14269,0,13808,0,4600,0,0,0,1,0,0,1,0,0,0,0,1,0,0
131,180000,30,-1,-1,-1,-1,-1,-1,360,120,360,360,450,90,120,600,360,450,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
132,300000,29,-1,-1,-2,-2,-2,-2,1874,-200,-200,-200,-200,-200,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
133,190000,34,0,0,0,0,0,0,47713,49242,52394,55521,113760,116299,3000,5000,5000,60000,5000,5000,0,0,1,0,0,0,0,1,0,0,0,1,0,0
134,270000,29,0,0,0,0,-1,-1,18465,20987,17555,17803,1852,2044,3022,1000,2054,1857,2069,6327,0,0,1,0,0,0,1,0,0,0,0,1,0,0
135,390000,43,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,498,0,0,1,0,0,0,0,1,0,0,0,0,1,1
136,50000,25,0,0,0,0,0,0,41892,43875,45052,44938,40655,40930,3000,2200,2000,2000,2000,3000,0,0,1,0,0,1,0,0,0,0,0,0,1,0
137,160000,47,-1,-1,-1,-1,-1,0,988,779,637,2667,16746,23591,779,638,2670,16746,7069,7000,0,1,0,0,0,0,1,0,0,0,0,1,0,0
138,140000,28,2,2,2,2,2,2,12642,13740,13818,13994,14222,14537,1600,600,700,600,700,600,0,0,1,0,0,0,1,0,0,0,0,1,0,1
139,150000,44,0,-1,-1,0,0,0,80015,19386,39008,19483,32901,8790,19418,40010,19,20000,0,13669,0,1,0,0,0,0,0,1,0,0,0,1,0,0
140,90000,48,-1,-1,-1,2,-1,0,1102,-14,21816,316,632,316,0,22146,0,632,0,7816,0,1,0,0,0,0,0,1,0,0,0,0,1,0
141,360000,37,-1,2,2,-2,-2,-2,1605,1448,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
142,50000,37,0,0,0,0,0,0,48206,48659,47248,48241,49196,50296,2120,1750,1700,1800,2023,2113,0,0,1,0,0,0,1,0,0,0,0,1,0,0
143,50000,23,0,0,0,0,0,0,49798,50795,50150,9658,10011,9345,2193,2040,330,492,332,500,0,0,1,0,0,0,1,0,0,0,0,1,0,0
144,70000,30,1,-2,-2,-2,-2,-1,-25,-25,-25,-50,-25,475,0,0,0,0,500,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
145,110000,31,0,0,0,0,0,0,98531,99593,100093,90437,75701,77013,3577,3680,3030,2701,2674,2669,0,0,1,0,0,0,1,0,0,0,0,0,1,1
146,20000,28,-1,0,0,0,0,0,16122,16787,14459,14743,16351,17126,2000,2000,2000,2000,2000,2000,0,0,1,0,0,0,0,1,0,0,0,1,0,1
147,460000,42,0,0,0,-2,-1,-1,43792,35047,35415,0,1619,3795,1600,1000,0,1619,3795,954,0,1,0,0,0,0,0,1,0,0,0,0,1,0
148,170000,26,0,0,0,0,0,0,55658,48292,23264,12346,28910,13837,5000,1000,375,18785,757,259,0,1,0,0,0,0,1,0,0,0,0,0,1,0
149,310000,34,0,0,0,0,0,0,97196,95832,83123,46342,44693,43296,6000,5000,4000,3000,3000,2000,0,1,0,0,0,0,1,0,0,0,0,1,0,0
150,70000,23,2,2,0,0,0,0,72593,70828,74271,70467,50700,49329,0,7463,2200,2840,1781,1812,0,0,1,0,0,1,0,0,0,0,0,0,1,1
151,40000,26,2,2,2,2,2,0,27255,26532,29089,28522,28914,29482,0,3000,200,1000,1200,1300,0,0,1,0,0,1,0,0,0,0,0,0,1,1
152,80000,31,1,2,2,0,0,0,61241,62155,56049,50829,50687,47362,2515,16,2003,2013,5007,113,0,0,1,0,0,1,0,0,0,0,0,1,0,0
153,220000,40,1,-2,-2,-2,-2,-2,8359,14447,6791,6495,5093,5503,14518,6835,6535,5118,5529,10026,0,1,0,0,0,0,1,0,0,0,0,0,1,0
154,360000,27,0,0,0,0,0,0,44179,37697,29686,23724,5576,2273,1498,1799,1008,120,2289,5302,0,0,1,0,0,0,1,0,0,0,0,0,1,0
155,210000,32,0,0,0,0,0,0,218742,218317,73874,73219,96844,94731,10000,5000,5000,30000,4500,15000,0,0,1,0,0,1,0,0,0,0,0,1,0,0
156,20000,22,0,0,0,0,0,0,15247,16561,17280,18431,18341,19569,1575,1294,1596,655,1669,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
157,20000,30,-1,-1,-1,-1,-1,-1,1473,1473,390,390,390,0,1473,390,390,390,0,780,0,1,0,0,0,0,1,0,0,0,0,1,0,0
158,50000,32,0,0,0,0,0,0,19606,18516,16481,12518,7538,5854,5027,3053,5040,1000,1016,501,0,1,0,0,0,0,1,0,0,0,0,1,0,0
159,140000,60,0,0,0,0,0,0,137730,137498,137187,136807,136631,136080,4990,4975,4897,5029,4792,4987,0,1,0,0,0,0,0,1,0,0,0,0,1,1
160,280000,39,0,0,0,0,0,0,227604,218526,196479,196034,378323,192115,7670,7221,7091,8013,14923,7068,0,1,0,0,0,0,0,0,0,1,0,1,0,0
161,220000,30,0,0,0,0,0,0,87604,89687,90889,91892,93815,96466,5000,4200,4000,4000,5000,5000,0,0,1,0,0,1,0,0,0,0,0,1,0,0
162,30000,28,2,0,0,0,0,0,24104,25198,25988,27107,27450,29193,1800,1500,1600,1000,2100,1400,0,0,1,0,0,0,1,0,0,0,0,1,0,0
