,0,1,2,3,4,5,6,class
39,-38.0,-58.0,,,-66.0,-82.0,-79.0,1
40,-60.0,-58.0,-56.0,,-68.0,,,0
41,,,-61.0,-59.0,-59.0,-85.0,,2
42,-61.0,,-68.0,-62.0,-77.0,-90.0,-80.0,0
43,-45.0,,,-53.0,-62.0,,-85.0,2
44,,-58.0,-51.0,,,-88.0,,2
45,,,-52.0,,-63.0,-87.0,-85.0,2
46,-38.0,-53.0,-52.0,-40.0,,,,1
47,-63.0,,-59.0,-65.0,,,,0
48,,-59.0,,,-64.0,-84.0,-78.0,2
49,-59.0,-50.0,-57.0,-61.0,,-85.0,,3
50,,-55.0,-55.0,,,-78.0,-79.0,3
51,-49.0,,,-48.0,,,,2
52,-45.0,,,,-56.0,-83.0,,2
53,-51.0,,-49.0,,,-77.0,,2
54,,-52.0,,-52.0,-61.0,-82.0,-88.0,2
55,,-55.0,,-50.0,,,-73.0,1
56,,,,-36.0,-69.0,-71.0,,1
57,-55.0,,-47.0,,,,,3
58,-62.0,,,-65.0,,,-88.0,0
59,,,,,-71.0,-77.0,-79.0,1
60,-46.0,-56.0,,,-65.0,-84.0,-85.0,2
61,,,-58.0,,,,,1
62,,-55.0,,-61.0,,-79.0,,3
63,,-51.0,,-62.0,-71.0,,,0
64,-39.0,-62.0,,,,-73.0,-72.0,1
65,,,,,,,,3
66,-60.0,,-56.0,-65.0,-50.0,-96.0,-87.0,3
67,,,-56.0,,-49.0,-89.0,-88.0,3
68,,-63.0,-61.0,-43.0,-64.0,-76.0,,1
69,,-58.0,-58.0,-42.0,-64.0,-79.0,,1
70,,-55.0,,,,,-80.0,1
71,,,,,,-73.0,-77.0,1
72,,-58.0,,,-75.0,,,1
73,-47.0,-58.0,-55.0,,-62.0,-79.0,,1
74,,-53.0,,,-47.0,,,3
75,-56.0,-50.0,-47.0,,,,,3
76,-63.0,,-63.0,,,-86.0,-81.0,0
77,,-56.0,,,,-81.0,-80.0,2
78,-50.0,-56.0,-55.0,,-63.0,,-77.0,1
79,-62.0,-52.0,-56.0,,-64.0,-78.0,,0
80,-40.0,-53.0,-50.0,,-62.0,-69.0,-65.0,1
81,-62.0,-59.0,,-64.0,,-84.0,,0
82,,,,-62.0,,-89.0,,0
83,,,,-15.0,-72.0,-69.0,,1
84,,,,-52.0,-66.0,-78.0,-79.0,2
85,,,-59.0,-36.0,-75.0,-73.0,,1
86,,,,-43.0,,-80.0,-74.0,1
87,,,-66.0,,,-90.0,,0
88,,-53.0,-56.0,,,,-79.0,1
89,,-56.0,-49.0,-57.0,,,,3
90,,-56.0,-58.0,-67.0,,-80.0,,0
91,,,-50.0,-59.0,,,-81.0,3
92,,-61.0,,-52.0,,,-89.0,2
93,,-55.0,,,-65.0,,-84.0,2
94,-63.0,-58.0,,,-52.0,,,3
95,-49.0,,-49.0,,,-89.0,,2
96,-64.0,-56.0,,,-73.0,-89.0,-85.0,0
97,-39.0,,-56.0,-40.0,-70.0,,,1
98,-21.0,-61.0,-62.0,-16.0,-76.0,,,1
99,-43.0,-55.0,,-39.0,,-69.0,-73.0,1
100,-60.0,,,-59.0,,-81.0,,3
101,,-55.0,,-51.0,-58.0,,-81.0,2
102,-46.0,-52.0,-54.0,-47.0,,-79.0,,2
103,,-54.0,,-48.0,-64.0,,-79.0,2
104,,,,-52.0,-63.0,-81.0,-76.0,2
105,,,,,-73.0,,,1
106,-43.0,,-55.0,,-69.0,-67.0,-71.0,1
107,-64.0,-57.0,,,-71.0,,,0
108,,-59.0,-65.0,-75.0,-81.0,-84.0,-91.0,0
109,,-55.0,,,,-70.0,-74.0,1
110,,-57.0,-54.0,-58.0,-56.0,-84.0,-87.0,3
111,-52.0,,,,-63.0,,,2
112,-10.0,,-54.0,,-70.0,,,1
113,-39.0,-56.0,-55.0,-41.0,-62.0,,-75.0,1
114,-37.0,-58.0,,,-63.0,,,1
115,,,,-38.0,-71.0,-71.0,,1
116,,,,,,-91.0,-79.0,3
117,-64.0,,-59.0,-61.0,-70.0,,,0
118,,,,-64.0,-65.0,-87.0,,0
119,,-53.0,-52.0,-45.0,,-79.0,-78.0,2
120,-62.0,,,-63.0,-66.0,,-82.0,0
121,-49.0,-58.0,-55.0,-52.0,,,-84.0,2
122,,-52.0,,-62.0,,-84.0,-79.0,0
123,-63.0,-59.0,-61.0,,,-90.0,,0
124,,,,,,,,2
125,,-50.0,,-54.0,,,-87.0,0
126,-50.0,,-50.0,,-68.0,-78.0,,2
127,-69.0,-59.0,-59.0,-65.0,,,,0
128,,-57.0,,-41.0,,,-68.0,1
129,-62.0,-49.0,-56.0,,,-78.0,-80.0,0
130,,-59.0,-55.0,-37.0,-73.0,-72.0,,1
131,-59.0,,,-60.0,-68.0,-82.0,,0
132,,,-50.0,,,-80.0,,2
133,,,-64.0,,,,,0
134,-61.0,,-50.0,,,,,3
135,,-52.0,,,,-85.0,,0
136,,-64.0,-47.0,,-50.0,-88.0,,3
137,,-53.0,,-48.0,,,-86.0,2
138,,,,,,,-88.0,3
139,,-54.0,-52.0,,,,-86.0,2
140,,,-57.0,-59.0,-72.0,-82.0,,0
141,-61.0,-56.0,-48.0,-62.0,,,-86.0,3
142,-44.0,,-56.0,,-63.0,,,1
143,,-52.0,,,-60.0,-79.0,,2
144,-60.0,,-58.0,-57.0,,,-82.0,0
145,,,-50.0,,-47.0,-87.0,,3
146,,,-51.0,-65.0,,-91.0,-94.0,3
147,-48.0,-52.0,-52.0,,,-81.0,-84.0,2
148,-60.0,,-59.0,-64.0,-65.0,,-81.0,0
149,-34.0,,-52.0,-37.0,,,-75.0,1
150,,,-54.0,-50.0,-62.0,-79.0,-74.0,2
151,,-54.0,-53.0,-36.0,-65.0,,-72.0,1
152,-56.0,,-40.0,,-50.0,,,3
153,-36.0,,,,,,-72.0,1
154,,,-55.0,,-68.0,,-79.0,0
155,-59.0,-57.0,,,,,-86.0,3
156,,-58.0,-56.0,,-70.0,,,1
157,,-54.0,,-36.0,,-71.0,,1
158,-47.0,-53.0,-49.0,-49.0,,,,2
159,,-57.0,,,,,,2
160,-49.0,,-50.0,,-64.0,-79.0,-77.0,2
161,-40.0,-54.0,,-42.0,,,-71.0,1
162,-48.0,-50.0,,-51.0,-59.0,,,2
163,-40.0,,-56.0,-41.0,,,-73.0,1
164,-63.0,,,-70.0,-46.0,,,3
165,,-55.0,,,,-81.0,,1
166,,-57.0,,,-64.0,-81.0,-85.0,2
167,-49.0,,,-50.0,-63.0,,-91.0,2
168,,-60.0,-53.0,-37.0,,,-67.0,1
169,-60.0,-56.0,-58.0,,,-80.0,-87.0,0
170,-46.0,,,-49.0,-68.0,,-85.0,2
171,,-52.0,,,,-86.0,,2
172,,,,-41.0,-75.0,-69.0,,1
173,,-62.0,,,-73.0,-89.0,,0
174,-64.0,-57.0,-53.0,,,-86.0,,3
175,-59.0,,-58.0,,-64.0,,,0
176,,-58.0,-59.0,,-68.0,,,0
177,-62.0,-56.0,-61.0,,,,-76.0,0
178,-60.0,,-45.0,-59.0,,-88.0,,3
179,,,-61.0,,,,,0
180,-61.0,,-57.0,,-55.0,,,3
181,,,,-44.0,,-70.0,-65.0,1
182,,,-47.0,,-49.0,-86.0,-81.0,3
183,-42.0,-55.0,,,,,,1
184,-48.0,-57.0,-49.0,,-62.0,,-87.0,2
185,-39.0,-56.0,-53.0,-49.0,-70.0,-80.0,,1
186,-59.0,-59.0,,-66.0,,-86.0,,3
187,,-53.0,-55.0,-60.0,,,-87.0,3
188,-50.0,,,-50.0,-69.0,,,2
189,,,-56.0,-61.0,-52.0,,-85.0,3
190,-39.0,-56.0,,-39.0,-68.0,-74.0,-73.0,1
191,,,,-51.0,-62.0,,-85.0,2
192,,,,-60.0,-74.0,-74.0,-82.0,0
193,,,-54.0,-77.0,-42.0,,-92.0,3
194,,,,,-63.0,,-77.0,0
195,,,,-52.0,,,-83.0,1
196,,,-60.0,,-74.0,,-90.0,0
197,,,-63.0,,,,,0
198,,,,-43.0,,,,1
199,-40.0,-56.0,-56.0,,-66.0,,,1
200,,-55.0,,-67.0,,-84.0,,0
201,-63.0,,,-65.0,,-82.0,-80.0,0
202,,-56.0,,,-52.0,,-87.0,3
203,,,-62.0,-71.0,-74.0,-92.0,,0
204,,-55.0,-48.0,,-46.0,,,3
205,-14.0,-54.0,-57.0,-15.0,-69.0,,-71.0,1
206,,-55.0,,-49.0,-63.0,,,2
207,-61.0,-60.0,,,,,,3
208,-64.0,-58.0,,-65.0,-50.0,-91.0,,3
209,-17.0,-56.0,,-36.0,,,,1
210,,-54.0,,-60.0,,-80.0,-88.0,0
211,-66.0,,-61.0,-61.0,,-81.0,-90.0,0
212,,-56.0,-55.0,-38.0,,-75.0,,1
213,-41.0,-56.0,,-43.0,-66.0,,-76.0,1
214,-61.0,-56.0,-53.0,-62.0,,-84.0,-91.0,0
215,-50.0,-55.0,-58.0,,,-75.0,,1
216,,-54.0,-46.0,-65.0,-51.0,-91.0,-89.0,3
217,-42.0,-53.0,-62.0,,,-65.0,-69.0,1
218,,-52.0,,-63.0,-48.0,,,3
219,,-58.0,-56.0,,-65.0,,,1
220,-68.0,-58.0,,,,,-82.0,0
221,-58.0,-54.0,,,-53.0,,,3
222,-58.0,-61.0,-56.0,,-49.0,-83.0,,3
223,,-56.0,-62.0,,,,,0
224,-56.0,,-51.0,,,-81.0,,3
225,-61.0,,,,,,,0
226,-68.0,-55.0,-63.0,-61.0,-74.0,-79.0,,0
227,,-60.0,,-57.0,,,-86.0,3
228,-57.0,-52.0,,-60.0,-43.0,,,3
229,-65.0,,,-67.0,,,,0
230,-57.0,,-49.0,,-50.0,-87.0,-85.0,3
231,,,-59.0,-64.0,,-80.0,,0
232,-60.0,,-52.0,,-46.0,-85.0,-83.0,3
233,-63.0,-58.0,,,,,,0
234,-34.0,,-56.0,-42.0,,-76.0,-75.0,1
235,,-55.0,,,-72.0,-80.0,-88.0,2
236,,-54.0,,-65.0,-74.0,-79.0,-85.0,0
237,,-62.0,-59.0,,,,,2
238,,,-62.0,,,-85.0,,0
239,-63.0,,-63.0,-65.0,-72.0,-82.0,-89.0,0
240,,,,-36.0,-78.0,-72.0,-77.0,1
241,-35.0,-53.0,,-44.0,-63.0,-68.0,,1
242,,,-57.0,-65.0,-69.0,-80.0,-89.0,0
243,,-58.0,-50.0,-53.0,,,,2
244,-38.0,,,-48.0,,,,1
245,-64.0,,-53.0,,,,,3
246,,,,,-64.0,-79.0,-81.0,0
247,-53.0,,,,-59.0,,-82.0,2
248,,-51.0,-53.0,-37.0,-67.0,,,1
249,-62.0,,,-72.0,-73.0,-86.0,-82.0,0
250,,,-45.0,-59.0,-50.0,,,3
251,-66.0,,,-63.0,,,,0
252,-64.0,,,,,-92.0,-83.0,3
253,-58.0,,-50.0,,,-87.0,,3
254,-62.0,-57.0,-60.0,-65.0,-72.0,,-87.0,0
255,,,-60.0,,,-72.0,,1
256,-64.0,-52.0,-57.0,,-66.0,,-81.0,0
257,,,-58.0,-44.0,,,,1
258,,,,,,,-78.0,0
259,,,,-69.0,,-86.0,-86.0,0
260,,-54.0,,-52.0,-58.0,,,2
261,-60.0,,,,,,-86.0,3
262,,-58.0,-64.0,-69.0,,,,0
263,,-53.0,-55.0,-52.0,-57.0,-86.0,,2
264,,,,,,-81.0,-90.0,0
265,,,-59.0,-36.0,,-74.0,,1
266,,-55.0,-55.0,-44.0,-68.0,,-79.0,1
267,-67.0,,,,,,,0
268,-44.0,-55.0,-61.0,-41.0,,-72.0,-68.0,1
269,,,,-35.0,,,,1
270,,,-51.0,,-63.0,-79.0,-84.0,2
271,-39.0,-48.0,,-38.0,,,-89.0,1
272,,-55.0,-57.0,-37.0,,-71.0,-71.0,1
273,,,-65.0,-62.0,,-80.0,,0
274,,,,-49.0,,-88.0,,2
275,,-58.0,-57.0,,,,-79.0,0
276,-62.0,-56.0,,,-68.0,,-86.0,0
277,-47.0,-57.0,-52.0,-44.0,-67.0,-78.0,-75.0,2
278,-51.0,,,-53.0,-59.0,,-76.0,2
279,,-53.0,,-58.0,-58.0,-84.0,,2
280,,,-50.0,-54.0,,-81.0,-77.0,2
281,-62.0,-53.0,,-59.0,-48.0,,,3
282,,-48.0,,,,,-82.0,0
283,,,,-59.0,,-88.0,,3
284,,,,,-57.0,,,2
285,-36.0,-52.0,-55.0,-36.0,-69.0,-64.0,-70.0,1
286,-42.0,,-52.0,,,,-71.0,1
287,-64.0,-54.0,,-63.0,,,,0
288,-62.0,-58.0,-54.0,,,,-85.0,3
289,,,,,-51.0,-87.0,-91.0,3
290,-36.0,-55.0,,,-66.0,-72.0,-69.0,1
291,,-56.0,,,,,,0
292,,-56.0,,,-72.0,-67.0,-70.0,1
293,,,,,-49.0,-81.0,,3
294,,,-45.0,-57.0,-45.0,,,3
295,,,-51.0,-61.0,,,-79.0,3
296,,-58.0,-51.0,,-62.0,,,2
297,,,-50.0,-45.0,-60.0,-82.0,,2
298,,-58.0,,,-40.0,,-87.0,3
299,-63.0,,,-67.0,-71.0,,,0
300,,-53.0,,,-62.0,,,2
301,,-57.0,,,,-86.0,,0
302,,-55.0,,,,,,0
303,-64.0,,-61.0,-66.0,-71.0,-82.0,,0
304,-38.0,,,,,-73.0,-73.0,1
305,-62.0,-54.0,,-64.0,-65.0,,-85.0,0
306,,-58.0,-53.0,,-60.0,-79.0,-79.0,2
307,-60.0,-59.0,-55.0,-66.0,,,,0
308,,,,,,,-87.0,3
309,-46.0,,,-53.0,,-87.0,,2
310,-35.0,,-55.0,,-61.0,,-79.0,1
311,,-56.0,,,-71.0,,-77.0,2
312,-48.0,-56.0,,-39.0,,-78.0,,1
313,,,,,,,,0
314,,,,-48.0,,-85.0,,2
315,,-55.0,-50.0,-63.0,-50.0,,,3
316,-63.0,-56.0,,,-49.0,-88.0,,3
317,,-56.0,-58.0,,-70.0,,,2
318,-42.0,-54.0,,-39.0,-63.0,,,1
319,-56.0,-55.0,,-68.0,-74.0,-84.0,-79.0,0
320,,-51.0,,,-51.0,,,3
321,,,,,,,,1
322,-36.0,,-54.0,,-67.0,-73.0,,1
323,-35.0,,,-40.0,-61.0,,,1
324,-40.0,-56.0,,,,,-79.0,1
325,-58.0,,-56.0,-64.0,,-82.0,,3
326,-60.0,,-52.0,-59.0,-47.0,-88.0,,3
327,-17.0,,-57.0,-35.0,,-69.0,,1
328,,-57.0,-57.0,,,-89.0,-72.0,1
329,-73.0,,,,-77.0,,-90.0,0
330,,-51.0,,,-67.0,,-85.0,0
331,,,,-53.0,,-78.0,-81.0,2
332,,,-52.0,,-60.0,-74.0,,1
333,-50.0,-68.0,-48.0,-56.0,,,-77.0,2
334,,,-62.0,-62.0,,,-81.0,0
335,,,-55.0,,-53.0,,,3
336,,,,-43.0,-67.0,-78.0,-82.0,1
337,-63.0,-56.0,,,-49.0,,-92.0,3
338,,,-48.0,,,-87.0,-87.0,3
339,,,-45.0,-65.0,,-92.0,,3
340,-49.0,,-50.0,-54.0,-62.0,-77.0,,2
341,,-54.0,,,,,-87.0,2
342,,,-57.0,,,,-86.0,2
343,,,,,-62.0,-67.0,-67.0,1
344,,-56.0,-63.0,-71.0,-77.0,,-85.0,0
345,,,,,,-77.0,,1
346,-42.0,,-53.0,,-63.0,-72.0,,1
347,-45.0,,-52.0,-51.0,,,,2
348,,-52.0,,,-51.0,-85.0,-81.0,3
349,-47.0,,,,,,-86.0,2
350,,-51.0,,,-67.0,-72.0,-77.0,1
351,,,,-37.0,-67.0,-70.0,,1
352,,-56.0,-50.0,-50.0,,,-81.0,2
353,-64.0,,-58.0,,-68.0,,,0
354,-53.0,-62.0,-57.0,-49.0,,-88.0,-87.0,2
355,,-58.0,-55.0,-46.0,-69.0,-75.0,,1
356,-57.0,-57.0,,-61.0,-67.0,,-83.0,0
357,,-57.0,-53.0,-34.0,,-76.0,,1
358,,-46.0,,,-63.0,,,1
359,-60.0,,-57.0,,,,-89.0,3
360,,-58.0,-65.0,,,-86.0,,0
361,-64.0,-57.0,-47.0,-58.0,-46.0,,-86.0,3
362,-67.0,-56.0,,,,,-82.0,0
363,-45.0,,,-53.0,,-81.0,,2
364,,,-53.0,-48.0,,,-79.0,2
365,-51.0,,-51.0,-58.0,-58.0,,,2
366,,,-43.0,,,,-89.0,3
367,,,,-65.0,-70.0,-85.0,-87.0,0
368,-59.0,-52.0,,,-51.0,-89.0,-84.0,3
369,,-58.0,-56.0,-55.0,-71.0,,,2
370,-46.0,,-48.0,,-62.0,,,2
371,,-59.0,,,-72.0,-75.0,-70.0,1
372,-50.0,-57.0,,,-62.0,-91.0,-93.0,2
373,,,-57.0,-17.0,,-77.0,-73.0,1
374,-59.0,-53.0,-57.0,,-55.0,-88.0,-85.0,3
375,,,,-60.0,-47.0,-84.0,,3
376,,-55.0,-56.0,-66.0,,,-80.0,0
377,,-58.0,,,-66.0,-80.0,-77.0,0
378,,,-64.0,,,-82.0,-82.0,0
379,-36.0,,-57.0,,-66.0,-70.0,-69.0,1
380,,,-64.0,,-72.0,,,0
381,,-55.0,,,-72.0,,-81.0,0
382,-50.0,,-54.0,,-66.0,-78.0,-78.0,2
383,-64.0,-55.0,,-74.0,,,,0
384,-13.0,-55.0,-55.0,,,,,1
385,,-57.0,,,,-88.0,,0
386,-63.0,-57.0,,-69.0,-77.0,,-85.0,0
387,-61.0,,,,-49.0,-88.0,,3
388,-56.0,-52.0,,,,,,2
389,-59.0,,-57.0,,,-91.0,,3
390,,,,-48.0,-60.0,-79.0,-80.0,2
391,,-55.0,-60.0,-69.0,,-85.0,-87.0,0
392,,,-56.0,,,-72.0,-77.0,1
393,-47.0,-54.0,,,,,-83.0,2
394,,,-52.0,,-65.0,-77.0,-89.0,2
395,-67.0,,-55.0,,-49.0,-91.0,-89.0,3
396,,,,,-62.0,,,0
397,-47.0,-58.0,-51.0,-43.0,-65.0,,-80.0,2
398,-49.0,,-50.0,-56.0,,-81.0,,2
399,,,-47.0,,-69.0,,-84.0,1
400,,,-54.0,,,,-75.0,2
401,-65.0,,,,,,,3
402,,-56.0,-59.0,,,,-80.0,1
403,,-57.0,-48.0,-64.0,,-92.0,-87.0,3
404,-50.0,-57.0,-60.0,,,-77.0,-82.0,2
405,,-60.0,-53.0,,-65.0,-67.0,,1
406,,,-53.0,-59.0,-52.0,-81.0,,3
407,,-58.0,,-62.0,-71.0,-81.0,,0
408,,-56.0,,-51.0,-62.0,-78.0,-82.0,2
409,,,-50.0,,,-72.0,,1
410,-58.0,,-49.0,,-48.0,,-85.0,3
411,,,,,,,-86.0,3
412,-54.0,,,-52.0,,-86.0,-78.0,2
413,,,-49.0,,-53.0,-82.0,-86.0,3
414,-65.0,,,-65.0,,,-93.0,0
415,,-51.0,-53.0,,,,,3
416,,-58.0,-50.0,,-52.0,,,3
417,-57.0,-51.0,-47.0,-61.0,,,,3
418,,-54.0,-48.0,,,-82.0,-86.0,3
419,-52.0,-51.0,-53.0,,,-88.0,-84.0,2
420,-67.0,-56.0,,-70.0,-74.0,-81.0,,0
421,-64.0,-55.0,,-61.0,,-83.0,-87.0,3
422,-26.0,-57.0,,-37.0,,,-69.0,1
423,,-63.0,,-70.0,,,,0
424,-58.0,-53.0,,,-54.0,,,3
425,-68.0,,,,,-83.0,-83.0,0
426,,-56.0,-55.0,-63.0,-47.0,-85.0,,3
427,,,-51.0,,,-77.0,,2
428,,,,-62.0,-68.0,-77.0,,0
429,,,-59.0,-68.0,-74.0,-95.0,-84.0,0
430,,,-51.0,-50.0,-62.0,,,2
431,,-54.0,-51.0,,,-87.0,-88.0,3
432,-66.0,-58.0,,,,-85.0,,0
433,-48.0,,,,,,,2
434,,-53.0,-53.0,-54.0,,-78.0,-86.0,2
435,-36.0,-55.0,,-36.0,-60.0,-73.0,-72.0,1
436,-49.0,,-57.0,,-72.0,,,2
437,-43.0,-59.0,,-53.0,-61.0,-83.0,,2
438,-18.0,-62.0,,,,-71.0,-78.0,1
439,,,,,-62.0,-79.0,-84.0,2
440,-40.0,,,-38.0,-60.0,,-75.0,1
441,,,,-67.0,-89.0,-85.0,-83.0,0
442,-37.0,,,,-65.0,,-72.0,1
443,,,-51.0,,,,,3
444,-36.0,-56.0,,,-63.0,-65.0,-70.0,1
445,,,-58.0,,,-87.0,-86.0,0
446,,-56.0,,,,-89.0,,3
447,-62.0,-53.0,,,,,,0
448,,-54.0,,,,,,1
449,-51.0,-58.0,-59.0,-52.0,,-78.0,-84.0,2
450,,,-54.0,,,,-88.0,2
451,-45.0,,,-43.0,-71.0,,,1
452,,-58.0,,-40.0,,-70.0,-67.0,1
453,-64.0,-58.0,,-64.0,,-92.0,,3
454,,,-54.0,-45.0,-71.0,,-74.0,1
455,,-54.0,-57.0,-67.0,,,,0
456,,,-52.0,-60.0,,-75.0,,0
457,,-52.0,-53.0,,,,,2
458,-63.0,,,,-67.0,-83.0,-79.0,0
459,,,,,-61.0,,-79.0,2
460,-40.0,-53.0,,-41.0,,-66.0,,1
461,-15.0,,,-37.0,-65.0,-74.0,-73.0,1
462,,,,-53.0,,-80.0,-88.0,3
463,,,-63.0,,,-65.0,,1
464,-60.0,,,,-72.0,,,0
465,,,,,-61.0,-83.0,-81.0,2
466,-65.0,-52.0,,-65.0,-49.0,-88.0,,3
467,-50.0,,-51.0,-52.0,-60.0,,-79.0,2
468,-63.0,,,-63.0,,,,0
469,,-55.0,-52.0,,,-82.0,,2
470,-51.0,-52.0,-50.0,,-60.0,,,2
471,-59.0,,,,-48.0,,,3
472,-52.0,,-51.0,-55.0,-65.0,-85.0,-85.0,2
473,,,,,,-80.0,,3
474,,-56.0,-56.0,,,-78.0,,2
475,,,,-59.0,,-88.0,,3
476,,-58.0,-59.0,,,,,1
477,,-50.0,-53.0,-47.0,,,-79.0,2
478,-58.0,-59.0,-56.0,-64.0,,,-87.0,0
479,,,-53.0,,,,-87.0,3
480,,-55.0,-55.0,-54.0,,,-78.0,2
481,-57.0,,-48.0,,,-84.0,,3
482,-62.0,,,,,,-80.0,0
483,-60.0,-54.0,-57.0,,,-81.0,-83.0,0
484,-63.0,-52.0,-56.0,,-66.0,-80.0,-80.0,0
485,-46.0,-56.0,,-55.0,,-82.0,,2
486,-37.0,-56.0,,,-64.0,-61.0,-69.0,1
487,,-56.0,-64.0,-61.0,,-83.0,,0
488,,,-51.0,-54.0,-45.0,-79.0,,3
489,-48.0,-55.0,,-49.0,-67.0,,-88.0,2
490,,-58.0,,,-65.0,,-83.0,0
491,,,,,,,,2
492,,,,,,-89.0,-86.0,0
493,,-48.0,-56.0,-53.0,,-80.0,,2
494,-52.0,-51.0,-47.0,-49.0,-64.0,,-78.0,2
495,-48.0,-57.0,-60.0,,,-85.0,-77.0,1
496,,,,,-66.0,,-69.0,1
497,,-57.0,,-61.0,-53.0,,,3
498,-57.0,,,-59.0,-51.0,-88.0,-85.0,3
499,,-54.0,-56.0,,,-81.0,-80.0,2
500,,,-61.0,-38.0,,,-71.0,1
501,-47.0,,-53.0,-53.0,-66.0,,,2
502,,,,,-70.0,-78.0,,1
503,-64.0,,,-59.0,,,-87.0,0
504,-36.0,-57.0,-61.0,-38.0,,,,1
505,,-59.0,-51.0,-62.0,,,-91.0,3
506,,,,,-66.0,-81.0,-85.0,0
507,-59.0,-50.0,,,-45.0,,,3
508,,,,,,,-83.0,2
509,-63.0,,-62.0,-66.0,-76.0,,-85.0,0
510,,-57.0,,,,,-83.0,0
511,-49.0,-49.0,,-47.0,,,,2
512,,-53.0,,,,-78.0,-89.0,2
513,,-57.0,-56.0,,-48.0,,-85.0,3
514,,-50.0,-52.0,-53.0,-61.0,-75.0,-79.0,2
515,-65.0,,-65.0,,-68.0,,,0
516,,,,-45.0,-64.0,-70.0,,1
517,,,-59.0,,,-72.0,,1
518,,-55.0,-44.0,-60.0,-49.0,-84.0,-80.0,3
519,-62.0,-54.0,,-61.0,-71.0,,,0
520,,-52.0,,-43.0,-71.0,-74.0,-79.0,1
521,-48.0,-57.0,,-51.0,,,,2
522,,-54.0,-58.0,,-67.0,,,0
523,-53.0,-54.0,,-52.0,-63.0,,-85.0,2
524,,,,,-49.0,,-88.0,3
525,-37.0,,,,-72.0,-76.0,-79.0,1
526,-57.0,,-53.0,,,,,3
527,,-54.0,,-43.0,-62.0,,,1
528,-61.0,-54.0,-48.0,,,,,3
529,,,,-45.0,,-81.0,,2
530,-63.0,,,,,,,0
531,,,,,-50.0,,,3
532,,-56.0,,,,-89.0,-86.0,2
533,-41.0,-57.0,,,,,-77.0,1
534,,-55.0,,-59.0,,-87.0,-83.0,3
535,-58.0,,,,,,-81.0,3
536,,-51.0,,-57.0,-50.0,-88.0,,3
537,,,-57.0,,,-66.0,-77.0,1
538,,-53.0,,-59.0,-52.0,,-82.0,3
539,-38.0,-57.0,-50.0,-38.0,,-74.0,-69.0,1
540,,-58.0,,,-47.0,,-81.0,3
541,,-56.0,,,-72.0,,,1
542,-43.0,,,,-64.0,-74.0,,1
543,,-50.0,,,-55.0,,-83.0,3
544,-58.0,,-46.0,-59.0,-50.0,,-90.0,3
545,,,,-44.0,-63.0,,-76.0,2
546,,,-61.0,-63.0,-65.0,-88.0,,0
547,-50.0,,-51.0,-49.0,-63.0,-79.0,-80.0,2
548,,-56.0,-50.0,-60.0,,-81.0,-85.0,3
549,,,-57.0,,-49.0,-87.0,,3
550,-45.0,,,,-69.0,,-77.0,1
551,,-54.0,-49.0,-58.0,-52.0,,-93.0,3
552,-62.0,-51.0,,-61.0,-49.0,-87.0,,3
553,,,,-61.0,-67.0,-77.0,,0
554,,,-64.0,,,-82.0,,0
555,-65.0,,,-61.0,-66.0,-81.0,,0
556,-37.0,-51.0,,,,,,1
557,-45.0,-51.0,,,,,-79.0,2
558,,-55.0,-54.0,,-68.0,,-81.0,0
