,1,2,3,4,5,6,7,class
44,0.25,0.48,0.48,0.50,0.44,0.17,0.29,0
45,0.63,0.83,0.48,0.50,0.40,0.39,0.19,7
46,0.75,0.55,1.00,1.00,0.40,0.47,0.30,3
47,0.50,0.57,0.48,0.50,0.71,0.61,0.66,1
48,0.25,0.37,0.48,0.50,0.41,0.33,0.42,0
49,0.64,0.84,0.48,0.50,0.37,0.45,0.40,7
50,0.43,0.32,0.48,0.50,0.33,0.45,0.52,0
51,0.61,0.75,0.48,0.50,0.51,0.33,0.33,5
52,0.40,0.46,0.48,0.50,0.42,0.35,0.44,0
53,0.71,0.52,0.48,0.50,0.64,1.00,0.99,1
54,0.37,0.47,0.48,0.50,0.39,0.76,0.79,1
55,0.76,0.73,0.48,0.50,0.44,0.39,0.39,7
56,0.86,0.55,0.48,0.50,0.63,0.81,0.83,4
57,0.36,0.41,0.48,0.50,0.48,0.47,0.54,0
58,0.51,0.46,0.48,0.50,0.58,0.31,0.41,0
59,0.63,0.75,0.48,0.50,0.64,0.73,0.66,1
60,0.21,0.51,0.48,0.50,0.50,0.32,0.41,0
61,0.52,0.44,0.48,0.50,0.37,0.36,0.42,0
62,0.64,0.78,0.48,0.50,0.50,0.36,0.38,7
63,0.41,0.48,0.48,0.50,0.51,0.44,0.51,0
64,0.24,0.41,0.48,0.50,0.49,0.23,0.34,0
65,0.73,0.78,0.48,0.50,0.58,0.51,0.31,7
66,0.31,0.50,0.48,0.50,0.57,0.84,0.85,1
67,0.56,0.40,0.48,0.50,0.49,0.37,0.46,0
68,0.62,0.78,0.48,0.50,0.47,0.49,0.54,7
69,0.73,0.26,0.48,0.50,0.57,0.75,0.78,4
70,0.56,0.54,0.48,0.50,0.43,0.37,0.30,7
71,0.36,0.45,0.48,0.50,0.38,0.79,0.17,1
72,0.44,0.56,0.48,0.50,0.50,0.46,0.54,0
73,0.74,0.70,0.48,0.50,0.66,0.65,0.69,1
74,0.44,0.49,0.48,0.50,0.39,0.38,0.40,0
75,0.40,0.50,0.48,0.50,0.45,0.39,0.47,0
76,0.67,0.81,0.48,0.50,0.54,0.49,0.23,7
77,0.35,0.37,0.48,0.50,0.30,0.34,0.43,0
78,0.51,0.37,0.48,0.50,0.35,0.36,0.45,0
79,0.25,0.37,0.48,0.50,0.43,0.26,0.36,0
80,0.53,0.42,0.48,0.50,0.16,0.29,0.39,0
81,0.63,0.49,0.48,0.50,0.54,0.76,0.79,2
82,0.72,0.42,0.48,0.50,0.65,0.77,0.79,4
83,0.63,0.50,0.48,0.50,0.59,0.85,0.86,1
84,0.74,0.56,0.48,0.50,0.47,0.68,0.30,7
85,0.20,0.46,0.48,0.50,0.57,0.78,0.81,1
86,0.60,0.76,1.00,0.50,0.77,0.59,0.52,5
87,0.33,0.37,0.48,0.50,0.46,0.65,0.69,1
88,0.47,0.28,0.48,0.50,0.56,0.20,0.25,0
89,0.64,0.46,0.48,0.50,0.48,0.73,0.76,4
90,0.64,0.81,0.48,0.50,0.37,0.39,0.44,7
91,0.11,0.50,0.48,0.50,0.58,0.72,0.68,1
92,0.39,0.41,0.48,0.50,0.52,0.72,0.75,1
93,0.31,0.47,0.48,0.50,0.29,0.28,0.39,0
94,0.78,0.44,0.48,0.50,0.45,0.73,0.68,4
95,0.64,0.76,0.48,0.50,0.45,0.35,0.38,0
96,0.68,0.78,0.48,0.50,0.43,0.44,0.42,7
97,0.21,0.34,0.48,0.50,0.51,0.28,0.39,0
98,0.48,0.49,0.48,0.50,0.52,0.77,0.71,1
99,0.59,0.49,0.48,0.50,0.52,0.45,0.36,0
100,0.60,0.61,0.48,0.50,0.54,0.67,0.71,1
101,0.25,0.40,0.48,0.50,0.47,0.33,0.42,0
102,0.34,0.55,0.48,0.50,0.58,0.31,0.41,0
103,0.30,0.37,0.48,0.50,0.43,0.18,0.30,0
104,0.34,0.42,0.48,0.50,0.41,0.34,0.43,0
105,0.67,0.39,0.48,0.50,0.36,0.38,0.46,0
106,0.67,0.70,0.48,0.50,0.46,0.45,0.33,7
107,0.22,0.34,0.48,0.50,0.42,0.29,0.39,0
108,0.44,0.35,0.48,0.50,0.55,0.55,0.61,0
109,0.63,0.47,0.48,0.50,0.51,0.82,0.84,1
110,0.73,0.36,0.48,0.50,0.53,0.91,0.92,1
111,0.43,0.40,0.48,0.50,0.58,0.75,0.78,1
112,0.34,0.33,0.48,0.50,0.38,0.35,0.44,0
113,0.84,0.49,0.48,0.50,0.55,0.78,0.74,4
114,0.54,0.57,0.48,0.50,0.56,0.81,0.83,1
115,0.42,0.38,0.48,0.50,0.54,0.34,0.43,0
116,0.61,0.60,0.48,0.50,0.44,0.39,0.38,7
117,0.68,0.82,0.48,0.50,0.38,0.65,0.56,7
118,0.40,0.29,0.48,0.50,0.42,0.35,0.44,0
119,0.23,0.48,0.48,0.50,0.59,0.88,0.89,1
120,0.61,0.36,0.48,0.50,0.49,0.35,0.44,0
121,0.36,0.56,0.48,0.50,0.43,0.45,0.53,0
122,0.00,0.51,0.48,0.50,0.35,0.67,0.44,1
123,0.31,0.36,0.48,0.50,0.58,0.94,0.94,1
124,0.32,0.39,0.48,0.50,0.53,0.28,0.38,7
125,0.70,0.46,0.48,0.50,0.56,0.78,0.73,1
126,0.75,0.84,0.48,0.50,0.35,0.52,0.33,7
127,0.33,0.56,0.48,0.50,0.33,0.78,0.80,1
128,0.29,0.39,0.48,0.50,0.52,0.40,0.48,7
129,0.84,0.54,0.48,0.50,0.75,0.92,0.70,4
130,0.77,0.55,0.48,0.50,0.51,0.78,0.74,4
131,0.56,0.68,0.48,0.50,0.77,0.36,0.45,5
132,0.54,0.49,0.48,0.50,0.40,0.87,0.88,1
133,0.66,0.86,0.48,0.50,0.34,0.41,0.36,7
134,0.49,0.29,0.48,0.50,0.56,0.24,0.35,0
135,0.06,0.61,0.48,0.50,0.49,0.92,0.37,1
136,0.34,0.28,0.48,0.50,0.41,0.35,0.44,0
137,0.38,0.26,0.48,0.50,0.54,0.16,0.28,0
138,0.84,0.44,0.48,0.50,0.48,0.71,0.74,1
139,0.33,0.45,0.48,0.50,0.45,0.88,0.89,1
140,0.26,0.26,0.48,0.50,0.34,0.25,0.35,0
141,0.50,0.37,0.48,0.50,0.66,0.64,0.69,1
142,0.38,0.40,0.48,0.50,0.63,0.25,0.35,0
143,0.59,0.61,0.48,0.50,0.42,0.42,0.37,7
144,0.74,0.47,0.48,0.50,0.50,0.57,0.42,7
145,0.74,0.90,0.48,0.50,0.57,0.53,0.29,5
146,0.46,0.61,0.48,0.50,0.48,0.86,0.87,1
147,0.04,0.31,0.48,0.50,0.41,0.29,0.39,0
148,0.29,0.47,0.48,0.50,0.41,0.23,0.34,0
149,0.35,0.48,0.48,0.50,0.56,0.40,0.48,0
150,0.29,0.52,0.48,0.50,0.42,0.29,0.39,0
151,0.34,0.51,0.48,0.50,0.44,0.37,0.46,0
152,0.36,0.47,0.48,0.50,0.51,0.69,0.72,1
153,0.47,0.29,0.48,0.50,0.51,0.33,0.43,0
154,0.07,0.40,0.48,0.50,0.54,0.35,0.44,0
155,0.62,0.42,0.48,0.50,0.58,0.79,0.81,4
156,0.68,0.63,0.48,0.50,0.73,0.40,0.30,5
157,0.63,0.65,0.48,0.50,0.66,0.67,0.71,1
158,0.17,0.38,0.48,0.50,0.45,0.42,0.50,0
159,0.16,0.43,0.48,0.50,0.54,0.27,0.37,0
160,0.37,0.44,0.48,0.50,0.42,0.39,0.47,0
161,0.49,0.42,0.48,0.50,0.53,0.79,0.81,1
162,0.42,0.30,0.48,0.50,0.48,0.26,0.36,0
163,0.29,0.30,0.48,0.50,0.45,0.03,0.17,0
164,0.38,0.44,0.48,0.50,0.43,0.20,0.31,0
165,0.57,0.54,0.48,0.50,0.37,0.28,0.33,0
166,0.28,0.38,0.48,0.50,0.50,0.33,0.42,0
167,0.40,0.42,0.48,0.50,0.37,0.27,0.27,0
168,0.34,0.67,0.48,0.50,0.52,0.76,0.79,1
169,0.25,0.51,0.48,0.50,0.37,0.42,0.50,0
170,0.12,0.43,0.48,0.50,0.63,0.70,0.74,1
171,0.30,0.37,0.48,0.50,0.59,0.41,0.49,0
172,0.24,0.35,0.48,0.50,0.31,0.19,0.31,0
173,0.86,0.39,0.48,0.50,0.59,0.89,0.90,4
174,0.60,0.50,1.00,0.50,0.54,0.77,0.80,1
175,0.23,0.58,0.48,0.50,0.37,0.53,0.59,0
176,0.52,0.39,0.48,0.50,0.65,0.71,0.73,1
177,0.32,0.42,0.48,0.50,0.35,0.28,0.38,0
178,0.71,0.46,1.00,0.50,0.52,0.59,0.30,6
179,0.29,0.28,0.48,0.50,0.44,0.23,0.34,0
180,0.17,0.39,0.48,0.50,0.53,0.30,0.39,0
181,0.75,0.37,0.48,0.50,0.64,0.70,0.74,4
182,0.29,0.41,0.48,0.50,0.48,0.38,0.46,0
183,0.72,0.46,0.48,0.50,0.51,0.66,0.70,1
184,0.22,0.36,0.48,0.50,0.35,0.39,0.47,0
185,0.74,0.44,0.48,0.50,0.55,0.88,0.89,1
186,0.68,0.67,0.48,0.50,0.49,0.40,0.34,7
187,0.44,0.51,0.48,0.50,0.47,0.26,0.36,0
188,0.26,0.50,0.48,0.50,0.44,0.32,0.41,0
189,0.74,0.78,0.48,0.50,0.75,0.54,0.15,5
190,0.58,0.55,0.48,0.50,0.57,0.70,0.74,1
191,0.26,0.40,0.48,0.50,0.36,0.26,0.37,0
192,0.41,0.51,0.48,0.50,0.58,0.20,0.31,0
193,0.34,0.45,0.48,0.50,0.38,0.24,0.35,0
194,0.55,0.47,0.48,0.50,0.57,0.78,0.80,1
195,0.34,0.46,0.48,0.50,0.52,0.35,0.44,0
196,0.58,0.34,0.48,0.50,0.56,0.87,0.81,1
197,0.56,0.51,0.48,0.50,0.34,0.37,0.46,0
198,0.83,0.37,0.48,0.50,0.61,0.71,0.74,1
199,0.51,0.54,0.48,0.50,0.41,0.34,0.43,0
200,0.39,0.31,0.48,0.50,0.38,0.34,0.43,0
201,0.24,0.57,0.48,0.50,0.63,0.34,0.43,0
202,0.23,0.40,0.48,0.50,0.39,0.28,0.38,0
203,0.64,0.72,0.48,0.50,0.49,0.42,0.19,7
204,0.74,0.82,0.48,0.50,0.49,0.49,0.41,7
205,0.59,0.56,0.48,0.50,0.55,0.80,0.82,1
206,0.27,0.35,0.48,0.50,0.51,0.77,0.79,1
207,0.35,0.51,0.48,0.50,0.61,0.71,0.74,1
208,0.23,0.33,0.48,0.50,0.43,0.33,0.43,0
209,0.51,0.40,0.48,0.50,0.57,0.62,0.67,1
210,0.36,0.54,0.48,0.50,0.41,0.38,0.46,0
211,0.61,0.47,0.48,0.50,0.00,0.80,0.32,1
212,0.57,0.38,0.48,0.50,0.06,0.49,0.33,4
213,0.49,0.61,1.00,0.50,0.56,0.71,0.74,4
214,0.41,0.43,0.48,0.50,0.50,0.24,0.25,0
